,LAI ,Plt ht 
,m2/m2,cm
01-Jan-14,,
02-Jan-14,,
03-Jan-14,,
04-Jan-14,,
05-Jan-14,1.614579167,0.491875
06-Jan-14,,
07-Jan-14,,
08-Jan-14,,
09-Jan-14,,
10-Jan-14,,
11-Jan-14,,
12-Jan-14,3.570675,0.5346875
13-Jan-14,,
14-Jan-14,,
15-Jan-14,,
16-Jan-14,,
17-Jan-14,,
18-Jan-14,,
19-Jan-14,4.4777,0.5875
20-Jan-14,,
21-Jan-14,,
22-Jan-14,,
23-Jan-14,,
24-Jan-14,,
25-Jan-14,,
26-Jan-14,5.291479167,0.6521875
27-Jan-14,,
28-Jan-14,,
29-Jan-14,,
30-Jan-14,,
31-Jan-14,,
01-Feb-14,,
02-Feb-14,7.357675,0.7296875
03-Feb-14,,
04-Feb-14,,
05-Feb-14,,
06-Feb-14,,
07-Feb-14,,
08-Feb-14,,
09-Feb-14,6.3068,0.80875
10-Feb-14,,
11-Feb-14,,
12-Feb-14,,
13-Feb-14,,
14-Feb-14,,
15-Feb-14,,
16-Feb-14,5.343545833,0.923125
17-Feb-14,,
18-Feb-14,,
19-Feb-14,,
20-Feb-14,,
21-Feb-14,,
22-Feb-14,5.513808333,0.936875
23-Feb-14,,
24-Feb-14,,
25-Feb-14,,
26-Feb-14,,
27-Feb-14,,
28-Feb-14,,
01-Mar-14,5.40165,0.9296875
02-Mar-14,,
03-Mar-14,,
04-Mar-14,,
05-Mar-14,,
06-Mar-14,,
07-Mar-14,,
08-Mar-14,3.122620833,0.9303125
09-Mar-14,,
10-Mar-14,,
11-Mar-14,,
12-Mar-14,,
13-Mar-14,,
14-Mar-14,,
15-Mar-14,,
16-Mar-14,,
17-Mar-14,,
18-Mar-14,,
19-Mar-14,,
20-Mar-14,,
21-Mar-14,,
22-Mar-14,,
23-Mar-14,,
24-Mar-14,,
25-Mar-14,,
26-Mar-14,,
27-Mar-14,,
28-Mar-14,,
29-Mar-14,,
30-Mar-14,,
31-Mar-14,,
01-Apr-14,,
02-Apr-14,,
03-Apr-14,,
04-Apr-14,,
05-Apr-14,,
06-Apr-14,,
07-Apr-14,,
08-Apr-14,,
09-Apr-14,,
10-Apr-14,,
11-Apr-14,,
12-Apr-14,,
13-Apr-14,,
14-Apr-14,,
15-Apr-14,,
16-Apr-14,,
17-Apr-14,,
18-Apr-14,,
19-Apr-14,,
20-Apr-14,,
21-Apr-14,,
22-Apr-14,,
23-Apr-14,,
24-Apr-14,,
25-Apr-14,,
26-Apr-14,,
27-Apr-14,,
28-Apr-14,,
29-Apr-14,,
30-Apr-14,,
01-May-14,,
02-May-14,,
03-May-14,,
04-May-14,,
05-May-14,,
06-May-14,,
07-May-14,,
08-May-14,,
09-May-14,,
10-May-14,,
11-May-14,,
12-May-14,,
13-May-14,,
14-May-14,,
15-May-14,,
16-May-14,,
17-May-14,,
18-May-14,,
19-May-14,,
20-May-14,,
21-May-14,,
22-May-14,,
23-May-14,,
24-May-14,,
25-May-14,,
26-May-14,,
27-May-14,,
28-May-14,,
29-May-14,,
30-May-14,,
31-May-14,,
01-Jun-14,,
02-Jun-14,,
03-Jun-14,,
04-Jun-14,,
05-Jun-14,,
06-Jun-14,,
07-Jun-14,,
08-Jun-14,,
09-Jun-14,,
10-Jun-14,,
11-Jun-14,,
12-Jun-14,,
13-Jun-14,,
14-Jun-14,,
15-Jun-14,,
16-Jun-14,,
17-Jun-14,,
18-Jun-14,,
19-Jun-14,,
20-Jun-14,,
21-Jun-14,,
22-Jun-14,,
23-Jun-14,,
24-Jun-14,,
25-Jun-14,,
26-Jun-14,,
27-Jun-14,,
28-Jun-14,,
29-Jun-14,,
30-Jun-14,,
01-Jul-14,,
02-Jul-14,,
03-Jul-14,,
04-Jul-14,,
05-Jul-14,0.603525,0.3784375
06-Jul-14,,
07-Jul-14,,
08-Jul-14,,
09-Jul-14,,
10-Jul-14,,
11-Jul-14,,
12-Jul-14,1.473104167,0.4790625
13-Jul-14,,
14-Jul-14,,
15-Jul-14,,
16-Jul-14,,
17-Jul-14,,
18-Jul-14,,
19-Jul-14,1.773404167,0.53375
20-Jul-14,,
21-Jul-14,,
22-Jul-14,,
23-Jul-14,,
24-Jul-14,,
25-Jul-14,,
26-Jul-14,3.231045833,0.635
27-Jul-14,,
28-Jul-14,,
29-Jul-14,,
30-Jul-14,,
31-Jul-14,,
01-Aug-14,,
02-Aug-14,3.690891667,0.735
03-Aug-14,,
04-Aug-14,,
05-Aug-14,,
06-Aug-14,,
07-Aug-14,,
08-Aug-14,,
09-Aug-14,,
10-Aug-14,4.455904167,0.8
11-Aug-14,,
12-Aug-14,,
13-Aug-14,,
14-Aug-14,,
15-Aug-14,,
16-Aug-14,6.67975,0.8725
17-Aug-14,,
18-Aug-14,,
19-Aug-14,,
20-Aug-14,,
21-Aug-14,,
22-Aug-14,,
23-Aug-14,,
24-Aug-14,7.357275,0.9415625
25-Aug-14,,
26-Aug-14,,
27-Aug-14,,
28-Aug-14,,
29-Aug-14,,
30-Aug-14,5.123345833,1.021875
31-Aug-14,,
01-Sep-14,,
02-Sep-14,,
03-Sep-14,,
04-Sep-14,,
05-Sep-14,,
06-Sep-14,,
07-Sep-14,4.696658333,1.18875
08-Sep-14,,
09-Sep-14,,
10-Sep-14,,
11-Sep-14,,
12-Sep-14,,
13-Sep-14,4.030766667,1.1875
14-Sep-14,,
15-Sep-14,,
16-Sep-14,,
17-Sep-14,,
18-Sep-14,,
19-Sep-14,,
20-Sep-14,2.648479167,1.188125
21-Sep-14,,
