product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.2,6.7,1048.7996,5.5,3.8138,1.7122,1.3085,289,275,95.16,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,1,6.7,862.4998,5.7,3.125,1.6785,1.2956,289,276,95.5,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.3,6.8,884.4999,5.5,3.5239,1.8033,1.3429,289,251,86.85,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.4,6.8,972.8996,5.4,3.8607,1.6779,1.2954,289,252,87.2,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.6,903.6998,6,3.4625,1.8293,1.3525,289,261,90.31,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.5,732.1999,6,3.2114,1.7462,1.3214,289,228,78.89,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,6.7,818.0999,6.1,3.1957,1.6363,1.2792,289,256,88.58,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,6.5,827.0001,6,2.9018,1.8012,1.3421,289,285,98.62,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.4,3.3,43.9,2.9,1.0452,0.3934,0.6272,289,42,14.53,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,6.5,761.8997,5.8,3.0598,1.1781,1.0854,289,249,86.16,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.1,6.8,1096.3997,5.7,3.847,1.8725,1.3684,289,285,98.62,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,6.8,1020.9001,5.7,3.6591,1.4222,1.1926,289,279,96.54,2.01515E+12,5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.8,5.9,659.9,5.1,2.4532,1.322,1.1498,289,269,93.08,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,5.5,244.5999,5.2,1.7105,1.7218,1.3122,289,143,49.48,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.6,6.8,848.1998,6.2,3.0956,1.419,1.1912,289,274,94.81,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,6.5,529.6,5.8,2.0137,1.251,1.1185,289,263,91,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,6.2,752.0997,5.6,2.6206,1.2425,1.1147,289,287,99.31,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,6,290.4001,5.7,1.171,0.4769,0.6906,289,248,85.81,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,6.7,595.1,6.4,2.1178,1.5713,1.2535,289,281,97.23,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,5,371.0001,4.9,1.4436,0.4623,0.6799,289,257,88.93,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1.2,55.4,1.1,0.6368,0.0803,0.2833,289,87,30.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.4,3.4,455.4998,3,1.5871,0.3474,0.5894,289,287,99.31,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.5,2.5,412.3,2,1.4366,0.1388,0.3725,289,287,99.31,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,1.2,267.5998,0.9,0.9324,0.0275,0.1658,289,287,99.31,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,4.2,214.4999,4,0.8125,0.1154,0.3397,289,264,91.35,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.2,1.9,224.1,1.7,0.9184,0.0543,0.233,289,244,84.43,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.3,35.4,1.2,0.3612,0.0718,0.2679,289,98,33.91,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.7,204.2001,1.6,0.7884,0.059,0.2429,289,259,89.62,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,1.3,176.5999,1.1,0.7991,0.0369,0.1922,289,221,76.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.1,0.2,0,0.1,0,0,289,2,0.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.2,4.2,192.6001,4,0.9042,0.2881,0.5368,289,213,73.7,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.2,1.7,128.2,1.5,0.7541,0.0548,0.2342,289,170,58.82,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,1.4,88.5,1.3,0.5299,0.0787,0.2806,289,167,57.79,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.3,2.4,149.4,2.1,0.8441,0.1618,0.4022,289,177,61.25,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.3,3.1,125.3,2.8,0.7687,0.1647,0.4059,289,163,56.4,2.01516E+12,F
