product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,5.5,351.6002,4.9,2.5478,1.1081,1.0527,289,138,47.75,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.7,6.8,779.6001,5.1,4.5859,1.6036,1.2663,289,170,58.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.9,6.3,433.6998,5.4,2.6772,1.0982,1.0479,289,162,56.06,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.4,6.6,93.6,6.2,1.1556,1.3928,1.1802,289,81,28.03,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.5,6.5,582.3996,5,3.3665,1.0129,1.0064,289,173,59.86,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,2,6.9,1121.4996,4.9,4.0342,1.7376,1.3182,289,278,96.19,2.01515E+12,3
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.7,5.3,228.8,3.6,3.3159,0.7124,0.844,289,69,23.88,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.6,3.5,79.7,2.9,1.3741,0.6943,0.8333,289,58,20.07,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.7,6.8,1268.4001,5.1,4.4662,1.5482,1.2443,289,284,98.27,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.6,6.7,584.2001,5.1,3.9473,2.2138,1.4879,289,148,51.21,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,6.8,838.8998,6.1,3.6794,2.6815,1.6375,289,228,78.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.3,6.9,744.4,5.6,3.9807,2.6166,1.6176,289,187,64.71,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,6.7,1005.2002,6,3.7507,2.9915,1.7296,289,268,92.73,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,6.4,680.5997,5.8,3.1656,2.5199,1.5874,289,215,74.39,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,6.2,638.0997,6.1,2.5939,2.9885,1.7287,289,246,85.12,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,2.4,79.6,1.9,0.8944,0.1682,0.4101,289,89,30.8,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.6,6.8,1117.4999,5.2,4.3482,1.1428,1.069,289,257,88.93,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.2,6.5,988.8999,5.3,3.6626,2.269,1.5063,289,270,93.43,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.5,6.6,937.2994,5.1,4.3194,1.4953,1.2228,289,217,75.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,1.4,6.7,1205.4,5.3,4.2295,1.7779,1.3334,289,285,98.62,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,6.5,927.5001,6,3.3244,1.6821,1.2969,289,279,96.54,2.01515E+12,1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,6.6,984.3002,6.3,3.5663,2.5427,1.5946,289,276,95.5,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,6.5,535.4003,6.2,3.7704,2.8319,1.6828,289,142,49.13,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.5,6.6,868.4998,6.1,3.3276,1.7649,1.3285,289,261,90.31,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002285,12/10/2002,1.1,6.3,956.4,5.2,3.3441,1.1915,1.0916,289,286,98.96,2.01515E+12,3.9
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.5,6.6,412.7,6.1,2.612,1.669,1.2919,289,158,54.67,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,1.1,6.4,948.5,5.3,3.2934,1.4771,1.2154,289,288,99.65,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.6,6.6,345.7,6,2.4345,1.0766,1.0376,289,142,49.13,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,1,6.2,752.0002,5.2,2.6111,0.8312,0.9117,289,288,99.65,2.01515E+12,3.6
MCD15A3H,Lai_500m,A2002305,01/11/2002,1,6.1,845.3,5.1,3.0516,1.3563,1.1646,289,277,95.85,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.5,53.3,0.4,0.323,0.006,0.0776,289,165,57.09,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,2.3,157.3,2.2,0.977,0.1943,0.4408,289,161,55.71,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
