product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,6.8,774.3997,6.3,3.7411,3.5227,1.8769,289,207,71.63,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.6,6.5,844.9001,5.9,3.8231,3.1398,1.7719,289,221,76.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.8,6.8,1056.9004,6,5.2322,1.0812,1.0398,289,202,69.9,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,6.3,146.6,5.8,2.4033,3.6554,1.9119,289,61,21.11,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,6.8,897.3,6.1,4.5548,1.9015,1.3789,289,197,68.17,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,6.8,1074.5997,5.8,4.0551,1.8232,1.3503,289,265,91.7,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,6.8,675.1,6.1,4.3276,3.1721,1.781,289,156,53.98,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.8,6.8,1172.4,6,4.7466,2.0958,1.4477,289,247,85.47,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,1,6.8,1251.4996,5.8,5.0464,1.3289,1.1528,289,248,85.81,2.01515E+12,6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.8,1103.5001,6.1,4.5599,2.8528,1.689,289,242,83.74,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.3,6.8,1011.8,5.5,4.5783,0.9308,0.9648,289,221,76.47,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.8,6.8,1207.6003,5,4.8304,0.933,0.9659,289,250,86.51,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.8,6.8,1459.8003,5,5.27,0.8217,0.9065,289,277,95.85,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.9,6.5,1058.1003,5.6,3.7789,2.4424,1.5628,289,280,96.89,2.01515E+12,5
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,6.8,1129.3004,6.6,4.3771,1.1346,1.0652,289,258,89.27,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.5,6.8,1454.1003,5.3,5.0666,0.7925,0.8902,289,287,99.31,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.1,6.8,1273.5999,5.7,4.5649,1.406,1.1858,289,279,96.54,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.3,6.5,1260.1,5.2,4.4059,0.8355,0.9141,289,286,98.96,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.2,6.8,1282.1006,5.6,4.5304,1.1618,1.0779,289,283,97.92,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,1.3,6.4,1159.4004,5.1,4.0681,1.1319,1.0639,289,285,98.62,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.2,6.4,1131.5004,5.2,3.9152,1.223,1.1059,289,289,100,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002273,30/09/2002,1.2,6.9,1052.7004,5.7,3.6426,1.1628,1.0783,289,289,100,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002277,04/10/2002,1,6.6,978.3001,5.6,3.3851,1.6773,1.2951,289,289,100,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.9,6.3,899.9001,5.4,3.1687,1.4887,1.2201,289,284,98.27,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.8,6.2,636.1003,5.4,2.201,1.011,1.0055,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,4.7,516.8,4.4,1.7944,0.5171,0.7191,289,288,99.65,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.7,5.5,418.7999,4.8,1.4491,0.1893,0.4351,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.7,3.8,377.2,3.1,1.3052,0.1514,0.389,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.7,2.6,363.8,1.9,1.2588,0.1114,0.3338,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.5,4,294.3,3.5,1.0586,0.1607,0.4009,289,278,96.19,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.2,4.1,232.6998,3.9,0.8252,0.1435,0.3788,289,282,97.58,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.6,64.8,0.5,0.2945,0.0127,0.1127,289,220,76.12,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.3,2.3,271.0999,2,0.9381,0.0973,0.3119,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,1.2,161.0999,1.1,0.6418,0.0327,0.1809,289,251,86.85,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.3,3,0.2,0.1875,0.0036,0.0599,289,16,5.54,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,2.9,164.8,2.8,0.6314,0.1198,0.3461,289,261,90.31,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.6,3.4,0.5,0.3091,0.019,0.1379,289,11,3.81,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,2.1,162.1999,2,0.6411,0.0699,0.2644,289,253,87.54,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.2,2.4,208.2999,2.2,0.7439,0.0893,0.2989,289,280,96.89,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,0.9,114,0.8,0.4318,0.0219,0.1479,289,264,91.35,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,1.1,166.3,1,0.6275,0.0341,0.1848,289,265,91.7,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.7,76.2,0.6,0.4053,0.015,0.1224,289,188,65.05,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,1.3,146.9,1.2,0.5481,0.0538,0.2319,289,268,92.73,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,1.3,163.3999,1.2,0.6358,0.0449,0.212,289,257,88.93,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,1,134.1999,0.9,0.55,0.0265,0.1628,289,244,84.43,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,1,134.1999,0.9,0.55,0.0265,0.1628,289,244,84.43,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,1.9,94.4,1.8,0.4673,0.0513,0.2265,289,202,69.9,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,4.3,87,4.2,0.3919,0.1037,0.3221,289,222,76.82,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,1.4,148.0999,1.3,0.6467,0.0297,0.1724,289,229,79.24,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.1,1.2,147.7,1.1,0.5747,0.0322,0.1793,289,257,88.93,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,1.7,162.9999,1.6,0.6342,0.0528,0.2299,289,257,88.93,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.1,1.1,132.3,1,0.563,0.0359,0.1896,289,235,81.31,2.01515E+12,1
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.2,1.2,117.6,1,0.6222,0.0306,0.175,289,189,65.4,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.1,1.1,114.9,1,0.5445,0.0338,0.184,289,211,73.01,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,2,138.3999,1.9,0.6528,0.0575,0.2398,289,212,73.36,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.3,1.4,127.6,1.1,0.6047,0.0292,0.1708,289,211,73.01,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003045,14/02/2003,0.3,1.3,65.5,1,0.5796,0.0207,0.144,289,113,39.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,0.9,101.6,0.8,0.5462,0.0219,0.1481,289,186,64.36,2.01516E+12,0.5
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.1,0.7,79.3,0.6,0.4241,0.0125,0.1119,289,187,64.71,2.01516E+12,0.3
