product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.4,6.8,987.0995,6.4,3.8409,2.2386,1.4962,289,257,88.93,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.1,6.6,583.5001,5.5,3.2966,2.4096,1.5523,289,177,61.25,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.8,255.9,6.7,2.8433,4.1073,2.0267,289,90,31.14,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.2,6.5,1026.2,5.3,3.8579,1.1945,1.0929,289,266,92.04,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.8,598.1001,6.7,2.9034,3.7299,1.9313,289,206,71.28,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.8,941.7999,6.3,4.0248,1.6728,1.2934,289,234,80.97,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.5,6.5,950.2002,5,3.6406,1.7373,1.3181,289,261,90.31,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.4,6.8,1062.9001,5.4,3.8792,2.0929,1.4467,289,274,94.81,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.3,6.8,1196.4001,5.5,4.3664,1.7502,1.3229,289,274,94.81,2.01515E+12,6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,6.5,865.6999,5.9,3.4083,1.7759,1.3326,289,254,87.89,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.3,6.8,1077.9001,5.5,4.0071,1.8084,1.3448,289,269,93.08,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,1,6.8,1160.2001,5.8,4.313,1.8738,1.3689,289,269,93.08,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.8,659.8001,5.8,3.836,2.7864,1.6692,289,172,59.52,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.3,6.8,1127.4003,5.5,4.1297,1.2275,1.1079,289,273,94.46,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.5,6.2,1068.7997,4.7,3.9007,1.1994,1.0952,289,274,94.81,2.01515E+12,5
MCD15A3H,Lai_500m,A2002253,10/09/2002,1,6.5,1080.8,5.5,3.9445,1.1651,1.0794,289,274,94.81,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,2.8,94.2,2.6,1.0467,0.3212,0.5667,289,90,31.14,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.8,6.8,807.5995,6,3.2304,1.9386,1.3923,289,250,86.51,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,6.7,646.4998,6.2,2.7866,2.1612,1.4701,289,232,80.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,4.7,252.4999,4.5,1.2688,0.9153,0.9567,289,199,68.86,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,6.3,439.3998,5.6,1.6457,0.8831,0.9397,289,267,92.39,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.2,6.6,903.8995,5.4,3.2989,1.5481,1.2442,289,274,94.81,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,2.5,91.2,2.4,0.8604,0.2084,0.4565,289,106,36.68,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.7,5.3,719.8997,4.6,2.9028,1.6784,1.2955,289,248,85.81,2.01515E+12,4
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.8,4.8,743.4998,4,2.7135,1.0969,1.0473,289,274,94.81,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.8,5.2,745.0996,4.4,2.7193,0.9797,0.9898,289,274,94.81,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.3,15.4,0.2,0.1855,0.0029,0.0541,289,83,28.72,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,4.5,83.5,4.4,1.006,0.6449,0.8031,289,83,28.72,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.8,5,471.2001,4.2,1.7197,0.3909,0.6252,289,274,94.81,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.7,2.6,358.1,1.9,1.3069,0.0705,0.2655,289,274,94.81,2.01515E+12,1.1
