product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,1.9,71.4999,1.8,0.25,0.0575,0.2399,289,286,98.96,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,1,78.9,0.9,0.2828,0.0196,0.1399,289,279,96.54,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,1.8,99.8,1.7,0.349,0.0564,0.2375,289,286,98.96,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,1.9,145.9002,1.8,0.5101,0.0697,0.2639,289,286,98.96,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,2.1,118.9001,2,0.4157,0.0667,0.2583,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.1,1.8,104,1.7,0.3636,0.0567,0.2382,289,286,98.96,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,1.2,89.9,1.1,0.3199,0.0328,0.1812,289,281,97.23,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.9,70.3,0.8,0.2458,0.0184,0.1357,289,286,98.96,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.1,1.5,126.7,1.4,0.4493,0.0614,0.2477,289,282,97.58,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,1.8,134.8,1.7,0.4713,0.0816,0.2857,289,286,98.96,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,1.7,110.8,1.6,0.3874,0.0575,0.2397,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,1.8,122.1,1.7,0.4269,0.0725,0.2693,289,286,98.96,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,1.5,174.0998,1.3,0.6087,0.0452,0.2126,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,1.9,108.4,1.8,0.3817,0.0599,0.2447,289,284,98.27,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,1,90.7,0.9,0.3171,0.0265,0.1629,289,286,98.96,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.1,73.2,1,0.2559,0.0331,0.1819,289,286,98.96,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.2,20.8,0.1,0.1209,0.0017,0.0407,289,172,59.52,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,1.6,126.1999,1.5,0.4413,0.0716,0.2676,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,1.2,176.0999,1,0.6157,0.0366,0.1914,289,286,98.96,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,1.9,114.4,1.8,0.4057,0.0649,0.2548,289,282,97.58,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,1.9,175.3999,1.8,0.6133,0.0674,0.2597,289,286,98.96,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1.7,124.7,1.6,0.436,0.0746,0.2732,289,286,98.96,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,1.4,165.2999,1.2,0.578,0.0313,0.1769,289,286,98.96,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,1.8,143.6,1.7,0.5021,0.0575,0.2397,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.6,159.6999,1.5,0.5584,0.0569,0.2385,289,286,98.96,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1.7,157.9998,1.5,0.5524,0.0593,0.2435,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.2,148.6,1.1,0.5196,0.0397,0.1992,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.7,116.6,1.6,0.4077,0.0431,0.2076,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.3,168.9999,1.2,0.5909,0.0536,0.2316,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,1.8,170.4999,1.6,0.5962,0.0555,0.2355,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.5,1.4,204.3999,0.9,0.7147,0.0187,0.1369,289,286,98.96,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,1.6,161.3999,1.3,0.5643,0.0504,0.2245,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.2,1.3,142.8,1.1,0.4993,0.0403,0.2009,289,286,98.96,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,1.4,136.1999,1.3,0.4762,0.0471,0.2169,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.3,1.4,144.2,1.1,0.5042,0.0309,0.1758,289,286,98.96,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,1.3,128.3999,1.2,0.449,0.0483,0.2198,289,286,98.96,2.01515E+12,0.2
