product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,2.5,189,2.3,0.654,0.141,0.3755,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,1.4,196.2999,1.2,0.6792,0.1232,0.3511,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,1.4,176.2001,1.2,0.6097,0.1317,0.363,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,1.6,168,1.5,0.5957,0.1555,0.3944,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,1.6,185,1.5,0.6446,0.1528,0.3909,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,2.7,203,2.5,0.7049,0.203,0.4506,289,288,99.65,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,1.4,173.2,1.2,0.5993,0.0972,0.3118,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,1.4,116.2998,1.3,0.4323,0.1087,0.3297,289,269,93.08,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,1.5,209.3999,1.3,0.7246,0.1221,0.3495,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,1.4,196.3,1.2,0.6792,0.1338,0.3657,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,1.4,193.3001,1.2,0.6689,0.1201,0.3466,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,1.5,218.8,1.3,0.7571,0.1399,0.374,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,1.4,218.5999,1.2,0.7564,0.1357,0.3684,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,1.6,210.1999,1.4,0.7273,0.1315,0.3626,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,1.6,180.6999,1.5,0.6408,0.1257,0.3546,289,282,97.58,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.8,45.8,1.7,0.2863,0.0847,0.291,289,160,55.36,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,1.4,179.9002,1.2,0.6225,0.124,0.3522,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,1.7,189.6001,1.5,0.6561,0.1161,0.3407,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,1.5,205.7998,1.3,0.7121,0.1186,0.3443,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,1.5,221.1,1.3,0.7651,0.1218,0.349,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,1.6,218.7998,1.4,0.7571,0.1326,0.3641,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,2.2,203.7999,2,0.7052,0.1278,0.3575,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,1.5,212.8999,1.3,0.7367,0.1162,0.3409,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,1.6,226.2999,1.4,0.783,0.1127,0.3357,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.5,199.8,1.4,0.6913,0.1194,0.3456,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,2.4,176.3001,2.3,0.61,0.1416,0.3763,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.3,109.7,1.2,0.3932,0.0519,0.2278,289,279,96.54,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.9,144.1,1.8,0.4986,0.1257,0.3546,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.8,157.8001,1.7,0.5479,0.1658,0.4072,289,288,99.65,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.3,154.6002,1.2,0.5349,0.1026,0.3202,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,1.7,154.5003,1.6,0.5346,0.1218,0.3491,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,1.4,141.9,1.3,0.491,0.1095,0.331,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,1.6,155.3002,1.5,0.5374,0.1102,0.332,289,289,100,2.01515E+12,0.3
