product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,2.5,194.1,2.3,0.789,0.2216,0.4708,289,246,85.12,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,2.9,440.4001,2.6,1.5239,0.2548,0.5047,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.3,3,430.2,2.7,1.4886,0.2903,0.5388,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,3.5,385.4998,3.2,1.3339,0.3283,0.573,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,2.6,323.9999,2.4,1.1489,0.2492,0.4992,289,282,97.58,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.4,4.2,443.3002,3.8,1.5339,0.3148,0.561,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,2.5,410.7001,2.1,1.4211,0.2315,0.4811,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,1.9,295.1998,1.7,1.0215,0.1484,0.3852,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,2.5,420.6,2.1,1.4554,0.2548,0.5048,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.4,2.3,375.5,1.9,1.2993,0.23,0.4795,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,3.6,402.9001,3.3,1.3941,0.3238,0.569,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,3.6,291.9002,3.5,1.05,0.2705,0.5201,289,278,96.19,2.01515E+12,1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,2.3,319.6002,2.1,1.1059,0.2332,0.4829,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,2.2,306.3998,2,1.0602,0.2254,0.4747,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,2.2,308.3,2,1.0668,0.2597,0.5096,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.1,81.4001,1,0.3634,0.038,0.195,289,224,77.51,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,2.5,146.5,2.4,0.872,0.4199,0.648,289,168,58.13,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,2.4,288.5999,2.2,0.9986,0.2564,0.5064,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,2.2,282.1002,2.1,0.9761,0.3516,0.593,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,2.1,289.9001,1.9,1.0031,0.2633,0.5131,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,2,266.9999,1.8,0.9239,0.2339,0.4837,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,1.5,204.2001,1.3,0.7066,0.1147,0.3387,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,2,169.8,1.9,0.8844,0.255,0.5049,289,192,66.44,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,2.9,241.9,2.8,0.8609,0.3931,0.627,289,281,97.23,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.8,188.4001,1.7,0.6705,0.232,0.4816,289,281,97.23,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,2,209.1001,1.9,0.726,0.2791,0.5283,289,288,99.65,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,2.3,185.7001,2.2,0.6426,0.248,0.498,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,2.2,106.4,2.1,0.5294,0.1503,0.3877,289,201,69.55,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.7,3.9,0.6,0.15,0.0156,0.1248,289,26,9,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.9,46.2,0.8,0.4088,0.0514,0.2268,289,113,39.1,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,2.3,134.9,2.2,0.7494,0.2361,0.4859,289,180,62.28,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,1,43.3,0.9,0.4418,0.0551,0.2347,289,98,33.91,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.6,21,0.5,0.2692,0.028,0.1674,289,78,26.99,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,2,118.6001,1.9,0.6663,0.2838,0.5327,289,178,61.59,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,2.1,142.2001,2,0.7564,0.2201,0.4692,289,188,65.05,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,2,110,1.9,0.6286,0.1763,0.4199,289,175,60.55,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,2.1,146.2,2,0.7497,0.2869,0.5356,289,195,67.47,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,2.9,132,2.8,0.7059,0.3525,0.5937,289,187,64.71,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,2,150.6,1.9,0.7723,0.2404,0.4903,289,195,67.47,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,1.7,90.7,1.6,0.6128,0.1803,0.4246,289,148,51.21,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,1.6,96.4,1.5,0.5807,0.1237,0.3517,289,166,57.44,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,2.5,22.1,2.4,0.65,0.5249,0.7245,289,34,11.76,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,2.7,123.9,2.6,0.7994,0.3123,0.5589,289,155,53.63,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.1,2,124.7,1.9,0.7558,0.2414,0.4913,289,165,57.09,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.1,1.1,83.4999,1,0.5061,0.0983,0.3135,289,165,57.09,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.1,1.1,87.4999,1,0.5147,0.0983,0.3135,289,170,58.82,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.1,1.8,114.4,1.7,0.6085,0.1509,0.3884,289,188,65.05,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,2.1,134.2,2,0.7374,0.2027,0.4502,289,182,62.98,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.1,0.7,10.5,0.6,0.35,0.0398,0.1996,289,30,10.38,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.1,2.6,110.8001,2.5,0.6055,0.1912,0.4373,289,183,63.32,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,2.6,67.2,2.5,0.5463,0.1436,0.379,289,123,42.56,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.1,2.3,85.6,2.2,0.6028,0.1715,0.4142,289,142,49.13,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.1,1.5,59.8,1.4,0.5695,0.1377,0.3711,289,105,36.33,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.1,1.5,50.5,1.4,0.4469,0.0883,0.2972,289,113,39.1,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,1.3,43.5,1.2,0.4579,0.0715,0.2674,289,95,32.87,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,0.7,32.6,0.6,0.3705,0.0514,0.2267,289,88,30.45,2.01516E+12,0.2
MCD15A3H,Lai_500m,A2003045,14/02/2003,0.1,0.2,1.8,0.1,0.1125,0.0011,0.0331,289,16,5.54,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,1,62.9,0.9,0.4558,0.0522,0.2284,289,138,47.75,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.1,0.1,0.3,0,0.1,0,0,289,3,1.04,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.1,0.4,7.1,0.3,0.1651,0.0083,0.0912,289,43,14.88,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,0.8,19.2,0.7,0.4085,0.0591,0.2431,289,47,16.26,2.01516E+12,0.1
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,0.7,14.9,0.6,0.3821,0.0476,0.2182,289,39,13.49,2.01516E+12,0.1
