product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.4,6.8,1030.7998,5.4,4.6018,1.9125,1.3829,289,224,77.51,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.9,724.2,6.4,3.8521,2.2008,1.4835,289,188,65.05,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.7,6.8,672.2001,6.1,4.7007,2.0658,1.4373,289,143,49.48,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,6.8,418.2001,6.3,3.6684,3.3492,1.8301,289,114,39.45,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,6.8,346.9,6.1,4.0812,3.8084,1.9515,289,85,29.41,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.6,6.8,1269.4999,5.2,4.8087,1.8661,1.3661,289,264,91.35,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.3,6.7,898.4,5.4,4.6072,0.7203,0.8487,289,195,67.47,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,6.3,779.4005,5.6,4.0175,2.4978,1.5805,289,194,67.13,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.3,6.8,1174.1,5.5,5.0175,1.3322,1.1542,289,234,80.97,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,6.9,1036.2,6.4,4.7972,1.7025,1.3048,289,216,74.74,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.8,1159.9999,5.8,4.6586,1.6182,1.2721,289,249,86.16,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.8,6.9,1166.2997,6.1,4.5031,1.2713,1.1275,289,259,89.62,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.9,6.8,1039.0999,4.9,5.0198,0.6093,0.7806,289,207,71.63,2.01515E+12,3
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.4,6.8,1195.3002,5.4,4.6329,1.1326,1.0642,289,258,89.27,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,4.4,107.1,4.1,1.4875,0.6761,0.8222,289,72,24.91,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.8,6.8,1305.7001,5,4.5654,0.7773,0.8816,289,286,98.96,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,1.2,6.8,1205.3004,5.6,4.4476,0.8606,0.9277,289,271,93.77,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.8,6.9,939.4999,6.1,3.3198,1.9202,1.3857,289,283,97.92,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.3,6.8,1021.2,5.5,4.2198,1.4365,1.1985,289,242,83.74,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,2,6.4,878.5005,4.4,4.349,0.6871,0.8289,289,202,69.9,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.8,6.8,1200.7003,5,4.1547,1.1486,1.0717,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,6.2,748.3992,5.7,2.5896,1.1816,1.087,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.3,6.8,920.8998,5.5,3.1865,1.6747,1.2941,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.8,5.4,737.5002,4.6,2.5519,0.9431,0.9711,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002285,12/10/2002,1,4.4,557.4,3.4,1.9287,0.3799,0.6164,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.9,3.7,499.1002,2.8,1.727,0.3017,0.5493,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,3.4,323.2998,3.1,1.1265,0.1711,0.4136,289,287,99.31,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.9,3.5,396.8,2.6,1.3778,0.2377,0.4875,289,288,99.65,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.9,3.2,452.8003,2.3,1.5668,0.3595,0.5996,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.9,3.3,405.1998,2.4,1.4021,0.313,0.5595,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,3.6,318.6,3.3,1.2847,0.2896,0.5381,289,248,85.81,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,3.1,327.1999,2.8,1.2119,0.2147,0.4634,289,270,93.43,2.01515E+12,1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.7,3.1,428.6,2.4,1.483,0.4094,0.6399,289,289,100,2.01515E+12,0.9
