product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.8,2.9,67,2.1,1.6341,0.3042,0.5515,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,2.3,60.1,1.5,1.5025,0.0802,0.2833,289,40,13.84,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.9,4.5,75.7,3.6,1.8463,0.524,0.7238,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.8,2.3,58,1.5,1.45,0.144,0.3795,289,40,13.84,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,3.2,56.7,2.6,1.4175,0.5744,0.7579,289,40,13.84,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,1.7,48.2,1,1.205,0.0765,0.2765,289,40,13.84,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,1,2,61.3,1,1.4951,0.0863,0.2938,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.8,2.8,55.8,2,1.361,0.1585,0.3981,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1,2.5,59.5,1.5,1.4512,0.124,0.3521,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,1.7,43.6,1.1,1.0634,0.0848,0.2911,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,2.7,57.1,2,1.3927,0.1997,0.4469,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.9,1.9,54.1,1,1.3195,0.0752,0.2743,289,41,14.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.1,0.5,7.5,0.4,0.2344,0.0073,0.0852,289,32,11.07,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,2.2,52.3,1.5,1.2756,0.1179,0.3434,289,41,14.19,2.01515E+12,F
