product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,6.7,1106.8994,6.5,4.0695,5.0196,2.2404,289,272,94.12,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,6.6,1107.2999,6.5,3.9546,3.3967,1.843,289,280,96.89,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.6,866.5996,6.5,3.5371,5.4008,2.324,289,245,84.78,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.5,6.6,1172.9982,5.1,4.0588,2.7039,1.6444,289,289,100,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.6,548.6003,6.5,3.4943,6.3813,2.5261,289,157,54.33,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.9,6.7,1290.1995,5.8,4.4644,2.6673,1.6332,289,289,100,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.3,6.6,1182.8005,5.3,4.0927,3.5778,1.8915,289,289,100,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,1,6.6,1163.2,5.6,4.0958,3.3277,1.8242,289,284,98.27,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,6.6,779.2999,6.4,3.0089,2.8233,1.6803,289,259,89.62,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.1,6.6,1208.0995,5.5,4.2993,3.1116,1.764,289,281,97.23,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,6.6,950.5,6.5,3.5204,3.1622,1.7783,289,270,93.43,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,1,6.6,1117.4001,5.6,3.9345,3.0866,1.7569,289,284,98.27,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.4,6.6,1179.8993,6.2,4.1693,3.0491,1.7462,289,283,97.92,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,6.6,790.1002,6.5,3.5116,5.6312,2.373,289,225,77.85,2.01515E+12,6
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,6.7,1012.4996,6.5,3.6685,2.7351,1.6538,289,276,95.5,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,6.6,1059.2003,6.4,3.7964,3.8188,1.9542,289,279,96.54,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,1,6.6,1180.8002,5.6,4.1872,2.7266,1.6512,289,282,97.58,2.01515E+12,6
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.8,6.8,1131.0991,6,4.0541,2.6253,1.6203,289,279,96.54,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.1,6.7,1029.8997,5.6,3.6914,2.0804,1.4424,289,279,96.54,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,6.9,707.4994,6.8,2.9357,3.776,1.9432,289,241,83.39,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,6.1,1057.8005,5.6,3.7511,1.5281,1.2362,289,282,97.58,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,6.2,774.3002,6,2.9,2.5531,1.5978,289,267,92.39,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.7,6,980.0995,5.3,3.4755,2.0366,1.4271,289,282,97.58,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.8,6.8,936.5,6,3.3809,2.0007,1.4145,289,277,95.85,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,6,415.8,5.9,2.6826,2.9003,1.703,289,155,53.63,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,1.1,5.9,1060.2996,4.8,3.6689,2.6069,1.6146,289,289,100,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002293,20/10/2002,1.1,6.1,955.3989,5,3.3641,2.7215,1.6497,289,284,98.27,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,5.9,522.7,5.8,2.1077,2.5235,1.5885,289,248,85.81,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.9,5.9,903.1002,5,3.1688,1.6416,1.2812,289,285,98.62,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.7,6,931.6996,5.3,3.2239,2.8532,1.6891,289,289,100,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002309,05/11/2002,1,6.1,1012.3998,5.1,3.5031,2.653,1.6288,289,289,100,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,6.9,891.9999,6.7,3.108,2.3156,1.5217,289,287,99.31,2.01515E+12,4
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.7,6.9,830.1998,6.2,3.041,3.9347,1.9836,289,273,94.46,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.8,6,905.5002,5.2,3.1332,2.7756,1.666,289,289,100,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.9,6.9,1069.2003,6,3.6997,5.3796,2.3194,289,289,100,2.01515E+12,6.9
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.7,6.9,881.4,6.2,3.0498,3.7228,1.9295,289,289,100,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.8,6.9,971.6005,6.1,3.3619,4.4442,2.1081,289,289,100,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.5,4.9,630.4005,4.4,2.1813,1.4462,1.2026,289,289,100,2.01515E+12,3
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.2,2.3,154.6,2.1,0.8267,0.3779,0.6147,289,187,64.71,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,3.4,162.0001,3.3,0.6894,0.3562,0.5968,289,235,81.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.6,6.9,743.5,6.3,2.5727,2.5105,1.5845,289,289,100,2.01515E+12,3.9
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.7,6.9,818.4001,6.2,2.8318,2.9792,1.726,289,289,100,2.01515E+12,4
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.5,5,298.5001,4.5,1.5308,0.584,0.7642,289,195,67.47,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.6,6.9,716.8,6.3,2.4803,2.5155,1.586,289,289,100,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.5,6.9,736.1999,6.4,2.5562,3.1436,1.773,289,288,99.65,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.7,6.9,739.3999,6.2,2.5674,3.1101,1.7636,289,288,99.65,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.6,6.7,809.8995,6.1,2.8024,2.9498,1.7175,289,289,100,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.6,6.8,760.2004,6.2,2.6305,2.7952,1.6719,289,289,100,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.5,6.5,723.4998,6,2.5035,2.3796,1.5426,289,289,100,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.5,6.9,672.9999,6.4,2.3287,1.9652,1.4019,289,289,100,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.5,6.9,667.5999,6.4,2.31,1.9001,1.3784,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.6,5.1,728.8,4.5,2.5218,2.0477,1.431,289,289,100,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.5,5,728.8007,4.5,2.5218,2.1474,1.4654,289,289,100,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.6,5.4,716.0999,4.8,2.4779,1.5428,1.2421,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2003037,06/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.7,5.4,865.0001,4.7,2.9931,2.4827,1.5757,289,289,100,2.01516E+12,4.2
MCD15A3H,Lai_500m,A2003045,14/02/2003,0.2,5.4,794.0999,5.2,2.7863,2.8791,1.6968,289,285,98.62,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.8,5.7,933.0001,4.9,3.2284,3.4031,1.8447,289,289,100,2.01516E+12,5.1
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.5,6,864.3003,5.5,2.9907,2.8157,1.678,289,289,100,2.01516E+12,4.3
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.1,5.3,353.5999,5.2,1.5786,1.5271,1.2358,289,224,77.51,2.01516E+12,F
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,5.6,209.1,5.5,1.3151,2.0258,1.4233,289,159,55.02,2.01516E+12,F
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,2.3,49,2.2,0.374,0.1219,0.3492,289,131,45.33,2.01516E+12,F
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.7,5.1,807.6003,4.4,2.7945,1.8916,1.3754,289,289,100,2.01516E+12,3.9
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.2,5.4,489.8004,5.2,2.1203,1.9915,1.4112,289,231,79.93,2.01516E+12,F
MCD15A3H,Lai_500m,A2003077,18/03/2003,1,6.2,960.4001,5.2,3.3232,1.9583,1.3994,289,289,100,2.01516E+12,3.9
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.8,5.7,940.2,4.9,3.2533,1.4235,1.1931,289,289,100,2.01516E+12,3.7
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.1,6.6,404.6,6.5,2.0964,4.0399,2.01,289,193,66.78,2.01516E+12,6.1
MCD15A3H,Lai_500m,A2003089,30/03/2003,1.1,6.2,1148.1991,5.1,3.973,2.4826,1.5756,289,289,100,2.01516E+12,5.2
MCD15A3H,Lai_500m,A2003093,03/04/2003,0.7,6.6,1021.2001,5.9,3.5458,3.2629,1.8063,289,288,99.65,2.01516E+12,5
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.1,6.6,855.4998,6.5,3.3681,2.8915,1.7004,289,254,87.89,2.01516E+12,F
MCD15A3H,Lai_500m,A2003101,11/04/2003,1.4,6.6,1214.4999,5.2,4.2024,3.0785,1.7546,289,289,100,2.01516E+12,5.6
MCD15A3H,Lai_500m,A2003105,15/04/2003,1.1,6.7,1214.4999,5.6,4.217,2.8611,1.6915,289,288,99.65,2.01516E+12,4.9
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.1,6.6,1104,6.5,3.9429,4.2917,2.0716,289,280,96.89,2.01516E+12,F
MCD15A3H,Lai_500m,A2003113,23/04/2003,1,6.5,1066.9999,5.5,3.692,1.301,1.1406,289,289,100,2.01516E+12,3.9
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.2,6.6,1221.2002,6.4,4.2403,4.1663,2.0412,289,288,99.65,2.01516E+12,5.6
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.1,6.6,1155.7998,6.5,4.1279,4.6429,2.1547,289,280,96.89,2.01516E+12,5.9
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.8,6.6,968.7004,5.8,3.3753,1.6155,1.271,289,287,99.31,2.01516E+12,4.1
MCD15A3H,Lai_500m,A2003129,09/05/2003,1.4,6.8,1309.9003,5.4,4.5325,3.4969,1.87,289,289,100,2.01516E+12,6.4
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.6,6.6,1146.8,6,3.9819,3.4454,1.8562,289,288,99.65,2.01516E+12,5.7
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.3,6.6,960.2,6.3,3.8562,3.7574,1.9384,289,249,86.16,2.01516E+12,F
MCD15A3H,Lai_500m,A2003141,21/05/2003,0.1,6.6,180.4,6.5,1.9609,5.4589,2.3364,289,92,31.83,2.01516E+12,F
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.1,6.6,1114.6992,6.5,3.884,1.9692,1.4033,289,287,99.31,2.01516E+12,4.7
MCD15A3H,Lai_500m,A2003149,29/05/2003,0.1,6.8,1332.2,6.7,4.6257,3.5563,1.8858,289,288,99.65,2.01516E+12,6
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.7,6.6,570.8002,5.9,2.8828,5.1259,2.264,289,198,68.51,2.01516E+12,F
MCD15A3H,Lai_500m,A2003157,06/06/2003,0.1,6.6,182.9001,6.5,1.4289,4.3841,2.0938,289,128,44.29,2.01516E+12,F
MCD15A3H,Lai_500m,A2003161,10/06/2003,0.6,6.2,839.1003,5.6,3.0736,2.0658,1.4373,289,273,94.46,2.01516E+12,2.5
MCD15A3H,Lai_500m,A2003165,14/06/2003,0.1,6.6,983.6995,6.5,3.7403,4.1421,2.0352,289,263,91,2.01516E+12,6
MCD15A3H,Lai_500m,A2003169,18/06/2003,1.1,6.6,102.1,5.5,4.2542,5.025,2.2416,289,24,8.3,2.01516E+12,F
MCD15A3H,Lai_500m,A2003173,22/06/2003,1.5,6.7,1222.4995,5.2,4.3661,2.7239,1.6504,289,280,96.89,2.01516E+12,5.7
MCD15A3H,Lai_500m,A2003177,26/06/2003,0.2,6.6,731.9001,6.4,3.0244,3.0744,1.7534,289,242,83.74,2.01516E+12,3.6
MCD15A3H,Lai_500m,A2003181,30/06/2003,0.1,1.4,128.7,1.3,0.8876,0.1014,0.3184,289,145,50.17,2.01516E+12,F
MCD15A3H,Lai_500m,A2003185,04/07/2003,0.1,6.3,853.0001,6.2,3.4534,2.5846,1.6077,289,247,85.47,2.01516E+12,5.2
MCD15A3H,Lai_500m,A2003189,08/07/2003,0.1,6.6,878.6002,6.5,3.3534,3.9505,1.9876,289,262,90.66,2.01516E+12,5.9
MCD15A3H,Lai_500m,A2003193,12/07/2003,0.1,5.2,538.5999,5.1,1.9236,1.6909,1.3004,289,280,96.89,2.01508E+12,1
MCD15A3H,Lai_500m,A2003197,16/07/2003,0.1,6.6,754.8997,6.5,3.0563,3.8842,1.9708,289,247,85.47,2.01508E+12,F
MCD15A3H,Lai_500m,A2003201,20/07/2003,0.1,6.6,600.6,6.5,2.9298,3.5817,1.8925,289,205,70.93,2.01508E+12,5.9
MCD15A3H,Lai_500m,A2003205,24/07/2003,0.5,6.6,909.4001,6.1,3.4447,3.7612,1.9394,289,264,91.35,2.01508E+12,2.2
MCD15A3H,Lai_500m,A2003209,28/07/2003,0.1,6.2,755.6998,6.1,3.2857,1.862,1.3646,289,230,79.58,2.01508E+12,4.3
MCD15A3H,Lai_500m,A2003213,01/08/2003,0.1,6.2,133.2,6.1,0.8594,0.9631,0.9814,289,155,53.63,2.01508E+12,F
MCD15A3H,Lai_500m,A2003217,05/08/2003,0.1,6.6,504.2999,6.5,2.7557,4.7642,2.1827,289,183,63.32,2.01508E+12,F
MCD15A3H,Lai_500m,A2003221,09/08/2003,0.1,6.6,254.1,6.5,1.486,2.282,1.5106,289,171,59.17,2.01508E+12,F
MCD15A3H,Lai_500m,A2003225,13/08/2003,0.1,6.6,812.6002,6.5,3.1867,2.8167,1.6783,289,255,88.24,2.01508E+12,5.9
MCD15A3H,Lai_500m,A2003229,17/08/2003,0.6,6.9,1011.8,6.3,3.6527,3.801,1.9496,289,277,95.85,2.01508E+12,2.8
MCD15A3H,Lai_500m,A2003233,21/08/2003,0.9,6.6,1036.1001,5.7,3.6611,2.6332,1.6227,289,283,97.92,2.01508E+12,5.9
MCD15A3H,Lai_500m,A2003237,25/08/2003,0.1,6.6,825.2,6.5,3.0563,3.246,1.8017,289,270,93.43,2.01508E+12,5.7
MCD15A3H,Lai_500m,A2003241,29/08/2003,0.3,6.8,1027.8997,6.5,3.8212,3.0965,1.7597,289,269,93.08,2.01508E+12,4.6
MCD15A3H,Lai_500m,A2003245,02/09/2003,0.1,6.6,159.5,6.5,1.4115,2.606,1.6143,289,113,39.1,2.01508E+12,F
MCD15A3H,Lai_500m,A2003249,06/09/2003,0.2,6.2,330.7,6,3.0064,4.7326,2.1755,289,110,38.06,2.01508E+12,F
MCD15A3H,Lai_500m,A2003253,10/09/2003,0.9,6.6,1102.4996,5.7,3.8958,2.3883,1.5454,289,283,97.92,2.01508E+12,3.7
MCD15A3H,Lai_500m,A2003257,14/09/2003,1.2,6.5,1146.4994,5.3,3.9671,2.9466,1.7166,289,289,100,2.01508E+12,5.6
MCD15A3H,Lai_500m,A2003261,18/09/2003,1,6.6,1170.9989,5.6,4.0519,2.3658,1.5381,289,289,100,2.01508E+12,5.6
