product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.4,72.6,0.2,0.2512,0.0031,0.0552,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,0.4,77.7,0.2,0.2689,0.0026,0.0513,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,0.5,84.8001,0.3,0.2934,0.0022,0.047,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,0.5,77.3,0.3,0.2675,0.0041,0.0637,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,0.9,79.2,0.7,0.274,0.0094,0.0969,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.6,92.3001,0.4,0.3194,0.0076,0.0871,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,0.5,73.5,0.4,0.257,0.0082,0.0905,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,1.2,141.1999,0.9,0.4886,0.0317,0.178,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,1.2,157.5,0.9,0.545,0.0295,0.1719,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,1.1,158.7998,0.8,0.5495,0.0247,0.1572,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,1.1,152.3,0.8,0.527,0.0225,0.1498,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,1,162.9,0.7,0.5637,0.0147,0.1212,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,0.9,142.7,0.6,0.4938,0.0122,0.1105,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,1.6,155.8999,1.3,0.5394,0.0175,0.1325,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,0.9,150.5999,0.6,0.5211,0.0098,0.0988,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.1,100.8,1,0.35,0.033,0.1816,289,288,99.65,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,2.5,205.4999,2.2,0.7111,0.049,0.2214,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,1.1,190.5999,0.6,0.6595,0.0169,0.1299,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,1.4,196.6,1.1,0.6803,0.0191,0.1382,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.4,1,169.7999,0.6,0.5875,0.0096,0.098,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.4,0.9,170.1998,0.5,0.5889,0.0093,0.0964,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.4,1.1,163.8999,0.7,0.5671,0.0137,0.117,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,0.7,144.5999,0.4,0.5003,0.0054,0.0732,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,0.7,146.0999,0.4,0.5055,0.0042,0.0647,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,0.6,121.8001,0.3,0.4215,0.0071,0.0842,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,1,132.1,0.7,0.4571,0.0087,0.0935,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.2,1.9,118.7001,1.7,0.4107,0.0307,0.1753,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.3,0.8,130.5,0.5,0.4516,0.0068,0.0824,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,0.5,102.1002,0.3,0.3533,0.0067,0.0819,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,0.5,87.4001,0.3,0.3024,0.0025,0.0495,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.2,0.5,94.6002,0.3,0.3273,0.0053,0.0729,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,0.5,92.1002,0.3,0.3187,0.0026,0.0506,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.2,0.5,94.9002,0.3,0.3284,0.0053,0.0727,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.2,0.4,85.0001,0.2,0.2941,0.0011,0.0333,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.2,0.5,84.2001,0.3,0.2913,0.0025,0.0495,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.2,0.5,83.1001,0.3,0.2875,0.0027,0.0518,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,0.5,78.9,0.4,0.273,0.0049,0.0698,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.2,0.3,84.4001,0.1,0.292,0.0007,0.0271,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.1,0.5,74,0.4,0.2561,0.0039,0.0626,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,0.4,82.4001,0.3,0.2851,0.0014,0.0375,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,0.3,65.9,0.2,0.228,0.0022,0.0464,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,0.3,66.9,0.2,0.2315,0.0024,0.0486,289,289,100,2.01515E+12,0.2
