product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.2,6.8,749.7002,5.6,4.1883,2.0379,1.4276,289,179,61.94,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.1,6.8,619.0999,5.7,4.3908,2.4852,1.5765,289,141,48.79,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.4,6.8,1398.2003,5.4,4.8888,1.1851,1.0886,289,286,98.96,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.8,6.8,1088.0001,5,5.495,1.0021,1.001,289,198,68.51,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,6.8,594.7003,6.1,3.9384,1.969,1.4032,289,151,52.25,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.2,6.8,838.4,5.6,4.2776,2.7457,1.657,289,196,67.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,6.8,1026.3,6.1,4.6439,2.0997,1.449,289,221,76.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.5,6.8,1258.8007,5.3,4.8046,1.1185,1.0576,289,262,90.66,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.5,6.9,1353.4998,5.4,5.0693,1.0281,1.014,289,267,92.39,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.9,6.8,1191.5,5.9,4.7095,1.7432,1.3203,289,253,87.54,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.8,6.8,1457.7994,6,5.0972,0.998,0.999,289,286,98.96,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.8,6.5,713,5.7,3.1135,2.206,1.4853,289,229,79.24,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.8,6.8,1346.4996,6,4.708,1.1559,1.0751,289,286,98.96,2.01515E+12,6.7
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.9,6.8,1258.5999,5.9,4.6788,1.6605,1.2886,289,269,93.08,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,6.8,1341.4001,5.6,4.6902,1.5606,1.2492,289,286,98.96,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.2,6.8,1338.8005,5.6,4.6811,1.3364,1.156,289,286,98.96,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,1,6.8,1238.6001,5.8,4.3308,1.2373,1.1123,289,286,98.96,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.2,6.8,1261.7012,5.6,4.3657,1.4757,1.2148,289,289,100,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.4,6.2,412.5002,5.8,2.6613,3.4266,1.8511,289,155,53.63,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.4,6.8,794.4003,6.4,3.1776,3.0172,1.737,289,250,86.51,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.8,6.8,982.0001,6,3.4456,2.129,1.4591,289,285,98.62,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.6,2.8,388.3,2.2,1.3436,0.0609,0.2469,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.4,2.2,368.9001,1.8,1.2854,0.0769,0.2772,289,287,99.31,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,1.5,211.0997,1.2,0.7304,0.0249,0.1578,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,1.6,242.5998,1.3,0.8394,0.0354,0.1881,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.4,1.5,241.6997,1.1,0.8392,0.0174,0.1318,289,288,99.65,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.4,154.8999,1.3,0.6147,0.0632,0.2513,289,252,87.2,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,1,109.7,0.8,0.5274,0.0162,0.1274,289,208,71.97,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.5,1.2,201.7998,0.7,0.6983,0.0154,0.1241,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.5,1.3,198.1999,0.8,0.6858,0.0208,0.1442,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,0.9,106.4001,0.6,0.4361,0.0189,0.1376,289,244,84.43,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.5,18.3,0.4,0.2542,0.0069,0.0832,289,72,24.91,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.1,1.7,0,0.1,0,0,289,17,5.88,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.3,1.2,190.3999,0.9,0.6588,0.0232,0.1523,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,1.3,17.1,1.2,0.2408,0.03,0.1733,289,71,24.57,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,0.7,29.6,0.6,0.2552,0.0171,0.1309,289,116,40.14,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,1.1,124.5999,1,0.4756,0.0448,0.2117,289,262,90.66,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,1.7,146.4,1.6,0.5382,0.0477,0.2185,289,272,94.12,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.3,1.5,185.8001,1.2,0.6451,0.0308,0.1755,289,288,99.65,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,0.7,112.5002,0.4,0.392,0.0035,0.0594,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.3,1,148.1,0.7,0.5233,0.0124,0.1113,289,283,97.92,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.2,1.2,105,1,0.4234,0.0204,0.1429,289,248,85.81,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.3,1.4,172.7999,1.1,0.5979,0.0253,0.1591,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.3,1.3,148.3,1,0.5131,0.0194,0.1393,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.3,1.2,172.4,0.9,0.6338,0.025,0.158,289,272,94.12,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.3,2.6,143.9,2.3,0.5067,0.0415,0.2036,289,284,98.27,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.3,2.2,194.9999,1.9,0.6747,0.0514,0.2268,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.3,1.2,135.8001,0.9,0.4885,0.0202,0.142,289,278,96.19,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,1.7,149.9,1.6,0.5657,0.0552,0.2349,289,265,91.7,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2003025,25/01/2003,0.1,1,108.3001,0.9,0.4385,0.037,0.1924,289,247,85.47,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2003029,29/01/2003,0.1,1,85,0.9,0.4696,0.0424,0.206,289,181,62.63,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2003033,02/02/2003,0.1,0.7,28.7,0.6,0.3776,0.0262,0.1619,289,76,26.3,2.01515E+12,0.3
