product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.7,6.8,1282.4004,5.1,4.6464,1.238,1.1127,289,276,95.5,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002189,08/07/2002,2.9,6.8,1160.2998,3.9,5.1799,0.4097,0.6401,289,224,77.51,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.6,6.8,1507.7,5.2,5.443,0.8001,0.8945,289,277,95.85,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,1,6.8,1334.6997,5.8,5.5612,0.7931,0.8906,289,240,83.04,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,6.8,694.9001,6.6,4.9284,1.6293,1.2764,289,141,48.79,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,6.9,1113.7002,5.9,5.0623,1.4129,1.1887,289,220,76.12,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,2.7,6.8,1036,4.1,5.3958,0.4813,0.6938,289,192,66.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.8,6.6,789.5009,5.8,3.6893,2.2407,1.4969,289,214,74.05,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,6.8,1324.1002,5.9,5.213,0.6485,0.8053,289,254,87.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.7,6.3,517.5999,4.6,4.5403,0.5366,0.7325,289,114,39.45,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.8,6.8,1286.6001,6,5.2089,0.9479,0.9736,289,247,85.47,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.7,6.8,1145.7994,6.1,4.9602,0.507,0.712,289,231,79.93,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,6.7,1081.4,6,4.6612,1.2895,1.1356,289,232,80.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,6.8,1205.2007,6.1,4.5308,1.8573,1.3628,289,266,92.04,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.5,6.7,1409.7003,5.2,4.929,0.495,0.7036,289,286,98.96,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.1,6.8,1404.6997,5.7,4.9288,0.727,0.8527,289,285,98.62,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,2,6.8,1417.0004,4.8,4.9719,0.8036,0.8964,289,285,98.62,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.7,6.1,1327.9012,4.4,4.6268,0.4326,0.6577,289,287,99.31,2.01515E+12,6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.6,6.3,896.0992,5.7,3.7183,2.2677,1.5059,289,241,83.39,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,1.1,6.7,1034.2999,5.6,3.5913,1.4418,1.2007,289,288,99.65,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.6,6.1,1119.8995,4.5,3.9157,1.0981,1.0479,289,286,98.96,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002273,30/09/2002,1.2,6.7,833.2998,5.5,2.8834,1.4235,1.1931,289,289,100,2.01515E+12,4
MCD15A3H,Lai_500m,A2002277,04/10/2002,1,4.9,645.0997,3.9,2.2322,0.914,0.956,289,289,100,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.7,1.1,115.2001,0.4,0.8597,0.0082,0.0907,289,134,46.37,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,3.3,307.2003,3.1,1.0779,0.3009,0.5485,289,285,98.62,2.01515E+12,3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,2.1,298.1998,1.9,1.0883,0.0966,0.3108,289,274,94.81,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,3,65.1,2.9,0.4459,0.1943,0.4408,289,146,50.52,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.5,2.6,245,2.1,0.9959,0.0823,0.2868,289,246,85.12,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,3.3,289.2,3.1,1.0147,0.2377,0.4876,289,285,98.62,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.6,3.3,342.7998,2.7,1.1862,0.2744,0.5238,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,1.8,177.5,1.5,0.6206,0.0482,0.2196,289,286,98.96,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,2.4,272.3,2.1,0.9455,0.2073,0.4553,289,288,99.65,2.01515E+12,1
