product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.4,4.3,469.8001,3.9,1.6427,0.5093,0.7137,289,286,98.96,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.9,5.2,525.4001,4.3,1.818,0.3263,0.5712,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,5.5,384.4999,5.3,1.4084,1.136,1.0658,289,273,94.46,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.9,6.3,466.9,5.4,1.6156,0.2691,0.5187,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.9,3.4,420.8,2.5,1.4561,0.1398,0.3739,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,4.5,450.2001,3.8,1.5578,0.1874,0.4328,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,3.4,405.2,2.7,1.4021,0.1237,0.3518,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,2.3,390.9,2.1,1.3573,0.0965,0.3107,289,288,99.65,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,2.1,334.9002,1.7,1.1588,0.0706,0.2657,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,2.4,361.5001,1.8,1.2509,0.0667,0.2582,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.9,2,408.6997,1.1,1.4142,0.0325,0.1803,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.9,2.5,425.3999,1.6,1.472,0.0504,0.2245,289,289,100,2.01515E+12,1.4
