startDateTime,endDateTime,surfacewaterElevMean,surfacewaterElevMinimum,surfacewaterElevMaximum,surfacewaterElevVariance,surfacewaterElevNumPts,surfacewaterElevExpUncert,surfacewaterElevStdErMean,sWatElevFinalQF
"2017-10-15T00:00:00Z","2017-10-15T00:05:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:05:00Z","2017-10-15T00:10:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:10:00Z","2017-10-15T00:15:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:15:00Z","2017-10-15T00:20:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:20:00Z","2017-10-15T00:25:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:25:00Z","2017-10-15T00:30:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:30:00Z","2017-10-15T00:35:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:35:00Z","2017-10-15T00:40:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:40:00Z","2017-10-15T00:45:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:45:00Z","2017-10-15T00:50:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:50:00Z","2017-10-15T00:55:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T00:55:00Z","2017-10-15T01:00:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T01:00:00Z","2017-10-15T01:05:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T01:05:00Z","2017-10-15T01:10:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
"2017-10-15T01:10:00Z","2017-10-15T01:15:00Z",497.11,497.11,497.11,0.00,5,2.48,0.00,0
