startDateTime,endDateTime,inSWMean,inSWMinimum,inSWMaximum,inSWVariance,inSWNumPts,inSWExpUncert,inSWStdErMean,inSWFinalQF,outSWMean,outSWMinimum,outSWMaximum,outSWVariance,outSWNumPts,outSWExpUncert,outSWStdErMean,outSWFinalQF,inLWMean,inLWMinimum,inLWMaximum,inLWVariance,inLWNumPts,inLWExpUncert,inLWStdErMean,inLWFinalQF,outLWMean,outLWMinimum,outLWMaximum,outLWVariance,outLWNumPts,outLWExpUncert,outLWStdErMean,outLWFinalQF
"2019-10-01T00:00:00Z","2019-10-01T00:30:00Z",-0.30,-2.03,1.44,0.65,60,0.23,0.10,0,-0.17,-1.48,1.19,0.28,60,0.15,0.07,0,404.5,385.0,421.7,167.9,60,12.8,1.7,0,409.2,407.6,411.4,1.7,60,12.4,0.2,0
"2019-10-01T00:30:00Z","2019-10-01T01:00:00Z",-0.23,-1.36,1.16,0.40,60,0.17,0.08,0,-0.27,-1.35,1.03,0.37,60,0.17,0.08,0,407.0,394.8,421.9,54.1,60,12.5,0.9,0,410.7,409.4,412.8,0.7,60,12.4,0.1,0
"2019-10-01T01:00:00Z","2019-10-01T01:30:00Z",-0.42,-2.38,1.44,1.05,60,0.28,0.13,0,-0.13,-2.04,1.56,0.68,60,0.23,0.11,0,403.0,387.2,421.8,111.3,60,12.7,1.4,0,411.1,409.2,413.3,1.1,60,12.4,0.1,0
"2019-10-01T01:30:00Z","2019-10-01T02:00:00Z",-1.05,-2.50,-0.05,0.36,60,0.19,0.08,0,-0.04,-1.08,1.38,0.31,60,0.16,0.07,0,392.1,384.2,404.4,23.6,60,12.5,0.6,0,409.7,408.6,411.4,0.5,60,12.4,0.1,0
"2019-10-01T02:00:00Z","2019-10-01T02:30:00Z",-0.50,-1.76,1.51,0.64,60,0.22,0.10,0,-0.01,-1.21,2.41,0.60,60,0.23,0.10,0,402.6,396.8,416.6,25.3,60,12.5,0.6,0,411.9,410.5,413.6,0.7,60,12.4,0.1,0
"2019-10-01T02:30:00Z","2019-10-01T03:00:00Z",-0.41,-1.84,1.43,0.47,60,0.20,0.09,0,0.08,-1.25,1.95,0.51,60,0.20,0.09,0,408.2,402.2,414.3,7.5,60,12.4,0.4,0,415.9,412.4,419.0,2.5,60,12.4,0.2,0
"2019-10-01T03:00:00Z","2019-10-01T03:30:00Z",-0.60,-1.53,0.80,0.24,60,0.15,0.06,0,-0.06,-0.91,1.60,0.23,60,0.14,0.06,0,412.2,405.4,425.9,39.0,60,12.5,0.8,0,419.6,418.7,421.2,0.3,60,12.4,0.1,0
"2019-10-01T03:30:00Z","2019-10-01T04:00:00Z",-0.72,-1.95,0.90,0.36,60,0.18,0.08,0,0.14,-1.18,0.94,0.15,60,0.11,0.05,0,404.6,394.4,429.8,130.1,60,12.7,1.5,0,416.9,414.0,419.9,3.6,60,12.4,0.2,0
"2019-10-01T04:00:00Z","2019-10-01T04:30:00Z",-1.24,-2.26,-0.45,0.11,60,0.13,0.04,0,0.19,-0.74,0.82,0.09,60,0.09,0.04,0,397.3,394.2,402.7,3.3,60,12.4,0.2,0,413.9,412.7,415.0,0.3,60,12.4,0.1,0
"2019-10-01T04:30:00Z","2019-10-01T05:00:00Z",-0.66,-2.10,0.50,0.41,60,0.19,0.08,0,0.17,-0.57,1.25,0.16,60,0.12,0.05,0,412.7,394.5,430.4,149.8,60,12.8,1.6,0,414.4,412.7,415.8,1.0,60,12.4,0.1,0
