startDateTime,endDateTime,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF
"2018-10-01T00:00:00Z","2018-10-01T00:30:00Z",7.462,7.186,7.653,0.020,30,2.201,0.026,0
"2018-10-01T00:30:00Z","2018-10-01T01:00:00Z",7.185,6.985,7.444,0.019,30,2.201,0.025,0
"2018-10-01T01:00:00Z","2018-10-01T01:30:00Z",7.165,6.929,7.431,0.022,30,2.201,0.027,0
"2018-10-01T01:30:00Z","2018-10-01T02:00:00Z",6.929,6.815,7.129,0.006,30,2.200,0.015,0
"2018-10-01T02:00:00Z","2018-10-01T02:30:00Z",6.911,6.752,7.031,0.009,30,2.200,0.017,0
"2018-10-01T02:30:00Z","2018-10-01T03:00:00Z",6.826,6.708,6.996,0.005,30,2.200,0.013,0
"2018-10-01T03:00:00Z","2018-10-01T03:30:00Z",7.146,6.673,7.475,0.097,30,2.203,0.057,0
"2018-10-01T03:30:00Z","2018-10-01T04:00:00Z",7.264,7.063,7.450,0.013,30,2.200,0.021,0
"2018-10-01T04:00:00Z","2018-10-01T04:30:00Z",6.945,6.762,7.111,0.008,30,2.200,0.016,0
"2018-10-01T04:30:00Z","2018-10-01T05:00:00Z",6.625,6.459,6.746,0.006,30,2.200,0.015,0
"2018-10-01T05:00:00Z","2018-10-01T05:30:00Z",6.331,6.229,6.467,0.004,30,2.200,0.012,0
"2018-10-01T05:30:00Z","2018-10-01T06:00:00Z",6.354,6.267,6.535,0.004,30,2.200,0.012,0
"2018-10-01T06:00:00Z","2018-10-01T06:30:00Z",6.082,5.957,6.255,0.007,30,2.200,0.015,0
"2018-10-01T06:30:00Z","2018-10-01T07:00:00Z",5.915,5.823,6.070,0.003,30,2.200,0.011,0
"2018-10-01T07:00:00Z","2018-10-01T07:30:00Z",5.750,5.580,5.881,0.006,30,2.200,0.014,0
"2018-10-01T07:30:00Z","2018-10-01T08:00:00Z",5.648,5.600,5.771,0.002,30,2.200,0.007,0
"2018-10-01T08:00:00Z","2018-10-01T08:30:00Z",5.367,5.163,5.638,0.020,30,2.201,0.026,0
"2018-10-01T08:30:00Z","2018-10-01T09:00:00Z",5.035,4.862,5.183,0.006,30,2.200,0.014,0
"2018-10-01T09:00:00Z","2018-10-01T09:30:00Z",5.030,4.898,5.194,0.005,30,2.200,0.013,0
"2018-10-01T09:30:00Z","2018-10-01T10:00:00Z",4.918,4.837,4.991,0.001,30,2.200,0.007,0
"2018-10-01T10:00:00Z","2018-10-01T10:30:00Z",4.941,4.849,5.059,0.004,30,2.200,0.011,0
"2018-10-01T10:30:00Z","2018-10-01T11:00:00Z",4.983,4.889,5.092,0.003,30,2.200,0.010,0
"2018-10-01T11:00:00Z","2018-10-01T11:30:00Z",4.972,4.807,5.061,0.003,30,2.200,0.010,0
"2018-10-01T11:30:00Z","2018-10-01T12:00:00Z",4.743,4.606,4.903,0.007,30,2.200,0.015,0
"2018-10-01T12:00:00Z","2018-10-01T12:30:00Z",4.682,4.586,4.806,0.003,30,2.200,0.011,0
"2018-10-01T12:30:00Z","2018-10-01T13:00:00Z",4.690,4.606,4.769,0.003,30,2.200,0.010,0
"2018-10-01T13:00:00Z","2018-10-01T13:30:00Z",4.877,4.723,5.017,0.009,30,2.200,0.017,0
"2018-10-01T13:30:00Z","2018-10-01T14:00:00Z",5.081,4.862,5.280,0.019,30,2.201,0.025,0
"2018-10-01T14:00:00Z","2018-10-01T14:30:00Z",5.349,5.083,5.756,0.040,30,2.201,0.036,0
"2018-10-01T14:30:00Z","2018-10-01T15:00:00Z",5.925,5.625,6.191,0.026,30,2.201,0.029,0
"2018-10-01T15:00:00Z","2018-10-01T15:30:00Z",6.424,6.051,6.749,0.051,30,2.202,0.041,0
"2018-10-01T15:30:00Z","2018-10-01T16:00:00Z",7.007,6.684,7.302,0.028,30,2.201,0.031,0
"2018-10-01T16:00:00Z","2018-10-01T16:30:00Z",7.744,7.207,7.979,0.034,30,2.201,0.033,0
"2018-10-01T16:30:00Z","2018-10-01T17:00:00Z",8.436,8.012,8.752,0.048,30,2.201,0.040,0
"2018-10-01T17:00:00Z","2018-10-01T17:30:00Z",9.182,8.789,9.470,0.027,30,2.201,0.030,0
"2018-10-01T17:30:00Z","2018-10-01T18:00:00Z",9.242,8.988,9.516,0.030,30,2.201,0.032,0
"2018-10-01T18:00:00Z","2018-10-01T18:30:00Z",8.703,8.558,8.945,0.012,30,2.200,0.020,0
"2018-10-01T18:30:00Z","2018-10-01T19:00:00Z",8.823,8.610,8.929,0.007,30,2.200,0.015,0
"2018-10-01T19:00:00Z","2018-10-01T19:30:00Z",8.819,8.674,8.879,0.002,30,2.200,0.008,0
"2018-10-01T19:30:00Z","2018-10-01T20:00:00Z",8.293,7.854,8.665,0.060,30,2.202,0.045,0
"2018-10-01T20:00:00Z","2018-10-01T20:30:00Z",7.518,7.169,7.871,0.040,30,2.201,0.037,0
"2018-10-01T20:30:00Z","2018-10-01T21:00:00Z",6.952,6.641,7.286,0.051,30,2.202,0.041,0
"2018-10-01T21:00:00Z","2018-10-01T21:30:00Z",6.765,6.612,6.992,0.011,30,2.200,0.019,0
"2018-10-01T21:30:00Z","2018-10-01T22:00:00Z",7.062,6.950,7.187,0.003,30,2.200,0.010,0
"2018-10-01T22:00:00Z","2018-10-01T22:30:00Z",6.991,6.774,7.118,0.008,30,2.200,0.016,0
"2018-10-01T22:30:00Z","2018-10-01T23:00:00Z",6.727,6.628,6.859,0.003,30,2.200,0.010,0
"2018-10-01T23:00:00Z","2018-10-01T23:30:00Z",6.592,6.429,6.756,0.010,30,2.200,0.018,0
"2018-10-01T23:30:00Z","2018-10-02T00:00:00Z",6.423,6.361,6.501,0.001,30,2.200,0.006,0
"2018-10-02T00:00:00Z","2018-10-02T00:30:00Z",6.363,6.233,6.533,0.006,30,2.200,0.014,0
"2018-10-02T00:30:00Z","2018-10-02T01:00:00Z",6.392,6.322,6.510,0.002,30,2.200,0.009,0
"2018-10-02T01:00:00Z","2018-10-02T01:30:00Z",6.396,6.338,6.514,0.002,30,2.200,0.008,0
"2018-10-02T01:30:00Z","2018-10-02T02:00:00Z",6.340,6.240,6.435,0.003,30,2.200,0.009,0
"2018-10-02T02:00:00Z","2018-10-02T02:30:00Z",6.234,6.084,6.373,0.007,30,2.200,0.016,0
"2018-10-02T02:30:00Z","2018-10-02T03:00:00Z",6.075,5.982,6.176,0.002,30,2.200,0.008,0
"2018-10-02T03:00:00Z","2018-10-02T03:30:00Z",6.021,5.860,6.209,0.007,30,2.200,0.015,0
"2018-10-02T03:30:00Z","2018-10-02T04:00:00Z",5.768,5.644,5.924,0.008,30,2.200,0.016,0
"2018-10-02T04:00:00Z","2018-10-02T04:30:00Z",5.619,5.491,5.755,0.005,30,2.200,0.013,0
"2018-10-02T04:30:00Z","2018-10-02T05:00:00Z",5.623,5.545,5.734,0.003,30,2.200,0.010,0
"2018-10-02T05:00:00Z","2018-10-02T05:30:00Z",5.623,5.518,5.733,0.002,30,2.200,0.009,0
"2018-10-02T05:30:00Z","2018-10-02T06:00:00Z",5.539,5.401,5.685,0.004,30,2.200,0.012,0
"2018-10-02T06:00:00Z","2018-10-02T06:30:00Z",5.539,5.461,5.607,0.002,30,2.200,0.007,0
"2018-10-02T06:30:00Z","2018-10-02T07:00:00Z",5.628,5.534,5.754,0.002,30,2.200,0.009,0
"2018-10-02T07:00:00Z","2018-10-02T07:30:00Z",5.714,5.613,5.832,0.005,30,2.200,0.012,0
"2018-10-02T07:30:00Z","2018-10-02T08:00:00Z",5.683,5.568,5.792,0.003,30,2.200,0.011,0
"2018-10-02T08:00:00Z","2018-10-02T08:30:00Z",5.830,5.677,5.976,0.005,30,2.200,0.013,0
"2018-10-02T08:30:00Z","2018-10-02T09:00:00Z",5.975,5.791,6.331,0.017,30,2.201,0.024,0
"2018-10-02T09:00:00Z","2018-10-02T09:30:00Z",6.081,5.920,6.252,0.008,30,2.200,0.016,0
"2018-10-02T09:30:00Z","2018-10-02T10:00:00Z",5.800,5.603,6.006,0.013,30,2.200,0.021,0
"2018-10-02T10:00:00Z","2018-10-02T10:30:00Z",5.683,5.555,5.827,0.004,30,2.200,0.011,0
"2018-10-02T10:30:00Z","2018-10-02T11:00:00Z",5.745,5.565,6.040,0.015,30,2.200,0.022,0
"2018-10-02T11:00:00Z","2018-10-02T11:30:00Z",5.964,5.810,6.202,0.013,30,2.200,0.021,0
"2018-10-02T11:30:00Z","2018-10-02T12:00:00Z",5.953,5.863,6.049,0.003,30,2.200,0.009,0
