startDateTime,endDateTime,buoyWindSpeedMean,buoyWindSpeedMinimum,buoyWindSpeedMaximum,buoyWindSpeedVariance,buoyWindSpeedNumPts,buoyWindSpeedExpUncert,buoyWindSpeedStdErMean,buoyWindSpeedFinalQF,buoyWindDirMean,buoyWindDirVariance,buoyWindDirNumPts,buoyWindDirExpUncert,buoyWindDirStdErMean,buoyWindDirFinalQF
"2018-10-01T00:00:00Z","2018-10-01T00:30:00Z",0.30,0.00,1.21,0.08,449,0.14,0.01,,120.08,71.65,435,6.72,0.41,
"2018-10-01T00:30:00Z","2018-10-01T01:00:00Z",0.34,0.00,1.17,0.12,443,0.14,0.02,,106.84,87.33,401,6.74,0.47,
"2018-10-01T01:00:00Z","2018-10-01T01:30:00Z",0.33,0.00,1.00,0.09,447,0.14,0.01,,103.66,48.18,420,6.71,0.34,
"2018-10-01T01:30:00Z","2018-10-01T02:00:00Z",0.32,0.00,1.42,0.12,446,0.14,0.02,,129.76,95.25,441,6.74,0.46,
"2018-10-01T02:00:00Z","2018-10-01T02:30:00Z",0.67,0.00,3.37,0.55,441,0.16,0.04,,338.99,128.29,441,6.76,0.54,
"2018-10-01T04:00:00Z","2018-10-01T04:30:00Z",1.32,0.00,3.92,0.61,450,0.16,0.04,,339.25,28.25,450,6.69,0.25,
"2018-10-01T04:30:00Z","2018-10-01T05:00:00Z",1.02,0.00,2.42,0.30,447,0.15,0.03,,332.39,27.69,447,6.69,0.25,
"2018-10-01T05:00:00Z","2018-10-01T05:30:00Z",1.52,0.00,3.67,0.57,444,0.16,0.04,,313.28,23.03,444,6.69,0.23,
"2018-10-01T05:30:00Z","2018-10-01T06:00:00Z",1.67,0.00,4.33,0.66,446,0.16,0.04,,319.76,17.52,446,6.69,0.20,
"2018-10-01T06:00:00Z","2018-10-01T06:30:00Z",1.47,0.00,4.54,0.51,442,0.16,0.03,,335.57,23.05,442,6.69,0.23,
"2018-10-01T08:00:00Z","2018-10-01T08:30:00Z",0.97,0.00,3.67,0.31,450,0.15,0.03,,338.05,22.19,450,6.69,0.22,
"2018-10-01T08:30:00Z","2018-10-01T09:00:00Z",0.62,0.00,2.21,0.18,450,0.15,0.02,,0.32,51.46,450,6.71,0.34,
"2018-10-01T09:00:00Z","2018-10-01T09:30:00Z",0.54,0.00,1.79,0.16,449,0.14,0.02,,6.20,55.03,449,6.71,0.35,
"2018-10-01T09:30:00Z","2018-10-01T10:00:00Z",0.70,0.00,2.62,0.25,448,0.15,0.02,,31.77,22.09,359,6.69,0.25,
"2018-10-01T10:00:00Z","2018-10-01T10:30:00Z",0.85,0.00,3.08,0.35,450,0.15,0.03,,2.41,40.41,450,6.70,0.30,
"2018-10-01T12:00:00Z","2018-10-01T12:30:00Z",1.02,0.00,2.50,0.37,450,0.15,0.03,,359.17,27.04,450,6.69,0.25,
"2018-10-01T12:30:00Z","2018-10-01T13:00:00Z",0.85,0.00,3.37,0.47,442,0.15,0.03,,35.64,27.83,435,6.69,0.25,
"2018-10-01T13:00:00Z","2018-10-01T13:30:00Z",1.00,0.00,3.04,0.40,450,0.15,0.03,,40.37,20.35,448,6.69,0.21,
"2018-10-01T13:30:00Z","2018-10-01T14:00:00Z",1.21,0.00,3.83,0.71,450,0.16,0.04,,54.78,28.36,439,6.69,0.25,
"2018-10-01T14:00:00Z","2018-10-01T14:30:00Z",1.06,0.00,4.46,0.60,450,0.16,0.04,,74.51,49.03,438,6.71,0.33,
