iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2012 1 1 0 -1.2 -14.19 -999.0 -999 4.94 3.49 91.76 11.73 99.35 0.0 0.0 -999 367.93 -999 0 0.0 0.7 -999 -999 231.29
2012 1 2 0 -2.63 -10.94 -999.0 -999 4.58 3.31 91.57 11.6 99.31 0.0 0.0 -999 367.13 -999 0 0.0 0.7 -999 -999 225.36
2012 1 3 0 -6.02 -21.06 -999.0 -999 4.27 3.66 89.0 11.65 99.3 0.0 0.0 -999 364.41 -999 0 0.0 0.7 -999 -999 218.02
2012 1 4 0 -5.49 -14.61 -999.0 -999 3.56 3.71 86.53 11.76 99.28 0.0 0.0 -999 365.81 -999 0 0.0 0.7 -999 -999 226.61
2012 1 5 0 -5.94 -18.89 27.49 -999 3.65 2.88 86.98 11.49 99.26 0.0 0.0 -999 363.68 -999 0 0.0 0.7 -999 -999 234.34
2012 1 6 0 -11.61 -26.04 10.8 -999 4.07 3.61 85.88 11.35 99.25 0.0 0.0 -999 356.92 -999 0 0.0 0.7 -999 -999 224.55
2012 1 7 0 -30.47 -21.78 7.84 -999 5.91 3.66 85.86 10.84 99.23 0.0 0.0 -999 333.96 -999 0 0.01 0.7 -999 -999 220.13
2012 1 8 0 -51.67 -39.19 12.56 -999 9.63 4.18 84.4 10.46 99.21 0.0 0.0 -999 310.33 -999 0 0.01 0.7 -999 -999 214.63
2012 1 9 0 -41.66 -26.85 4.64 -999 11.93 3.82 84.0 10.35 99.19 0.0 10.9 -999 307.18 -999 0 0.01 0.7 -999 -999 211.73
2012 1 10 0 6.03 -17.84 17.56 -999 12.61 3.78 84.27 10.79 99.15 0.0 40.53 -999 333.91 -999 0 0.03 0.7 -999 -999 209.01
2012 1 11 0 46.64 -13.88 28.56 -999 12.29 4.23 82.98 11.04 99.1 0.0 102.94 -999 322.47 -999 0 0.05 0.7 -999 -999 208.57
2012 1 12 0 25.33 -8.44 26.26 -999 12.1 3.87 81.72 11.06 99.01 0.0 74.92 -999 325.74 -999 0 0.06 0.7 -999 -999 205.87
2012 1 13 0 17.13 -11.27 22.32 -999 11.28 3.45 81.33 11.09 98.89 0.0 50.01 -999 339.73 -999 0 0.07 0.7 -999 -999 201.54
2012 1 14 0 6.8 -36.98 -999.0 -999 10.76 3.99 82.39 10.91 98.79 0.2 25.23 -999 351.1 -999 0 0.06 0.7 -999 -999 204.58
2012 1 15 0 0.32 -32.64 -999.0 -999 10.13 3.31 85.46 10.29 98.67 0.0 14.74 -999 349.96 -999 0 0.06 0.7 -999 -999 200.64
