iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2005 1 0 0 -10.5 -36.5 -999.0 -999.0 0 2.235 77.75 -6.1 81.9 0.0 1.0 0 274.5 -999.0 -999.0 109.01147368190102 4.0 -999.0 -999.0 230.0
2005 1 1 0 -41.5 -20.5 6.0 -999.0 0 3.225 75.95 -5.300000000000001 81.85050000000001 0.0 -1.5 0 248.5 -999.0 -999.0 109.01173278929848 4.0 -999.0 -999.0 199.0
2005 1 2 0 -57.0 -24.0 -999.0 -999.0 0 3.59 79.75 -5.699999999999999 81.7505 0.0 -2.0 0 230.5 -999.0 -999.0 109.01194740742191 4.0 -999.0 -999.0 190.5
2005 1 3 0 -63.0 -26.5 -999.0 -999.0 0 2.29 83.80000000000001 -6.3 81.7 0.0 -2.0 0 222.0 -999.0 -999.0 109.0121220413166 4.0 -999.0 -999.0 212.0
2005 1 4 0 -60.0 -23.0 -999.0 -999.0 0 1.67 87.1 -7.050000000000001 81.6505 0.0 -2.0 0 221.5 -999.0 -999.0 109.01227316346628 4.0 -999.0 -999.0 250.5
2005 1 5 0 -44.5 -17.5 -999.0 -999.0 0 1.47 88.05 -7.300000000000001 81.601 0.0 -1.5 0 236.0 -999.0 -999.0 109.01241445009309 4.0 -999.0 -999.0 275.5
2005 1 6 0 -57.5 -26.5 -999.0 -999.0 0 1.6600000000000001 88.5 -7.55 81.601 0.0 -2.0 0 223.0 -999.0 -999.0 109.0125402333753 4.0 -999.0 -999.0 256.5
2005 1 7 0 -63.0 -15.5 1.0 -999.0 0 1.4100000000000001 88.25 -7.5 81.6505 0.0 -1.0 0 215.0 -999.0 -999.0 109.01261555040618 4.0 -999.0 -999.0 147.5
2005 1 8 0 -27.5 4.5 4.0 -999.0 0 1.545 84.15 -7.7 81.6505 0.0 54.0 0 207.5 -999.0 -999.0 109.01277721140677 4.0 -999.0 -999.0 79.0
2005 1 9 0 69.0 70.5 8.0 -999.0 0 0.905 76.65 -8.7 81.7505 0.0 154.5 0 219.0 -999.0 -999.0 109.01287485375688 4.0 -999.0 -999.0 70.0
2005 1 10 0 107.5 90.5 12.5 -999.0 0 1.78 79.80000000000001 -9.95 81.801 0.0 117.5 0 276.0 -999.0 -999.0 109.01288979205013 4.0 -999.0 -999.0 78.0
2005 1 11 0 116.0 76.0 7.0 -999.0 0 1.045 79.0 -10.2 81.85050000000001 0.0 142.5 0 264.0 -999.0 -999.0 109.01309346854144 4.0 -999.0 -999.0 79.5
2005 1 12 0 225.5 125.5 8.0 -999.0 0 1.2650000000000001 71.2 -8.25 81.801 0.0 332.5 0 221.5 -999.0 -999.0 109.01386706037174 4.0 -999.0 -999.0 116.5
2005 1 13 0 230.5 137.5 6.5 -999.0 0 1.505 63.85 -6.95 81.801 0.0 366.5 0 202.0 -999.0 -999.0 109.01496137324695 4.0 -999.0 -999.0 91.5
2005 1 14 0 149.0 96.5 3.5 -999.0 0 1.855 59.05 -6.35 81.9 0.0 276.0 0 200.0 -999.0 -999.0 109.01581219348667 4.0 -999.0 -999.0 123.0
2005 1 15 0 20.5 58.5 2.5 -999.0 0 1.645 57.0 -6.6 81.95 0.0 130.0 0 197.5 -999.0 -999.0 109.0161345412315 4.0 -999.0 -999.0 114.5
2005 1 16 0 -60.5 2.5 0.0 -999.0 0 0.815 60.3 -8.15 82.101 0.0 27.5 0 195.5 -999.0 -999.0 109.01621278266397 4.0 -999.0 -999.0 104.5
2005 1 17 0 -80.5 -2.5 0.0 -999.0 0 1.075 62.349999999999994 -7.55 82.101 0.0 -2.5 0 192.0 -999.0 -999.0 109.01645814347599 4.0 -999.0 -999.0 289.5
2005 1 18 0 -79.5 -7.5 0.0 -999.0 0 1.405 61.1 -7.25 82.2 0.0 -3.0 0 192.0 -999.0 -999.0 109.01676982659035 4.0 -999.0 -999.0 275.0
2005 1 19 0 -77.5 -4.0 0.0 -999.0 0 1.23 60.85 -7.5 82.2 0.0 -2.0 0 192.0 -999.0 -999.0 109.01707977881914 4.0 -999.0 -999.0 325.0
2005 1 20 0 -78.0 -9.5 0.0 -999.0 0 1.2349999999999999 62.95 -8.2 82.2 0.0 -3.5 0 192.0 -999.0 -999.0 109.01736637725524 4.0 -999.0 -999.0 295.0
2005 1 21 0 -74.5 0.5 0.0 -999.0 0 0.9850000000000001 66.55000000000001 -9.100000000000001 82.2 0.0 -1.5 0 190.0 -999.0 -999.0 109.01765416904009 4.0 -999.0 -999.0 172.5
2005 1 22 0 -76.5 -10.5 0.0 -999.0 0 0.89 64.2 -8.100000000000001 82.2505 0.0 -2.0 0 190.0 -999.0 -999.0 109.01795565432612 4.0 -999.0 -999.0 112.5
2005 1 23 0 -77.0 -26.5 -999.0 -999.0 0 1.37 66.1 -8.0 82.301 0.0 -2.0 0 191.0 -999.0 -999.0 109.0183299724609 4.0 -999.0 -999.0 234.5
2005 2 0 0 -85.5 -58.5 4.0 -999.0 0 3.285 58.7 -4.8 82.2 0.0 -1.0 0 197.5 -999.0 -999.0 109.018807420112 4.0 -999.0 -999.0 270.5
2005 2 1 0 -88.5 -91.5 2.0 -999.0 0 3.12 59.4 -4.3 82.2505 0.0 -3.0 0 200.0 -999.0 -999.0 109.01929285488221 4.0 -999.0 -999.0 270.0
