iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2003 1 0 0 -9.0 -1.0 0.0 -999.0 0 0.76 88.6 -3.35 93.601 0.0 0.0 0 290.0 -999.0 -999.0 0.00038011215126942943 1.5999999999999999 -999.0 -999.0 216.0
2003 1 1 0 -31.0 -0.5 0.0 -999.0 0 0.7649999999999999 94.05 -4.55 93.6505 0.0 0.0 0 257.0 -999.0 -999.0 0.000536600116982792 1.5999999999999999 -999.0 -999.0 333.0
2003 1 2 0 -20.5 -2.0 0.0 -999.0 0 1.085 97.65 -5.8 93.7505 0.0 0.0 0 268.0 -999.0 -999.0 0.000629800278214058 1.5999999999999999 -999.0 -999.0 335.5
2003 1 3 0 -27.0 -4.5 -999.0 -999.0 0 1.23 100.0 -6.5 93.801 0.0 0.0 0 256.5 -999.0 -999.0 0.0007149332557006005 1.5999999999999999 -999.0 -999.0 344.5
2003 1 4 0 -21.0 0.5 0.5 -999.0 0 0.99 99.6 -5.55 93.85050000000001 0.0 0.0 0 260.5 -999.0 -999.0 0.000848492259898137 1.5999999999999999 -999.0 -999.0 154.0
2003 1 5 0 -7.5 -2.0 1.0 -999.0 0 0.51 97.1 -4.5 93.95 0.0 0.0 0 281.5 -999.0 -999.0 0.001018247363231713 1.5999999999999999 -999.0 -999.0 166.0
2003 1 6 0 2.5 0.0 0.5 -999.0 0 0.585 97.5 -3.9 94.0505 0.0 0.0 0 298.0 -999.0 -999.0 0.0011833977773131703 1.5999999999999999 -999.0 -999.0 255.0
2003 1 7 0 1.5 3.5 1.0 -999.0 0 0.63 97.45 -3.7 94.101 0.0 0.0 0 299.0 -999.0 -999.0 0.0014114313831825598 1.5999999999999999 -999.0 -999.0 133.0
2003 1 8 0 -0.5 -0.5 1.0 -999.0 0 0.7849999999999999 99.5 -3.7 94.2 0.0 4.5 0 291.5 -999.0 -999.0 0.0023978100187420637 1.5999999999999999 -999.0 -999.0 191.0
2003 1 9 0 18.0 -0.5 2.5 -999.0 0 2.025 96.65 -2.55 94.301 0.0 22.5 0 294.5 -999.0 -999.0 0.005374979501143666 1.5999999999999999 -999.0 -999.0 321.0
2003 1 10 0 33.0 3.5 7.0 -999.0 0 3.385 93.0 -2.3 94.4 0.0 46.5 0 298.5 -999.0 -999.0 0.013554832655512902 1.5999999999999999 -999.0 -999.0 338.0
2003 1 11 0 85.5 12.0 10.0 -999.0 0 3.7350000000000003 93.25 -1.55 94.35050000000001 0.0 114.0 0 297.0 -999.0 -999.0 0.03481246990496345 1.5999999999999999 -999.0 -999.0 343.0
2003 1 12 0 153.0 25.0 15.0 -999.0 0 3.625 84.94999999999999 0.15 94.301 0.0 222.0 0 292.0 -999.0 -999.0 0.06220325337107132 1.5999999999999999 -999.0 -999.0 338.0
2003 1 13 0 -12.5 10.5 9.5 -999.0 0 2.955 84.1 0.44999999999999996 94.4 0.0 130.5 0 265.0 -999.0 -999.0 0.08450073703900074 1.5999999999999999 -999.0 -999.0 335.5
