product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,2,249.8998,1.8,0.9724,0.206,0.4538,289,257,88.93,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,1,1.7,399.9995,0.7,1.3889,0.0118,0.1084,289,288,99.65,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,1.9,276.3,1.7,1.0921,0.1853,0.4305,289,253,87.54,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.3,1.9,466.7009,0.6,1.6149,0.0072,0.085,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.4,1.9,466.2007,0.5,1.6132,0.009,0.0947,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,2.1,481.1009,1.1,1.6647,0.0128,0.1131,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.3,2,478.5009,0.7,1.6557,0.0083,0.0914,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.3,2.2,0.2,0.1467,0.0052,0.0718,289,15,5.19,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,0.7,15.7,0.6,0.1987,0.0148,0.1217,289,79,27.34,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,1.9,100.2,1.8,0.4493,0.0898,0.2996,289,223,77.16,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.7,1.2,301.0003,0.5,1.0415,0.0053,0.073,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,1,253.6998,0.7,0.8779,0.0084,0.0915,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,1.8,204.4997,1.3,0.7076,0.0161,0.127,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,1.5,213.1996,0.9,0.7377,0.0101,0.1005,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1,91.8999,0.9,0.3766,0.0624,0.2499,289,244,84.43,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,1,191.1,0.7,0.6612,0.018,0.1342,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,0.9,198.8997,0.4,0.6882,0.0035,0.0588,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002261,18/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,0.1,1.6,0,0.1,0,0,289,16,5.54,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
