product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.3,6.7,748.4,5.4,3.742,1.7766,1.3329,289,200,69.2,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.2,6.9,777.9,5.7,3.722,1.9521,1.3972,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.9,6.8,647.4998,5.9,3.3549,1.855,1.362,289,193,66.78,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.4,6.6,768.8004,5.2,3.6962,1.9931,1.4118,289,208,71.97,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.5,6.7,784.9996,5.2,3.756,1.6294,1.2765,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.9,6,599.2,5.1,2.9087,1.103,1.0503,289,206,71.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.5,6.6,552.9,6.1,3.4774,2.342,1.5304,289,159,55.02,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,6.4,400.0999,6,2.8376,2.2161,1.4887,289,141,48.79,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.3,6.8,783.3001,5.5,3.7478,2.1349,1.4611,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,6.8,574.2,6.2,3.5012,2.0173,1.4203,289,164,56.75,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,5.9,559.0001,5.6,2.8232,1.7115,1.3082,289,198,68.51,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,6.1,483.3001,5.8,2.6266,1.62,1.2728,289,184,63.67,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.6,5.5,306.1999,4.9,2.4894,1.6605,1.2886,289,123,42.56,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.2,5.5,0.1,0.1774,0.0017,0.0418,289,31,10.73,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1,6.6,673.5997,5.6,3.4367,2.5066,1.5832,289,196,67.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.2,6.8,723.7002,5.6,3.4627,2.2586,1.5029,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,6.2,636.5999,5.5,3.0459,1.505,1.2268,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,6.6,518.2999,6.1,2.7866,2.5321,1.5913,289,186,64.36,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.1,6,542.5001,4.9,2.6082,1.226,1.1073,289,208,71.97,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.6,6.5,620.4998,5.9,2.9689,1.814,1.3469,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.6,6.3,610.3999,5.7,2.9631,2.4849,1.5764,289,206,71.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.9,6.4,550.3,5.5,2.633,1.3426,1.1587,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.5,5.4,343.6,4.9,1.8277,1.1305,1.0633,289,188,65.05,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,4.1,201.6,3.8,1.7379,0.801,0.895,289,116,40.14,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.6,6.4,479.9001,5.8,2.3757,1.4088,1.1869,289,202,69.9,2.01515E+12,F
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.5,5.7,404.8002,5.2,1.9368,0.7635,0.8738,289,209,72.32,2.01515E+12,F
