product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.4,6.8,962.5996,6.4,3.8504,2.3008,1.5168,289,250,86.51,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.1,6.6,571.2003,5.5,3.36,2.4812,1.5752,289,170,58.82,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.8,236.7,6.7,2.7847,3.9453,1.9863,289,85,29.41,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.2,6.5,1011.8999,5.3,3.877,1.0995,1.0486,289,261,90.31,2.01515E+12,3.6
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.8,580.1001,6.7,2.8861,3.6152,1.9014,289,201,69.55,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.8,939.7997,6.3,4.0684,1.5831,1.2582,289,231,79.93,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.5,6.6,945.0002,5.1,3.677,1.7544,1.3245,289,257,88.93,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.4,6.8,1055.1001,5.4,3.9078,2.1045,1.4507,289,270,93.43,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.3,6.8,1194.0001,5.5,4.4222,1.7169,1.3103,289,270,93.43,2.01515E+12,6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,6.6,866.9999,6,3.4542,1.7586,1.3261,289,251,86.85,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.3,6.8,1067.8002,5.5,4.0294,1.7662,1.329,289,265,91.7,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,1,6.8,1152.4,5.8,4.3487,1.7732,1.3316,289,265,91.7,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.8,666.1,5.8,3.9182,2.7873,1.6695,289,170,58.82,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.3,6.8,1120.9003,5.5,4.1669,1.2018,1.0963,289,269,93.08,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.5,6.6,1051.2997,5.1,3.8937,1.1728,1.083,289,270,93.43,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,1,6.5,1071.7998,5.5,3.9696,1.1438,1.0695,289,270,93.43,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,4.9,110.3,4.7,1.1734,0.5039,0.7098,289,94,32.53,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,1,6.8,819.2994,5.8,3.317,1.902,1.3791,289,247,85.47,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,6.7,627.9999,6.2,2.7911,2.1544,1.4678,289,225,77.85,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,5,253.8999,4.8,1.2888,0.9416,0.9704,289,197,68.17,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.7,6.3,448.9998,5.6,1.7072,1.0087,1.0043,289,263,91,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.3,6.6,903.2994,5.3,3.3456,1.5271,1.2358,289,270,93.43,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,2.5,95.8,2.4,0.887,0.2,0.4472,289,108,37.37,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.7,5.3,720.9996,4.6,2.9309,1.669,1.2919,289,246,85.12,2.01515E+12,4
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.8,4.9,733.7997,4.1,2.7178,1.0663,1.0326,289,270,93.43,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.8,6.1,733.8997,5.3,2.7181,1.0053,1.0027,289,270,93.43,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.3,15.4,0.2,0.1878,0.003,0.055,289,82,28.37,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,4.5,81.5,4.4,1.0062,0.6216,0.7884,289,81,28.03,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.8,5,469.0001,4.2,1.737,0.415,0.6442,289,270,93.43,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.7,2.9,355.0999,2.2,1.3152,0.0782,0.2796,289,270,93.43,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,2.5,152.9,2.3,0.7881,0.1683,0.4102,289,194,67.13,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.3,1.8,201.1001,1.5,0.7448,0.0381,0.1952,289,270,93.43,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.6,2.8,258.8996,2.2,0.9589,0.0545,0.2334,289,270,93.43,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.6,2.4,245.3998,1.8,0.9089,0.0587,0.2422,289,270,93.43,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.3,2,205.4999,1.7,0.7611,0.0349,0.1868,289,270,93.43,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.5,2.3,231.1998,1.8,0.8563,0.0425,0.2062,289,270,93.43,2.01515E+12,1
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.3,1.9,212.7999,1.6,0.7881,0.0333,0.1824,289,270,93.43,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.3,1.6,142.2,1.3,0.5267,0.0211,0.1451,289,270,93.43,2.01515E+12,0.7
