product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6.8,1203.8993,5.8,5.1669,1.9216,1.3862,289,233,80.62,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.9,6.8,1073.7003,5.9,4.6082,2.2129,1.4876,289,233,80.62,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.9,6.8,1290.4998,4.9,5.4915,0.6926,0.8322,289,235,81.31,2.01515E+12,6.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,6.7,690.8998,6.1,3.0039,4.4843,2.1176,289,230,79.58,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.3,6.9,1463.3003,5.6,5.4196,0.7708,0.8779,289,270,93.43,2.01515E+12,6.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.7,6.6,519.6997,5.9,3.3102,2.543,1.5947,289,157,54.33,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.2,6.8,1391.8998,5.6,5.2723,1.092,1.045,289,264,91.35,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,6.8,801.2001,6.5,4.067,2.8724,1.6948,289,197,68.17,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.1,6.8,1471.5996,5.7,5.4303,1.4337,1.1974,289,271,93.77,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,2.2,6.8,1343.5002,4.6,5.3314,0.3392,0.5824,289,252,87.2,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.2,6.8,1659.7009,5.6,5.7829,0.6566,0.8103,289,287,99.31,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.8,5.6,1262.2998,3.8,4.3678,0.442,0.6649,289,289,100,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.8,6.8,1149.9001,6,4.8113,1.7662,1.329,289,239,82.7,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,6.8,975.6996,6.2,4.6242,1.8272,1.3518,289,211,73.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,6.9,1134.2998,6.6,4.6298,1.4532,1.2055,289,245,84.78,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,4.4,6.8,1571.3002,2.4,5.437,0.3117,0.5583,289,289,100,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.9,6.8,1354.7003,5.9,4.8556,1.6899,1.2999,289,279,96.54,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,3.8,6.8,1494.6,3,5.1716,0.3116,0.5582,289,289,100,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.7,5.9,1358.3997,4.2,4.7003,0.2364,0.4862,289,289,100,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.6,6.2,1132.9998,5.6,4.0464,1.6704,1.2924,289,280,96.89,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.6,5.2,1200.1002,3.6,4.1526,0.7034,0.8387,289,289,100,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,1.6,6.2,1247.2006,4.6,4.3156,0.7059,0.8402,289,289,100,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002277,04/10/2002,1.5,5.9,1158.1006,4.4,4.0073,1.1688,1.0811,289,289,100,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.9,4.6,922.1002,3.7,3.1907,0.8579,0.9262,289,289,100,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,1,5.8,685.4996,4.8,2.372,1.2041,1.0973,289,289,100,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,1.1,4.3,545.1998,3.2,1.8865,0.2504,0.5004,289,289,100,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,4.6,494.0998,4.3,1.7097,0.2667,0.5164,289,289,100,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.9,4.4,385.7999,3.5,1.3349,0.0859,0.293,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.7,1.9,354.4001,1.2,1.2263,0.0376,0.1939,289,289,100,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.8,1.9,372.8,1.1,1.29,0.0354,0.1881,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.8,2.6,371.4001,1.8,1.2851,0.0444,0.2107,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.5,1.6,287.9999,1.1,0.9965,0.0259,0.1611,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.6,1.4,297.7,0.8,1.0301,0.0209,0.1447,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.3,1.3,181.8999,1,0.636,0.0285,0.1687,289,286,98.96,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,1.8,75.3,1.7,0.7104,0.1098,0.3314,289,106,36.68,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.5,1.6,215.9997,1.1,0.7474,0.0329,0.1813,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.1,1.6,80.6,1.5,0.4429,0.066,0.2568,289,182,62.98,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.5,1.4,192.4,0.9,0.7696,0.0448,0.2116,289,250,86.51,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.3,1.7,212.5,1.4,0.7671,0.1056,0.325,289,277,95.85,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,0.9,5.7,0.6,0.5182,0.0433,0.2081,289,11,3.81,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.1,4.4,195,4.3,0.7222,0.1057,0.325,289,270,93.43,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.1,1.3,193,1.2,0.7018,0.044,0.2097,289,275,95.16,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.3,1.2,177.6999,0.9,0.6235,0.0591,0.2432,289,285,98.62,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.4,1.7,136,1.3,0.7473,0.0594,0.2438,289,182,62.98,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.9,1.1,6.7,0.2,0.9571,0.0082,0.0904,289,7,2.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.9,1.1,6.7,0.2,0.9571,0.0082,0.0904,289,7,2.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0.1,0.8,43.9,0.7,0.2661,0.0134,0.1157,289,165,57.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0.3,1.1,90.7,0.8,0.5967,0.0166,0.129,289,152,52.6,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2003017,17/01/2003,0.1,4.2,127.9,4.1,0.584,0.2298,0.4794,289,219,75.78,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2003021,21/01/2003,0.1,1.1,157.5,1,0.6081,0.0356,0.1888,289,259,89.62,2.01515E+12,0.7
