product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,4.3,275,3.7,1.4628,0.2211,0.4702,289,188,65.05,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.3,246.7,5.8,1.3335,0.419,0.6473,289,185,64.01,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.8,4.9,410.8,4.1,2.1621,0.516,0.7184,289,190,65.74,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,6.4,289.8,6.2,1.61,0.7962,0.8923,289,180,62.28,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,4.6,327.1003,3.9,1.7216,0.4355,0.6599,289,190,65.74,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.4,3.7,273.1,3.3,1.4374,0.2183,0.4673,289,190,65.74,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,4.3,368.2,3.9,1.9585,0.3673,0.6061,289,188,65.05,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,5.3,403.2001,4.6,2.1221,0.5395,0.7345,289,190,65.74,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002221,09/08/2002,1,6.7,470.1,5.7,2.4742,1.3018,1.141,289,190,65.74,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,3,214.7001,2.7,1.1543,0.3838,0.6195,289,186,64.36,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,5.9,414.2999,5.4,2.1805,0.9128,0.9554,289,190,65.74,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,0.3,8.4,0.2,0.2625,0.0042,0.065,289,32,11.07,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,5.8,376,5.1,2.0215,0.7923,0.8901,289,186,64.36,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.5,6.6,428.3,6.1,2.2542,0.8284,0.9102,289,190,65.74,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.7,5.9,409.1,5.2,2.1532,0.8693,0.9324,289,190,65.74,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.8,6.2,363.5,5.4,1.9132,0.6279,0.7924,289,190,65.74,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.4,4.8,312.8999,4.4,1.6468,0.3741,0.6116,289,190,65.74,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.4,5.1,303.4,4.7,1.5968,0.5346,0.7312,289,190,65.74,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,4.3,250.4,4,1.3179,0.3133,0.5597,289,190,65.74,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,5.1,286.5001,4.6,1.5079,0.5784,0.7605,289,190,65.74,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.4,4.5,226.6,4.1,1.1926,0.2481,0.498,289,190,65.74,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,4.4,232.1,4.2,1.2216,0.3713,0.6093,289,190,65.74,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,3,218.6001,2.8,1.1505,0.3142,0.5605,289,190,65.74,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,2.9,195.5,2.6,1.0289,0.2132,0.4618,289,190,65.74,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,2.4,165.7999,2.1,0.8726,0.1783,0.4223,289,190,65.74,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,2.7,174.8001,2.4,0.92,0.2313,0.4809,289,190,65.74,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,2.2,143.6,1.9,0.7558,0.097,0.3114,289,190,65.74,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.7,54.8,0.6,0.3044,0.0166,0.129,289,180,62.28,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.4,87.4,1.3,0.46,0.0641,0.2531,289,190,65.74,2.01515E+12,0.1
