product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.5,6.8,1135,5.3,4.1575,1.9683,1.403,289,273,94.46,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.9,6.8,1139.5002,5.9,4.4339,1.8348,1.3546,289,257,88.93,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.5,6.8,1246.9999,5.3,4.4856,1.2254,1.107,289,278,96.19,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.3,6.8,1346.4005,5.5,4.8607,1.2925,1.1369,289,277,95.85,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.9,6.8,1068.7999,5.9,4.175,2.0862,1.4444,289,256,88.58,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,6.8,1059.2998,6.5,4.1705,2.3916,1.5465,289,254,87.89,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.7,6.8,1259.4003,6.1,4.5466,1.7066,1.3064,289,277,95.85,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.3,6.8,1224.6997,5.5,4.3276,1.2002,1.0955,289,283,97.92,2.01515E+12,6.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.5,6.1,1212.7004,4.6,4.3311,0.8822,0.9393,289,280,96.89,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002225,13/08/2002,1,6.6,1187.8999,5.6,4.3354,1.3381,1.1568,289,274,94.81,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.9,6.6,1182.7997,5.7,4.2243,1.1911,1.0914,289,280,96.89,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,6.5,977.1002,5.9,3.5791,2.0008,1.4145,289,273,94.46,2.01515E+12,0.9
