product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.4,2.8,60.1,2.4,1.3356,0.2796,0.5288,289,45,15.57,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,3.6,71.5,3.5,1.5889,0.5748,0.7581,289,45,15.57,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.7,6.6,90.3,5.9,2.0067,1.0695,1.0342,289,45,15.57,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,3.8,70.1,3.5,1.5578,0.4589,0.6774,289,45,15.57,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,1.8,54.9,1.5,1.22,0.1532,0.3914,289,45,15.57,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,2.8,59.4,2.5,1.32,0.3216,0.5671,289,45,15.57,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,2.3,47.7,2.2,1.1925,0.3482,0.5901,289,40,13.84,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,2.2,55.5,2.1,1.2333,0.2644,0.5142,289,45,15.57,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,4.1,72.3,3.7,1.6067,0.7482,0.865,289,45,15.57,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,3.1,67.3,2.9,1.4956,0.4733,0.688,289,45,15.57,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.6,3.4,77.8,2.8,1.7289,0.4861,0.6972,289,45,15.57,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,1.5,26.6,1.4,0.6045,0.1468,0.3831,289,44,15.22,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.4,3.3,72.9,2.9,1.62,0.5358,0.732,289,45,15.57,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.4,3.2,64.9,2.8,1.4422,0.4629,0.6804,289,45,15.57,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,4.3,72.8,4.1,1.6178,0.6864,0.8285,289,45,15.57,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,4,75.1,3.7,1.6689,0.7044,0.8393,289,45,15.57,2.01515E+12,1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,2.2,44.7,2,0.9933,0.2148,0.4635,289,45,15.57,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,3.6,51.6,3.4,1.1467,0.386,0.6213,289,45,15.57,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,3.8,47.9,3.5,1.0644,0.3778,0.6147,289,45,15.57,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,2.6,58.5,2.3,1.3,0.308,0.555,289,45,15.57,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,2.7,55.8,2.4,1.24,0.3588,0.599,289,45,15.57,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,2.1,23,2,0.5897,0.1655,0.4069,289,39,13.49,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,4.4,58.5,4.1,1.3,0.6836,0.8268,289,45,15.57,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,3.4,52.4,3.1,1.1644,0.4058,0.6371,289,45,15.57,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,2.4,40.5,2.3,0.9,0.2258,0.4752,289,45,15.57,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,1.3,18,1.2,0.4286,0.0797,0.2822,289,42,14.53,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.3,25,1.2,0.5556,0.0718,0.268,289,45,15.57,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.4,25.2,1.3,0.56,0.1002,0.3165,289,45,15.57,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.4,23.5,1.3,0.5222,0.1048,0.3238,289,45,15.57,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.4,27.9,1.3,0.62,0.1025,0.3201,289,45,15.57,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,1.3,21.2,1.2,0.4711,0.0994,0.3153,289,45,15.57,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.8,13,0.7,0.2889,0.0534,0.2312,289,45,15.57,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.6,10.7,0.5,0.2432,0.0206,0.1437,289,44,15.22,2.01515E+12,0.1
