product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.8,6.9,794.0997,6.1,3.5451,3.9649,1.9912,289,224,77.51,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.6,6.9,725.2002,6.3,3.1259,4.3505,2.0858,289,232,80.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,1.1,21.5,0.6,0.6515,0.0231,0.152,289,33,11.42,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,6.6,648.9003,6.5,2.8712,3.1001,1.7607,289,226,78.2,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,6.6,299.3,6.1,1.7922,2.7783,1.6668,289,167,57.79,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,6.1,235.2,5.9,1.4,1.4868,1.2193,289,168,58.13,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.4,6.8,905.4999,5.4,3.9715,3.6894,1.9208,289,228,78.89,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,6.8,741.0001,6.1,3.3378,3.1045,1.762,289,222,76.82,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.4,6.8,1166.2997,5.4,4.1803,3.4519,1.8579,289,279,96.54,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,6.8,1040.5997,6.5,3.9417,4.2938,2.0721,289,264,91.35,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.6,861.8997,5.6,3.2041,2.9443,1.7159,289,269,93.08,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.2,6.9,1102.1001,5.7,3.9361,2.469,1.5713,289,280,96.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,6.7,680.4002,6.2,3.888,3.9823,1.9956,289,175,60.55,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.7,3.3,0.6,0.3,0.0418,0.2045,289,11,3.81,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,6.9,952.4999,6.3,3.75,3.26,1.8055,289,254,87.89,2.01515E+12,6.5
