product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.7,6.8,772.0004,6.1,3.0394,3.4011,1.8442,289,254,87.89,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,6.8,897.0997,6.1,3.1812,2.6966,1.6421,289,282,97.58,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.9,900.2003,5.9,3.1922,2.5277,1.5899,289,282,97.58,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.9,6.8,803.6005,5.9,2.9436,2.4537,1.5664,289,273,94.46,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.7,722.0002,6.1,2.7143,2.3565,1.5351,289,266,92.04,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,6.4,218.6,6.1,1.3411,1.1035,1.0505,289,163,56.4,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,6,452.3002,5.8,2.0283,1.327,1.1519,289,223,77.16,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,1,6.7,953.8999,5.7,3.4437,2.5332,1.5916,289,277,95.85,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.8,6.8,830.9,6,2.9996,2.4443,1.5634,289,277,95.85,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,6.8,720.8997,6.1,2.7101,2.0267,1.4236,289,266,92.04,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.9,6.8,915.6,5.9,3.2468,2.6642,1.6322,289,282,97.58,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,5.7,186.5,5.5,1.5542,0.4301,0.6559,289,120,41.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,6.4,859.5004,5.7,3.1141,2.6497,1.6278,289,276,95.5,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.1,6.8,962.5002,5.7,3.4131,2.8144,1.6776,289,282,97.58,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.7,6.8,877.4002,6.1,3.1113,2.8092,1.6761,289,282,97.58,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.7,6.4,870.4,5.7,3.0865,3.1464,1.7738,289,282,97.58,2.01515E+12,5.5
