product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.9,6.3,702.2001,5.4,2.4813,0.9463,0.9728,289,283,97.92,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.6,491.0001,6.1,1.8321,0.939,0.969,289,268,92.73,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.7,859.3999,5.7,3.0803,1.6414,1.2812,289,279,96.54,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.2,6.8,788.9999,5.6,3.0115,1.2678,1.126,289,262,90.66,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.4,768.8998,5.8,3.0035,1.453,1.2054,289,256,88.58,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,6.7,698.4,5.7,2.8623,0.9305,0.9646,289,244,84.43,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.4,6.8,899.6004,5.4,3.4467,1.5019,1.2255,289,261,90.31,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.5,6.6,879.0999,6.1,3.2084,1.5741,1.2546,289,274,94.81,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.1,6.8,850.4003,5.7,3.0812,1.5841,1.2586,289,276,95.5,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.8,6.8,840.5,6,3.1015,1.3891,1.1786,289,271,93.77,2.01515E+12,3.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.5,6.6,910.0998,5.1,3.2856,1.2409,1.1139,289,277,95.85,2.01515E+12,3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,3.6,194.2999,3.1,1.5797,0.5353,0.7316,289,123,42.56,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,6.8,752.6998,5.9,2.6597,1.4372,1.1988,289,283,97.92,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.2,6.7,816.5999,5.5,2.8957,1.68,1.2961,289,282,97.58,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,6.7,746.9998,5.5,2.6396,1.0982,1.048,289,283,97.92,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,4.5,606.8998,3.5,2.1445,0.3664,0.6053,289,283,97.92,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,3.8,525.3002,3.1,1.8628,0.3233,0.5686,289,282,97.58,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.7,3.3,450.1001,2.6,1.5905,0.2085,0.4566,289,283,97.92,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,1.7,101.9,1.6,0.5538,0.1224,0.3498,289,184,63.67,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,2.2,279.9001,1.9,0.989,0.1105,0.3324,289,283,97.92,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.4,1.7,254.6001,1.3,0.8996,0.0683,0.2614,289,283,97.92,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,2.2,237.1001,1.9,0.8378,0.1259,0.3548,289,283,97.92,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,2.2,182.7999,2.1,0.6459,0.0999,0.316,289,283,97.92,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,1.4,147.1001,1.2,0.5198,0.055,0.2346,289,283,97.92,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,1.3,141.6001,1.1,0.5004,0.0501,0.2239,289,283,97.92,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.2,24.9001,0.1,0.1004,0,0.0063,289,248,85.81,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.3,27.9,0.2,0.113,0.0016,0.0402,289,247,85.47,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.8,95.2,0.7,0.3364,0.0169,0.1299,289,283,97.92,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1,104.2001,0.9,0.3682,0.0185,0.136,289,283,97.92,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,0.9,93.3001,0.8,0.3297,0.0163,0.1276,289,283,97.92,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.7,49.4,0.6,0.1746,0.008,0.0897,289,283,97.92,2.01515E+12,0.2
