product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.4,6.6,1035.8997,6.2,3.7129,4.4879,2.1185,289,279,96.54,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.1,6.6,1047.2998,6.5,3.727,2.9855,1.7278,289,281,97.23,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.6,846.4997,6.5,3.2558,3.7324,1.9319,289,260,89.97,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.5,6.6,1085.8994,5.1,3.8102,2.5342,1.5919,289,285,98.62,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,6.7,252.4001,6.6,2.2336,4.3732,2.0912,289,113,39.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.6,1137.5004,6.1,4.0053,3.0985,1.7603,289,284,98.27,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.3,6.6,1070.0006,5.3,3.7413,3.4891,1.8679,289,286,98.96,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.2,6.6,1021.5006,5.4,3.5842,3.0405,1.7437,289,285,98.62,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,6.6,781.1998,6.3,2.9703,2.7346,1.6536,289,263,91,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,6.6,945.1005,6.5,3.4367,3.9206,1.98,289,275,95.16,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,6.6,1050.9001,6.5,3.7802,3.1694,1.7803,289,278,96.19,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.2,6.6,1099.5,5.4,3.8579,3.1116,1.764,289,285,98.62,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,6.6,1120.3,5.5,3.9171,2.6727,1.6349,289,286,98.96,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,6.6,655.1003,6.5,2.8237,5.4963,2.3444,289,232,80.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,6.6,924.6,6.3,3.3745,1.9269,1.3881,289,274,94.81,2.01515E+12,3.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.8,6.6,1069.2003,5.8,3.7385,3.5972,1.8966,289,286,98.96,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,6.7,1183.2,6,4.2107,2.7076,1.6455,289,281,97.23,2.01515E+12,6
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.9,6.8,1089.7993,5.9,3.8105,2.7365,1.6542,289,286,98.96,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,1,6.2,1031.3999,5.2,3.6445,1.8297,1.3527,289,283,97.92,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.8,6.9,884.6,6.1,3.3007,2.4727,1.5725,289,268,92.73,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.5,5.9,1019.6002,5.4,3.5775,1.5184,1.2322,289,285,98.62,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,6,961.1002,5.9,3.3723,2.4942,1.5793,289,285,98.62,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002277,04/10/2002,1,6,959.3998,5,3.3545,2.1518,1.4669,289,286,98.96,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,1.2,6.2,901.9997,5,3.233,1.8037,1.343,289,279,96.54,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,5.9,559,5.8,2.3586,3.1633,1.7786,289,237,82.01,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002289,16/10/2002,1.3,5.8,960.9998,4.5,3.3719,2.5582,1.5994,289,285,98.62,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.9,5.7,772.7998,4.8,2.8,2.0705,1.4389,289,276,95.5,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,4.2,362.9999,4,1.5125,1.0083,1.0041,289,240,83.04,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.9,5.8,870.8002,4.9,3.0989,1.6127,1.2699,289,281,97.23,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.8,5.4,808.1998,4.6,2.8259,2.4293,1.5586,289,286,98.96,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.9,5.8,881.7002,4.9,3.0829,2.3074,1.519,289,286,98.96,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,6.9,761,6.7,2.7473,2.1724,1.4739,289,277,95.85,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.6,6.9,701.4998,6.3,2.5509,2.2472,1.4991,289,275,95.16,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.6,5.7,788.3,5.1,2.7563,2.3955,1.5477,289,286,98.96,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.8,6.9,847.9,6.1,2.9856,3.615,1.9013,289,284,98.27,2.01515E+12,5
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.7,6.9,751.3001,6.2,2.6269,2.5117,1.5848,289,286,98.96,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.8,6.9,803.8,6.1,2.8204,3.3418,1.828,289,285,98.62,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.6,4.9,579.1002,4.3,2.0248,1.3726,1.1716,289,286,98.96,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002341,07/12/2002,0.2,2.3,177.9,2.1,0.7635,0.2579,0.5079,289,233,80.62,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.1,4.5,239.3001,4.4,0.9239,0.5279,0.7266,289,259,89.62,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.2,6.8,613.3,6.6,2.1519,1.6618,1.2891,289,285,98.62,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.8,6.9,701.4999,6.1,2.4528,2.2935,1.5144,289,286,98.96,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.6,6.9,491.7999,6.3,2.0239,2.1326,1.4603,289,243,84.08,2.01515E+12,4.9
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.7,6.9,629.9001,6.2,2.2024,1.8254,1.3511,289,286,98.96,2.01515E+12,4.3
