product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.5,6.8,1384.6998,5.3,5.0536,0.8702,0.9328,289,274,94.81,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.7,6.8,1346.6001,5.1,4.8265,1.0095,1.0048,289,279,96.54,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.8,1239.6001,5.8,4.7677,1.703,1.305,289,260,89.97,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.7,6.8,1358.0995,5.1,4.816,0.9589,0.9792,289,282,97.58,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.3,6.8,1337.4009,5.5,4.7594,1.3464,1.1603,289,281,97.23,2.01515E+12,6.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.1,5.3,949.0995,4.2,3.9711,1.3415,1.1582,289,239,82.7,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.9,6.7,1208.2998,5.8,4.6833,1.7077,1.3068,289,258,89.27,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.5,6.8,1007.7998,6.3,4.1473,2.6402,1.6249,289,243,84.08,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.6,6.8,1374.9003,5.2,4.9635,0.9877,0.9938,289,277,95.85,2.01515E+12,6.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,6.2,1174.5997,5.6,4.3504,1.0755,1.0371,289,270,93.43,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.2,1105.4001,5.2,3.9199,1.3724,1.1715,289,282,97.58,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,6.7,626.9,6.1,2.6121,2.1333,1.4606,289,240,83.04,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.5,6.4,664.7,5.9,4.0042,2.234,1.4947,289,166,57.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,1.1,60.7,0.8,0.6898,0.0209,0.1446,289,88,30.45,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,6.8,1106.6991,5.6,4.3571,0.6455,0.8034,289,254,87.89,2.01515E+12,4.8
