product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,5.6,331.1001,5.4,1.3459,0.7611,0.8724,289,246,85.12,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,4,336.4001,3.8,1.3675,0.7635,0.8738,289,246,85.12,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,3.9,311.3002,3.7,1.2758,0.6471,0.8044,289,244,84.43,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,6.4,342.3,6.2,1.3915,0.8556,0.925,289,246,85.12,2.01515E+12,2
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,5.6,371.7999,5.5,1.5176,1.0558,1.0275,289,245,84.78,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,3.7,344.5002,3.5,1.4004,0.7358,0.8578,289,246,85.12,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,4.1,290.0001,4,1.2288,0.548,0.7403,289,236,81.66,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,3.7,273.1001,3.5,1.1332,0.5201,0.7212,289,241,83.39,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,3.2,313.3001,3,1.2684,0.5658,0.7522,289,247,85.47,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,3.7,292.6001,3.5,1.1894,0.4789,0.692,289,246,85.12,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,2.6,278.4,2.4,1.1271,0.4276,0.6539,289,247,85.47,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,4.2,286.2002,4,1.1682,0.4758,0.6898,289,245,84.78,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,2.4,262.7,2.2,1.0636,0.3448,0.5872,289,247,85.47,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,2.6,250.9999,2.4,1.0203,0.3247,0.5698,289,246,85.12,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,2.5,235.7,2.3,0.9543,0.2625,0.5123,289,247,85.47,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,2.7,221.7,2.5,0.9012,0.2698,0.5194,289,246,85.12,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,1.9,190.4,1.7,0.774,0.185,0.4301,289,246,85.12,2.01515E+12,1
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.1,2.4,171.9,2.3,0.7045,0.1555,0.3944,289,244,84.43,2.01515E+12,1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,2,165.2999,1.8,0.6692,0.1289,0.3591,289,247,85.47,2.01515E+12,1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,2,156.8,1.8,0.64,0.1223,0.3497,289,245,84.78,2.01515E+12,1
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,1.9,140.9999,1.8,0.5779,0.1027,0.3205,289,244,84.43,2.01515E+12,1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,2.1,140.2,1.9,0.5676,0.0998,0.3158,289,247,85.47,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,2,141.1,1.8,0.5736,0.0951,0.3084,289,246,85.12,2.01515E+12,1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,1.5,131.6999,1.4,0.5332,0.0656,0.2562,289,247,85.47,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.9,134.7,1.8,0.5453,0.089,0.2984,289,247,85.47,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1.7,121.7,1.5,0.4947,0.0791,0.2813,289,246,85.12,2.01515E+12,0.7
