product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.1,3.7,202.7999,3.6,1.5721,0.7522,0.8673,289,129,44.64,2.01515E+12,1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,3.6,237.7001,3.4,0.9508,0.2495,0.4995,289,250,86.51,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,3.7,313.2,3.6,1.2996,0.6715,0.8194,289,241,83.39,2.01515E+12,1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,5.6,290.5001,5.5,1.1046,0.5078,0.7126,289,263,91,2.01515E+12,1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,2.2,314.6001,2.1,1.1739,0.2258,0.4752,289,268,92.73,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,3.9,339.1001,3.6,1.335,0.3477,0.5897,289,254,87.89,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,3.1,145.9,2.9,1.1959,0.5145,0.7173,289,122,42.21,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,3.1,201.1,3,1.026,0.4016,0.6337,289,196,67.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.8,3.8,469.0998,3,1.6232,0.1611,0.4014,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,3.1,430.3998,2.5,1.4893,0.1531,0.3913,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,2.6,446.4999,1.9,1.545,0.1552,0.394,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,4.1,381.0002,3.6,1.3183,0.1758,0.4193,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,2.7,414.2999,2.5,1.4336,0.2176,0.4665,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.4,1.8,333.3001,1.4,1.1989,0.0599,0.2447,289,278,96.19,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,4.6,397.5002,4.4,1.4299,0.3557,0.5964,289,278,96.19,2.01515E+12,1.1
