product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,3.3,197.3,2.7,1.4194,0.3092,0.556,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,2.7,196.5,2,1.4036,0.2392,0.4891,289,140,48.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.6,3.5,216.2,2.9,1.5554,0.4484,0.6696,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,5.7,209.7,5.1,1.5196,0.4114,0.6414,289,138,47.75,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.7,2.3,173.2,1.6,1.2551,0.136,0.3687,289,138,47.75,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,2.4,153.3,1.9,1.119,0.1475,0.3841,289,137,47.4,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.9,6.6,267.4,5.7,1.9518,1.013,1.0065,289,137,47.4,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,4,268.5,3.3,1.9317,0.4174,0.6461,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.9,3.9,255.0999,3,1.8353,0.2272,0.4766,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,3.4,188.1,2.9,1.373,0.4215,0.6493,289,137,47.4,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,6.6,285.9001,6.4,2.0568,0.6766,0.8225,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,2.2,143.7,2.1,1.343,0.1789,0.423,289,107,37.02,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,3.3,244.6,2.4,1.7725,0.2214,0.4705,289,138,47.75,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.1,6,331.4,4.9,2.419,0.8396,0.9163,289,137,47.4,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,5.6,281.1,5,2.0079,0.5806,0.762,289,140,48.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,6.4,319.2001,5.4,2.28,0.7026,0.8382,289,140,48.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.5,4.9,311.3,4.4,2.2236,0.8752,0.9355,289,140,48.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.9,4.1,259.5999,3.2,1.8676,0.3979,0.6308,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.6,3.7,252.5999,3.1,1.8173,0.3656,0.6046,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.5,2.9,212.5,2.4,1.5288,0.1642,0.4052,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.6,2.9,205.5,2.3,1.4679,0.1168,0.3417,289,140,48.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.5,2.6,185,2.1,1.3309,0.1351,0.3675,289,139,48.1,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.5,3.3,172.8,2.8,1.2343,0.1565,0.3956,289,140,48.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,1.8,136.3,1.5,0.9736,0.0557,0.2359,289,140,48.44,2.01515E+12,F
