product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.5,6.8,1067.1997,5.3,4.1046,1.3171,1.1477,289,260,89.97,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.5,6.8,1283.7004,5.3,4.9756,0.8388,0.9159,289,258,89.27,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.1,6.8,1522.6003,5.7,5.3425,0.5038,0.7098,289,285,98.62,2.01515E+12,5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,6.8,1530.8995,6.3,5.6077,0.651,0.8069,289,273,94.46,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,6.8,595.3,6.3,4.134,3.3196,1.822,289,144,49.83,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.2,6.8,1397.3993,5.6,5.2534,0.5921,0.7695,289,266,92.04,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.5,6.8,1311.6003,6.3,5.1035,1.4608,1.2086,289,257,88.93,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,1,6.8,1167.6006,5.8,4.2769,0.9035,0.9505,289,273,94.46,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,2.5,6.8,1467.4995,4.3,5.2599,0.3289,0.5735,289,279,96.54,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,6.7,573.9,6.1,3.8777,2.407,1.5515,289,148,51.21,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.4,6.8,1477.3995,5.4,5.1657,0.553,0.7437,289,286,98.96,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.1,6.5,1197.0007,6.4,4.6576,1.1054,1.0514,289,257,88.93,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,6.8,1152.6991,5.7,4.3335,1.0263,1.0131,289,266,92.04,2.01515E+12,4.8
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,6.7,1238.2999,6,4.4225,1.363,1.1675,289,280,96.89,2.01515E+12,5.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.5,6.8,1322.7992,5.3,4.5772,0.5953,0.7715,289,289,100,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,2.4,6.7,1403.3002,4.3,4.9762,0.4359,0.6602,289,282,97.58,2.01515E+12,5.3
MCD15A3H,Lai_500m,A2002253,10/09/2002,2,6.5,1318.8994,4.5,4.5955,0.3106,0.5573,289,287,99.31,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.8,6.6,1255.9001,4.8,4.3913,0.4226,0.6501,289,286,98.96,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,5.5,344.8999,5.2,2.2993,3.0042,1.7333,289,150,51.9,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,6.6,991.9002,6.3,3.6601,1.7643,1.3283,289,271,93.77,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002269,26/09/2002,1.3,6.4,1077.5996,5.1,3.7417,0.9973,0.9986,289,288,99.65,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,1,5.2,707.2999,4.2,2.4474,0.7748,0.8802,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.9,4.4,506.7,3.5,1.7533,0.1854,0.4306,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.6,1.2,240.0999,0.6,0.8637,0.0109,0.1043,289,278,96.19,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,2,245.9999,1.7,0.8786,0.0568,0.2382,289,280,96.89,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,1.8,174.8999,1.6,0.7506,0.0665,0.2579,289,233,80.62,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1,66,0.9,0.4371,0.0536,0.2315,289,151,52.25,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,1.4,169.7,1.2,0.7644,0.0468,0.2163,289,222,76.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.4,2.7,266.7999,2.3,0.9232,0.1054,0.3246,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.5,3.9,278.2998,3.4,0.963,0.149,0.386,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.3,1.3,139.3001,1,0.482,0.02,0.1413,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.3,2.2,193.1999,1.9,0.7182,0.0677,0.2603,289,269,93.08,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.1,0.5,0,0.1,0,0,289,5,1.73,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.4,3.1,241.8,2.7,0.8425,0.1424,0.3774,289,287,99.31,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.9,20.5,0.8,0.3727,0.0398,0.1995,289,55,19.03,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.1,1.6,60.8,1.5,0.5067,0.0765,0.2765,289,120,41.52,2.01515E+12,1
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.2,2.5,208.8999,2.3,0.7228,0.0728,0.2698,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.1,1.7,110.2999,1.6,0.538,0.0657,0.2563,289,205,70.93,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.3,1.3,138.3,1,0.5066,0.0255,0.1595,289,273,94.46,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.2,1.4,83.9,1.2,0.5484,0.0391,0.1977,289,153,52.94,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0.2,1.4,83.9,1.2,0.5484,0.0391,0.1977,289,153,52.94,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0.2,0.8,58.5,0.6,0.4333,0.0148,0.1217,289,135,46.71,2.01515E+12,0.4
