product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,4.8,395.3001,4.3,1.3678,0.2777,0.527,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,2.8,374.6001,2.5,1.2962,0.1656,0.407,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.3,2.2,340.7001,1.9,1.1789,0.1129,0.3361,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,2.2,325.3998,1.9,1.1338,0.1521,0.39,289,287,99.31,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,2.6,357.6001,2.3,1.2374,0.137,0.3702,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,2.1,325.8,1.8,1.1273,0.1164,0.3411,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,1.9,295.4,1.6,1.0221,0.0801,0.2831,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,1.6,275.2,1.3,0.969,0.0604,0.2459,289,284,98.27,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,1.9,282.7,1.6,0.9782,0.1016,0.3188,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,1.8,275.4001,1.5,0.9529,0.0927,0.3045,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,1.7,264.9999,1.5,0.917,0.0831,0.2882,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,1.9,247.9998,1.7,0.8581,0.0687,0.262,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,2.5,226.3998,2.3,0.7834,0.0846,0.2909,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,1.4,207.4999,1.1,0.718,0.0508,0.2254,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,1.5,219.8998,1.2,0.7609,0.0696,0.2638,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,1.5,208.6998,1.3,0.7221,0.0701,0.2648,289,289,100,2.01515E+12,0.5
