year,DOY,TIME,Fc,Sc,H,LE,Ust,ZL,Rg,Rg_out,Rn,Rd,PPFD,APAR,WD,WS,PA,Ta,Rh,VPD,Ho,PPT,Co,Ts_1cm,Ts_5cm,Ts_10cm,Ts_20cm,Ts_40cm,G,WL,SWC_0_5cm,SWC_0_10cm,SWC_0_20cm,HEIGHTV,EC_height,Ta_height
YYYY,integer,HHMM,micromol m-2 s-1,micromol m-2 s-1,W m-2,W m-2,m s-1,-,W m-2,W m-2,W m-2,W m-2,micromol m-2 s-1,micromol m-2 s-1,degrees,m s-1,kPa,degrees C,%,kPa,mm ,mm ,ppm,degrees C,degrees C,degrees C,degrees C,degrees C,W m-2,mm,m3 m-3,m3 m-3,m3 m-3,m,m,m
2006,1,30,-99999,-99999,-99999,-99999,0.035,-99999,0,0,-45.722,-99999,0,-99999,338.83,0.129,102.64,-6.109,82.123,0.069,3.106,0,428.128,-0.765,1.317,2.996,4.146,-99999,-99999,-99999,0.263,0.289,0.34,0,3.145,3.75
2006,1,100,-99999,-99999,-99999,-99999,0.056,-99999,0.053,3.388,-42.503,-99999,0,-99999,296.97,0.117,102.65,-5.515,80.068,0.081,3.169,0,421.564,-0.771,1.261,2.933,4.13,-99999,-99999,-99999,0.262,0.287,0.337,0,3.145,3.75
2006,1,130,5.999,-99999,16.905,-99999,0.053,1.345,0.762,3.59,-37.354,-99999,0,-99999,321.84,0.43,102.67,-5.173,77.345,0.095,3.141,0,422.691,-0.753,1.209,2.864,4.103,-99999,-99999,-99999,0.259,0.286,0.339,0,3.145,3.75
2006,1,200,-99999,-99999,-99999,-99999,0.005,-99999,1.074,2.579,-19.381,-99999,0,-99999,219.91,0.392,102.67,-4.591,73.999,0.113,3.141,0,417.466,-0.66,1.176,2.811,4.087,-99999,-99999,-99999,0.259,0.288,0.338,0,3.145,3.75
2006,1,230,0.464,-99999,-2.395,6.022,0.087,-12.585,1.572,2.917,-19.944,-99999,0,-99999,363.1,1.351,102.63,-3.389,69.933,0.143,3.251,0,408.177,-0.534,1.12,2.72,4.019,-99999,-99999,-99999,0.259,0.286,0.335,0,3.145,3.75
2006,1,300,-99999,-99999,-7.276,10.269,0.128,27.492,0.141,1.591,-24.357,-99999,0,-99999,359.21,2.333,102.58,-2.587,67.216,0.166,3.32,0,399.563,-0.438,1.107,2.666,3.978,-99999,-99999,-99999,0.256,0.286,0.34,0,3.145,3.75
2006,1,330,-99999,-99999,-99999,-99999,0.088,-99999,0,0,-25.12,-99999,0,-99999,342.3,1.944,102.57,-2.125,64.806,0.184,3.313,0,394.366,-0.423,1.089,2.637,3.984,-99999,-99999,-99999,0.259,0.284,0.338,0,3.145,3.75
2006,1,400,-99999,-99999,-99999,-99999,0.071,-99999,0,0,-24.624,-99999,0,-99999,298.09,1.603,102.58,-2.569,67.89,0.163,3.357,0,400.417,-0.423,1.059,2.621,4,-99999,-99999,-99999,0.259,0.284,0.338,0,3.145,3.75
2006,1,430,-99999,-99999,-2.117,1.082,0.077,12.171,0,0,-24.89,-99999,0,-99999,298.4,1.57,102.58,-3.091,70.218,0.145,3.34,0,408.349,-0.47,1.032,2.592,3.997,-99999,-99999,-99999,0.256,0.285,0.336,0,3.145,3.75
