product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.6,6.8,502.1999,6.2,2.4739,1.7444,1.3208,289,203,70.24,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.8,716.3997,6.3,4.1651,2.6626,1.6318,289,172,59.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.9,6.8,562.0999,5.9,3.798,2.3659,1.5381,289,148,51.21,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,6.6,434.9001,6.4,2.6846,2.9446,1.716,289,162,56.06,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.4,6.8,729.4001,5.4,4.2407,2.114,1.454,289,172,59.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,6.6,804.8002,5.6,4.1272,1.8694,1.3672,289,195,67.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,6.6,309.2001,6,3.2894,2.5018,1.5817,289,94,32.53,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,6.9,233.6,6.2,2.3596,2.0808,1.4425,289,99,34.26,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.7,6.9,780.1999,6.2,3.7874,2.5009,1.5814,289,206,71.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.9,6.7,691.1002,5.8,3.9491,2.0199,1.4212,289,175,60.55,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.6,6.7,751.4997,6.1,3.8538,2.3664,1.5383,289,195,67.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.1,6.8,697.7001,5.7,3.8335,2.2316,1.4938,289,182,62.98,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,6.7,813.0999,5.8,3.7128,1.9523,1.3973,289,219,75.78,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,6.8,638.7001,6.2,3.4712,2.2432,1.4977,289,184,63.67,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,6.4,547.9999,6.1,2.9783,2.5609,1.6003,289,184,63.67,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,5.7,153.9,5.5,1.6372,2.0938,1.447,289,94,32.53,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,6.9,731.7003,6.2,3.8309,1.881,1.3715,289,191,66.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,6.7,570.8998,6.4,2.493,2.3612,1.5366,289,229,79.24,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,6.7,748.4003,6.4,3.7798,1.7878,1.3371,289,198,68.51,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.6,6.8,955.2999,6.2,3.8676,2.1287,1.459,289,247,85.47,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.7,6.3,812.0001,5.6,3.5,1.6049,1.2669,289,232,80.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.4,6.8,683.3005,6.4,2.9709,1.7877,1.3371,289,230,79.58,2.01515E+12,5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,0.3,1.8,0.2,0.225,0.0044,0.0661,289,8,2.77,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,5.7,640.4996,5.6,2.8851,1.6416,1.2813,289,222,76.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.5,6.9,670.8,6.4,2.9421,1.7101,1.3077,289,228,78.89,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,6,570.7,5.7,2.4706,1.5581,1.2482,289,231,79.93,2.01515E+12,3.7
