product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6,759.8997,5,2.6294,0.5905,0.7684,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,1.4,6.6,851.2996,5.2,2.9457,0.4414,0.6644,289,289,100,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.3,5.5,841.1003,4.2,2.9104,0.2771,0.5264,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.7,6.8,209.3,6.1,1.836,2.827,1.6814,289,114,39.45,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,5.9,605.0998,5.6,2.4698,0.9118,0.9549,289,245,84.78,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,6.3,764.4998,6,2.6545,1.4458,1.2024,289,288,99.65,2.01515E+12,2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,6,415.2002,5.7,1.7974,1.3152,1.1468,289,231,79.93,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,4.5,99.5,4.3,1.1056,0.7896,0.8886,289,90,31.14,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.1,5.4,620.1002,4.3,2.1606,0.3351,0.5789,289,287,99.31,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.6,2.4,55.3,1.8,1.4946,0.2773,0.5266,289,37,12.8,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.6,603.3999,5.6,2.0879,0.8224,0.9069,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.5,6.3,855.7995,4.8,2.9612,0.5231,0.7232,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.3,6.4,828.8002,5.1,2.8678,0.7137,0.8448,289,289,100,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.4,5.6,649.5001,5.2,2.4145,0.772,0.8786,289,269,93.08,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,1.7,39.2,1.5,0.7538,0.1409,0.3754,289,52,17.99,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,3,465.2997,2,1.6156,0.2156,0.4644,289,288,99.65,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.9,4.4,521.7997,3.5,1.8055,0.3348,0.5787,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,3.4,412.0001,3.1,1.4355,0.2628,0.5127,289,287,99.31,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,0.3,3,0.2,0.2143,0.0069,0.0833,289,14,4.84,2.01515E+12,F
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,0.8,40.4,0.7,0.3811,0.0244,0.1561,289,106,36.68,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.6,2.2,353.2004,1.6,1.2221,0.0806,0.2839,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,2.2,318.2996,1.9,1.1014,0.0889,0.2981,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,2.1,146.8001,2,0.7686,0.188,0.4336,289,191,66.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.5,1.6,316.9998,1.1,1.0969,0.0435,0.2085,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,1.5,294.7998,1.3,1.0272,0.03,0.1732,289,287,99.31,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,1.8,206.6,1.5,0.8433,0.1101,0.3319,289,245,84.78,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,2.9,260.3003,2.6,0.9038,0.0856,0.2927,289,288,99.65,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.3,2.1,261.3,1.8,0.9678,0.0967,0.311,289,270,93.43,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,2.3,245.9998,2.1,0.9389,0.1213,0.3483,289,262,90.66,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002305,01/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
