product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.8,3.9,660.8002,3.1,2.2865,0.4034,0.6351,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,4.7,645.0998,4,2.2322,0.6085,0.7801,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.8,3.9,634.4001,3.1,2.1952,0.3495,0.5911,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,4.7,690.7,4.1,2.39,0.4489,0.67,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,5.4,642.3004,5.1,2.2696,0.7625,0.8732,289,283,97.92,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,4.4,519.5002,4.1,1.8488,0.383,0.6189,289,281,97.23,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.8,6.4,646.0001,5.6,2.3237,0.7238,0.8508,289,278,96.19,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.7,6.5,591.0998,5.8,2.0596,0.4278,0.654,289,287,99.31,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,5.1,142.8999,5,0.7005,0.3815,0.6177,289,204,70.59,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,5.3,561.8004,4.6,1.9507,0.3351,0.5789,289,288,99.65,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.8,3.8,639.4003,3,2.2125,0.3075,0.5546,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,4.2,618,3.5,2.1384,0.3114,0.558,289,289,100,2.01515E+12,1.4
