product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6.5,610.4999,5.5,2.9211,2.447,1.5643,289,209,72.32,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,6.1,524.3002,5.3,2.5086,2.0843,1.4437,289,209,72.32,2.01515E+12,2.8
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,6.8,597.9999,6.7,2.8612,2.2175,1.4891,289,209,72.32,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.6,6.7,590.3,6.1,2.9079,1.9928,1.4117,289,203,70.24,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,6.6,399.5002,6.1,2.1712,1.8509,1.3605,289,184,63.67,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.3,337.9,5.8,1.8772,2.0925,1.4466,289,180,62.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,4.5,295.3,4.4,1.7169,0.8297,0.9109,289,172,59.52,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,1.1,6.4,635.0002,5.3,3.1281,1.9814,1.4076,289,203,70.24,2.01515E+12,5.6
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.2,6.8,668.7,5.6,3.2461,2.2521,1.5007,289,206,71.28,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.8,6.8,526,6,2.8587,2.0451,1.4301,289,184,63.67,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.7,6.6,519.4003,5.9,2.5337,1.8543,1.3617,289,205,70.93,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,6.6,498.9001,6.3,2.7717,2.3819,1.5433,289,180,62.28,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.1,6.4,620.9999,5.3,2.9856,1.886,1.3733,289,208,71.97,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,6.2,608.4003,6,2.9534,1.8846,1.3728,289,206,71.28,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.8,6.3,572.9999,5.5,2.7548,1.795,1.3398,289,208,71.97,2.01515E+12,3.5
MCD15A3H,Lai_500m,A2002249,06/09/2002,1,6.8,618.2,5.8,2.9579,2.5452,1.5954,289,209,72.32,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.7,6.7,552.6001,6,2.7493,2.1183,1.4554,289,201,69.55,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,6.8,428.4001,6.3,2.2082,1.89,1.3748,289,194,67.13,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.5,6.3,512.4001,5.8,2.4635,1.9037,1.3797,289,208,71.97,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.9,6.5,537.2,5.6,2.5827,2.091,1.446,289,208,71.97,2.01515E+12,4.8
