product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,3.2,302.3999,2.9,1.0464,0.225,0.4743,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,3.1,360.5001,2.6,1.2474,0.2384,0.4883,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,3.9,336.4999,3.4,1.1644,0.3256,0.5706,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,3.1,320.7,2.6,1.1097,0.1846,0.4297,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.4,6.1,308.9998,5.7,1.0692,0.568,0.7537,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,2.4,250.3,2.1,0.8661,0.1137,0.3372,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,2,223.3999,1.6,0.773,0.0839,0.2897,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,1.4,46.6,1.3,0.2519,0.0348,0.1866,289,185,64.01,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,1.6,184.5999,1.2,0.6388,0.0233,0.1528,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.2,1,143.9,0.8,0.4979,0.0239,0.1547,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,1.3,161.4998,1,0.5588,0.0148,0.1217,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,0.9,148.8999,0.7,0.5152,0.0137,0.117,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.2,1,124.6002,0.8,0.4311,0.0197,0.1404,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.5,75.8,0.4,0.2623,0.0131,0.1147,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,0.8,152.2,0.5,0.5266,0.0195,0.1398,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,0.9,116.9001,0.8,0.4045,0.0225,0.15,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.2,0.8,150.7,0.6,0.5215,0.0245,0.1564,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.2,0.8,141,0.6,0.4879,0.0222,0.1491,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,0.7,131.9001,0.5,0.4564,0.0157,0.1252,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,0.7,111.8001,0.5,0.3869,0.016,0.1263,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,0.5,81.7999,0.4,0.283,0.0029,0.0541,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,0.5,77.2999,0.4,0.2675,0.0036,0.0604,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,0.5,76.8999,0.4,0.2661,0.0036,0.0602,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,0.4,71.1,0.3,0.246,0.0029,0.0538,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,0.3,60.9001,0.2,0.2107,0.0023,0.0484,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.3,33.3001,0.2,0.1152,0.0016,0.0396,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.1,1.6,0,0.1,0,0,289,16,5.54,2.01515E+12,F
