product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,3.9,382.4,3.6,1.3232,0.1717,0.4144,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,3.2,513.0999,2.7,1.7754,0.2818,0.5308,289,289,100,2.01515E+12,2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,2.3,323.6,2.2,1.1236,0.1453,0.3812,289,288,99.65,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,4.3,427.7,4,1.4902,0.3534,0.5944,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,1.2,4.7,659.2001,3.5,2.281,0.3238,0.5691,289,289,100,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,3.1,574.4,2.1,1.9875,0.1929,0.4392,289,289,100,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,3.3,441.1003,3.1,1.5263,0.2395,0.4894,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,4.4,405.5001,4,1.4031,0.5849,0.7648,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,5.7,408.9001,5.5,1.4198,0.448,0.6694,289,288,99.65,2.01515E+12,1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,3,469.2,2.5,1.6235,0.1676,0.4094,289,289,100,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.6,5.1,484.9002,4.5,1.6779,0.3925,0.6265,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.7,2.5,444.7001,1.8,1.5388,0.1209,0.3476,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,2.3,430.6003,1.4,1.49,0.101,0.3178,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.3,5.8,376.3002,5.5,1.3021,0.3446,0.587,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.2,4.6,321.0003,4.4,1.1107,0.3742,0.6117,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.1,1.8,200.7999,1.7,0.7355,0.1961,0.4429,289,273,94.46,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,2.7,406.4999,2.4,1.4066,0.2554,0.5053,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,1.3,2.7,548.9001,1.4,1.8993,0.0983,0.3136,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002261,18/09/2002,1.1,3.8,503.9001,2.7,1.7436,0.1191,0.3451,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002265,22/09/2002,1,3.4,510.5999,2.4,1.7668,0.1722,0.415,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.9,2.5,526.9,1.6,1.8232,0.1154,0.3397,289,289,100,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,3.3,445.6,3.1,1.5526,0.2325,0.4822,289,287,99.31,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002277,04/10/2002,1,3,469.8999,2,1.626,0.0702,0.265,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.9,4.2,482.7997,3.3,1.6706,0.1276,0.3572,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.6,1.8,292.4,1.2,1.0118,0.0324,0.18,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002289,16/10/2002,1,1.8,396.5997,0.8,1.3723,0.0271,0.1647,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.3,3.1,388.7,2.8,1.3497,0.2748,0.5242,289,288,99.65,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.6,1.8,373.0002,1.2,1.2907,0.0581,0.2411,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,0.7,10.5,0.6,0.375,0.0369,0.192,289,28,9.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.7,1.9,354.2004,1.2,1.2256,0.0551,0.2348,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.6,1.5,302.5,0.9,1.0467,0.0293,0.1711,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.6,1.9,313.3998,1.3,1.0844,0.1117,0.3342,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.7,1.5,302.4001,0.8,1.0464,0.0294,0.1715,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.6,1.6,325.7999,1,1.1273,0.0801,0.2831,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002329,25/11/2002,0.3,1.2,241.4,0.9,0.8353,0.0403,0.2007,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002333,29/11/2002,0.2,0.9,110.4,0.7,0.382,0.0249,0.1579,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002337,03/12/2002,0.3,1,202.1,0.7,0.6993,0.0252,0.1587,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0.4,1.2,241.2999,0.8,0.8349,0.0308,0.1755,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002349,15/12/2002,0.3,1.3,223.8001,1,0.7744,0.0461,0.2148,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002353,19/12/2002,0.4,1.2,234.4999,0.8,0.8114,0.032,0.1789,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002357,23/12/2002,0.1,1.1,137.7999,1,0.4768,0.0501,0.2238,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002361,27/12/2002,0.5,1.8,236.7998,1.3,0.8194,0.0316,0.1778,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002365,31/12/2002,0.4,1.2,226.3,0.8,0.783,0.0277,0.1665,289,289,100,2.01515E+12,0.8
