product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1,6.9,720.0999,5.9,3.0906,2.8052,1.6749,289,233,80.62,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.5,6.9,621.9002,6.4,2.6464,3.3953,1.8426,289,235,81.31,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,0.9,19.1,0.4,0.6161,0.0091,0.0954,289,31,10.73,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,6.6,646.1001,6.5,2.7262,2.1523,1.4671,289,237,82.01,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,6.6,306.8002,6.1,1.5113,1.5256,1.2352,289,203,70.24,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,5.7,206.6999,5.5,1.2017,0.7556,0.8693,289,172,59.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.2,6.6,827.7003,5.4,3.4202,2.8212,1.6796,289,242,83.74,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,6.6,627.0001,6.5,2.7867,3.2955,1.8153,289,225,77.85,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.2,6.8,1013.9003,5.6,3.6211,3.0282,1.7402,289,280,96.89,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,6.8,826.0999,6.5,3.2912,4.064,2.0159,289,251,86.85,2.01515E+12,6.5
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.8,6.6,722.1002,5.8,2.7456,2.3243,1.5246,289,263,91,2.01515E+12,6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,6.9,1013.9001,6.3,3.5954,2.4036,1.5503,289,282,97.58,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.8,6.8,525.5,6,3.1657,3.4345,1.8533,289,166,57.44,2.01515E+12,6.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.1,0.5,0.7,0.4,0.2333,0.0356,0.1886,289,3,1.04,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.6,6.6,822.8,6,3.2912,2.663,1.6319,289,250,86.51,2.01515E+12,6
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.6,6.7,710.4995,6.1,2.6315,2.2703,1.5068,289,270,93.43,2.01515E+12,2.4
