product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.9,6.8,762.9005,5.9,2.6675,1.0135,1.0067,289,286,98.96,2.01515E+12,3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,6.6,506.2003,6.3,1.8679,1.1647,1.0792,289,271,93.77,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.1,6.7,961.5,5.6,3.4217,1.6234,1.2741,289,281,97.23,2.01515E+12,5.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.5,6.8,897.0998,5.3,3.3726,1.4896,1.2205,289,266,92.04,2.01515E+12,3.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.8,772.1002,6.2,3.1259,1.5067,1.2275,289,247,85.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.6,6.7,710.8002,5.1,3.0247,1.0403,1.02,289,235,81.31,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,1.4,6.8,967.3006,5.4,3.6228,1.7337,1.3167,289,267,92.39,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.7,6.6,833.3004,5.9,3.3199,1.5696,1.2529,289,251,86.85,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,1,6.8,877.8999,5.8,3.1693,1.793,1.339,289,277,95.85,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,6.8,882.8001,6.7,3.2219,1.4773,1.2155,289,274,94.81,2.01515E+12,3
MCD15A3H,Lai_500m,A2002229,17/08/2002,1.7,6.6,975.0995,4.9,3.4701,1.4474,1.2031,289,281,97.23,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,6.7,197,6.2,1.8411,1.2222,1.1055,289,107,37.02,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,1.4,6.8,831.0997,5.4,2.9059,1.3521,1.1628,289,286,98.96,2.01515E+12,4.1
MCD15A3H,Lai_500m,A2002241,29/08/2002,1.1,6.7,842.0001,5.6,2.9648,1.5022,1.2256,289,284,98.27,2.01515E+12,4.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,1.2,6.7,738.2999,5.5,2.5815,0.8423,0.9178,289,286,98.96,2.01515E+12,4.3
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.2,4.1,610.3,2.9,2.1339,0.2966,0.5447,289,286,98.96,2.01515E+12,3
MCD15A3H,Lai_500m,A2002253,10/09/2002,1,5.4,534.7003,4.4,1.8827,0.3358,0.5795,289,284,98.27,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.8,3.5,456.9001,2.7,1.5976,0.2186,0.4675,289,286,98.96,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.1,1.7,103.7,1.6,0.4962,0.0925,0.3042,289,209,72.32,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,2.4,293.5,2.1,1.0262,0.1221,0.3494,289,286,98.96,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.4,1.7,265.7,1.3,0.929,0.0751,0.274,289,286,98.96,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,2.2,250.8001,1.9,0.8769,0.1219,0.3492,289,286,98.96,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,2.2,197.5999,2,0.6909,0.1305,0.3612,289,286,98.96,2.01515E+12,1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,2.2,169.5,1.9,0.5927,0.0979,0.3129,289,286,98.96,2.01515E+12,1
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,1.7,163.4001,1.4,0.5713,0.0711,0.2667,289,286,98.96,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.2,20.9,0.1,0.101,0.0001,0.0098,289,207,71.63,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.2,30.1001,0.1,0.1071,0.0007,0.0257,289,281,97.23,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002297,24/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,1.2,106.2,1.1,0.3713,0.0343,0.1852,289,286,98.96,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.7,117.8001,1.6,0.4119,0.0401,0.2002,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.1,1.2,106.8001,1.1,0.3734,0.0345,0.1857,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.1,0.7,59.2999,0.6,0.2081,0.0111,0.1055,289,285,98.62,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.7,49.8,0.6,0.1851,0.0121,0.1101,289,269,93.08,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,1.1,90,1,0.3147,0.0268,0.1636,289,286,98.96,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.7,60.6999,0.6,0.2168,0.0171,0.1308,289,280,96.89,2.01515E+12,0.6
