product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,1.5,248.6,1.2,0.8602,0.0493,0.2221,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,1.7,282.5999,1.4,0.9779,0.091,0.3017,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.4,1.3,222.6999,0.9,0.7706,0.0305,0.1747,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.3,1.5,266.4001,1.2,0.9218,0.0726,0.2695,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,1.3,244.0001,1,0.8443,0.0443,0.2106,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,1.5,257.0001,1.2,0.8893,0.0661,0.2571,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.3,1.4,235.5,1.1,0.8149,0.0432,0.2079,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,1.3,232.9,1,0.8059,0.0403,0.2009,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,1.4,248.1,1.1,0.8585,0.0471,0.2171,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.3,1.3,238.4002,1,0.8249,0.0421,0.2051,289,289,100,2.01515E+12,1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,1.4,257.7002,1.1,0.8917,0.0562,0.2371,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,1.2,232.6,0.9,0.8048,0.0396,0.1991,289,289,100,2.01515E+12,0.9
