product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.3,6.8,1077.5002,5.5,4.8318,1.9722,1.4044,289,223,77.16,2.01515E+12,F
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.6,6.8,841.7002,6.2,4.0662,2.4892,1.5777,289,207,71.63,2.01515E+12,F
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.7,6.9,1108.2999,5.2,4.9923,1.8261,1.3513,289,222,76.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.6,6.8,1038.7999,5.2,4.6793,1.7827,1.3352,289,222,76.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.3,6.7,945.9,6.4,4.5258,2.3597,1.5361,289,209,72.32,2.01515E+12,F
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,6.7,566.6002,6.5,3.3527,2.7668,1.6634,289,169,58.48,2.01515E+12,F
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,6.8,852.5999,6.2,4.3723,2.5631,1.601,289,195,67.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,6.9,786.3003,6.6,4.0117,3.0111,1.7353,289,196,67.82,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,1.9,6.8,1041.7997,4.9,4.714,1.5614,1.2496,289,221,76.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,6.8,1015.8997,6.3,4.6601,1.7931,1.3391,289,218,75.43,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.4,6.8,821.1996,6.4,4.0059,1.9741,1.405,289,205,70.93,2.01515E+12,F
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.2,6.6,459.3002,6.4,3.4795,3.7844,1.9453,289,132,45.67,2.01515E+12,F
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.7,924.3997,5.7,4.221,2.1719,1.4737,289,219,75.78,2.01515E+12,F
MCD15A3H,Lai_500m,A2002241,29/08/2002,1,6.7,982.5004,5.7,4.4058,1.5791,1.2566,289,223,77.16,2.01515E+12,F
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.5,5.8,698.6,5.3,3.2194,2.4911,1.5783,289,217,75.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,1.2,6.8,954.8,5.6,4.4,1.69,1.3,289,217,75.09,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,6.3,591.9999,6,3.0833,2.2648,1.5049,289,192,66.44,2.01515E+12,F
MCD15A3H,Lai_500m,A2002257,14/09/2002,1,6.8,947.4004,5.8,4.2869,2.0063,1.4164,289,221,76.47,2.01515E+12,F
