product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.3,60.8001,0.1,0.2104,0.0009,0.0305,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,0.5,62.5001,0.3,0.2163,0.0016,0.0396,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,0.3,63.1001,0.1,0.2183,0.0015,0.0387,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,0.6,52.3001,0.5,0.181,0.0051,0.0712,289,289,100,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,0.5,62.4001,0.3,0.2159,0.0022,0.0473,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.2,0.3,71.1,0.1,0.246,0.0025,0.0498,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.1,0.1,25.7001,0,0.1,0,0,289,257,88.93,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.4,1.2,169.6999,0.8,0.5872,0.0123,0.1107,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,1.4,203.4,0.9,0.7038,0.0222,0.1489,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,1.2,205.6999,0.7,0.7118,0.0193,0.139,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.3,1.4,190.9,1.1,0.6606,0.0258,0.1608,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,1.4,184.6999,1.1,0.6391,0.033,0.1818,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,0.9,157.5999,0.6,0.5453,0.0114,0.1068,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.4,0.8,161.2999,0.4,0.5581,0.0083,0.0912,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,0.8,147.8,0.5,0.5114,0.0077,0.0879,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,0.9,144.8,0.6,0.501,0.0065,0.0809,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,1.1,156.6999,0.8,0.5422,0.0253,0.1592,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,1,162.8999,0.7,0.5637,0.0153,0.1235,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,1.4,137,1.1,0.474,0.0185,0.1359,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,0.5,115.8001,0.2,0.4007,0.0064,0.0798,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,0.6,118.3001,0.4,0.4093,0.0074,0.0857,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.2,0.5,108.2001,0.3,0.3744,0.0071,0.0842,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.2,0.5,92.6002,0.3,0.3204,0.0022,0.0467,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.2,0.5,90.3001,0.3,0.3125,0.0021,0.0454,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.2,0.4,77.2,0.2,0.2671,0.0024,0.0491,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.2,0.9,90.0002,0.7,0.3114,0.0074,0.0859,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.2,0.6,79.1,0.4,0.2737,0.0061,0.078,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.2,0.4,79.5,0.2,0.2751,0.0019,0.044,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.2,0.3,65.4001,0.1,0.2263,0.0019,0.044,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.2,0.5,68.9,0.3,0.2384,0.0027,0.0521,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002309,05/11/2002,0.2,0.3,63.6001,0.1,0.2201,0.0016,0.0401,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002313,09/11/2002,0.2,0.5,60.4001,0.3,0.209,0.0013,0.0361,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002317,13/11/2002,0.1,0.3,58.9001,0.2,0.2038,0.0004,0.0209,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002321,17/11/2002,0.1,0.3,59.3001,0.2,0.2052,0.0007,0.0265,289,289,100,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002325,21/11/2002,0.1,0.3,45.2,0.2,0.1564,0.0027,0.0516,289,289,100,2.01515E+12,0.1
