product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.2,0.7,91.5001,0.5,0.3166,0.0107,0.1032,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.2,1.4,117.7001,1.2,0.4073,0.0502,0.224,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.2,0.8,109.4001,0.6,0.3785,0.0132,0.1151,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.2,1.6,122.2001,1.4,0.4228,0.0215,0.1466,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,1,114,0.9,0.3972,0.0237,0.1539,289,287,99.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,1,146.5999,0.7,0.5073,0.0178,0.1333,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,1,156.8,0.8,0.5426,0.0213,0.1458,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,1.1,164.9001,1,0.5848,0.0373,0.1932,289,282,97.58,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.4,1.1,203.0999,0.7,0.7028,0.0165,0.1286,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.5,1.1,192.2001,0.6,0.6651,0.0145,0.1202,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.5,1,175.7,0.5,0.608,0.0116,0.1077,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,1.1,166.2,0.8,0.5751,0.0116,0.1075,289,289,100,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,0.8,157.0999,0.5,0.5436,0.0088,0.0939,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.4,0.9,172.2999,0.5,0.5962,0.0076,0.087,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,1.2,155.4999,0.9,0.5381,0.0122,0.1104,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,1.4,146.1,1.1,0.5055,0.0182,0.1351,289,289,100,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.1,0.8,133.2999,0.7,0.4645,0.0205,0.1431,289,287,99.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,1.4,155.5,1.1,0.5381,0.0089,0.0941,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,0.8,145.7,0.5,0.5042,0.0064,0.0801,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,0.7,146.2,0.4,0.5059,0.0018,0.0424,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.3,0.7,154.3,0.4,0.5339,0.0045,0.0668,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.3,1,147.5,0.7,0.5104,0.0099,0.0993,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.4,0.7,140.8,0.3,0.4872,0.0021,0.0457,289,289,100,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,0.7,140.0001,0.4,0.4844,0.003,0.0552,289,289,100,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,0.6,113.7002,0.3,0.3934,0.0059,0.0771,289,289,100,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.3,0.6,124.1001,0.3,0.4294,0.0067,0.0819,289,289,100,2.01515E+12,0.4
