startDateTime,endDateTime,surfacewaterElevMean,surfacewaterElevMinimum,surfacewaterElevMaximum,surfacewaterElevVariance,surfacewaterElevNumPts,surfacewaterElevExpUncert,surfacewaterElevStdErMean,sWatElevFinalQF
"2017-10-15T00:00:00Z","2017-10-15T00:30:00Z",497.11,497.11,497.11,0.00,30,2.48,0.00,0
"2017-10-15T00:30:00Z","2017-10-15T01:00:00Z",497.11,497.11,497.11,0.00,30,2.48,0.00,0
"2017-10-15T01:00:00Z","2017-10-15T01:30:00Z",497.11,497.11,497.11,0.00,30,2.48,0.00,0
"2017-10-15T01:30:00Z","2017-10-15T02:00:00Z",497.11,497.11,497.11,0.00,30,2.48,0.00,0
"2017-10-15T02:00:00Z","2017-10-15T02:30:00Z",497.12,497.11,497.12,0.00,30,2.48,0.00,0
"2017-10-15T02:30:00Z","2017-10-15T03:00:00Z",497.12,497.11,497.12,0.00,30,2.48,0.00,0
"2017-10-15T03:00:00Z","2017-10-15T03:30:00Z",497.12,497.12,497.12,0.00,30,2.48,0.00,0
"2017-10-15T03:30:00Z","2017-10-15T04:00:00Z",497.12,497.12,497.12,0.00,30,2.48,0.00,0
"2017-10-15T04:00:00Z","2017-10-15T04:30:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T04:30:00Z","2017-10-15T05:00:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T05:00:00Z","2017-10-15T05:30:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T05:30:00Z","2017-10-15T06:00:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T06:00:00Z","2017-10-15T06:30:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T06:30:00Z","2017-10-15T07:00:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T07:00:00Z","2017-10-15T07:30:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T07:30:00Z","2017-10-15T08:00:00Z",497.13,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T08:00:00Z","2017-10-15T08:30:00Z",497.12,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T08:30:00Z","2017-10-15T09:00:00Z",497.13,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T09:00:00Z","2017-10-15T09:30:00Z",497.13,497.12,497.13,0.00,30,2.48,0.00,0
"2017-10-15T09:30:00Z","2017-10-15T10:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T10:00:00Z","2017-10-15T10:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T10:30:00Z","2017-10-15T11:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T11:00:00Z","2017-10-15T11:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T11:30:00Z","2017-10-15T12:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T12:00:00Z","2017-10-15T12:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T12:30:00Z","2017-10-15T13:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T13:00:00Z","2017-10-15T13:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T13:30:00Z","2017-10-15T14:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T14:00:00Z","2017-10-15T14:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T14:30:00Z","2017-10-15T15:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T15:00:00Z","2017-10-15T15:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T15:30:00Z","2017-10-15T16:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T16:00:00Z","2017-10-15T16:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T16:30:00Z","2017-10-15T17:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T17:00:00Z","2017-10-15T17:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T17:30:00Z","2017-10-15T18:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T18:00:00Z","2017-10-15T18:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T18:30:00Z","2017-10-15T19:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T19:00:00Z","2017-10-15T19:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T19:30:00Z","2017-10-15T20:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T20:00:00Z","2017-10-15T20:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T20:30:00Z","2017-10-15T21:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T21:00:00Z","2017-10-15T21:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T21:30:00Z","2017-10-15T22:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T22:00:00Z","2017-10-15T22:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T22:30:00Z","2017-10-15T23:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T23:00:00Z","2017-10-15T23:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-15T23:30:00Z","2017-10-16T00:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T00:00:00Z","2017-10-16T00:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T00:30:00Z","2017-10-16T01:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T01:00:00Z","2017-10-16T01:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T01:30:00Z","2017-10-16T02:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T02:00:00Z","2017-10-16T02:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T02:30:00Z","2017-10-16T03:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T03:00:00Z","2017-10-16T03:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T03:30:00Z","2017-10-16T04:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T04:00:00Z","2017-10-16T04:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T04:30:00Z","2017-10-16T05:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T05:00:00Z","2017-10-16T05:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T05:30:00Z","2017-10-16T06:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T06:00:00Z","2017-10-16T06:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T06:30:00Z","2017-10-16T07:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T07:00:00Z","2017-10-16T07:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T07:30:00Z","2017-10-16T08:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T08:00:00Z","2017-10-16T08:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T08:30:00Z","2017-10-16T09:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T09:00:00Z","2017-10-16T09:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T09:30:00Z","2017-10-16T10:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T10:00:00Z","2017-10-16T10:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T10:30:00Z","2017-10-16T11:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T11:00:00Z","2017-10-16T11:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T11:30:00Z","2017-10-16T12:00:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
"2017-10-16T16:00:00Z","2017-10-16T16:30:00Z",497.13,497.13,497.13,0.00,30,2.48,0.00,0
