startDateTime,endDateTime,RHMean,RHMinimum,RHMaximum,RHVariance,RHNumPts,RHExpUncert,RHStdErMean,RHFinalQF,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF,dewTempMean,dewTempMinimum,dewTempMaximum,dewTempVariance,dewTempNumPts,dewTempExpUncert,dewTempStdErMean,dewTempFinalQF
"2017-10-12T00:00:00Z","2017-10-12T00:01:00Z",82.78,82.78,82.78,0.00,1,0.19,,0,9.157,9.157,9.157,0.000,1,2.200,,0,6.337,6.337,6.337,0.000,1,0.918,,0
"2017-10-12T00:01:00Z","2017-10-12T00:02:00Z",82.81,82.81,82.81,0.00,1,0.19,,1,9.145,9.145,9.145,0.000,1,2.200,,0,6.329,6.329,6.329,0.000,1,0.918,,0
"2017-10-12T00:02:00Z","2017-10-12T00:03:00Z",83.41,83.41,83.41,0.00,1,0.19,,1,9.128,9.128,9.128,0.000,1,2.200,,0,6.418,6.418,6.418,0.000,1,0.918,,0
"2017-10-12T00:03:00Z","2017-10-12T00:04:00Z",82.51,82.51,82.51,0.00,1,0.19,,1,9.091,9.091,9.091,0.000,1,2.200,,0,6.224,6.224,6.224,0.000,1,0.918,,0
"2017-10-12T00:04:00Z","2017-10-12T00:05:00Z",82.34,82.34,82.34,0.00,1,0.19,,1,9.067,9.067,9.067,0.000,1,2.200,,0,6.170,6.170,6.170,0.000,1,0.918,,0
"2017-10-12T00:05:00Z","2017-10-12T00:06:00Z",83.58,83.58,83.58,0.00,1,0.19,,1,9.030,9.030,9.030,0.000,1,2.200,,0,6.351,6.351,6.351,0.000,1,0.919,,0
"2017-10-12T00:06:00Z","2017-10-12T00:07:00Z",83.97,83.97,83.97,0.00,1,0.19,,1,9.035,9.035,9.035,0.000,1,2.200,,0,6.424,6.424,6.424,0.000,1,0.919,,0
"2017-10-12T00:07:00Z","2017-10-12T00:08:00Z",83.09,83.09,83.09,0.00,1,0.19,,1,9.024,9.024,9.024,0.000,1,2.200,,0,6.260,6.260,6.260,0.000,1,0.919,,0
"2017-10-12T00:08:00Z","2017-10-12T00:09:00Z",82.39,82.39,82.39,0.00,1,0.19,,1,8.968,8.968,8.968,0.000,1,2.200,,0,6.083,6.083,6.083,0.000,1,0.919,,0
"2017-10-12T00:09:00Z","2017-10-12T00:10:00Z",81.95,81.95,81.95,0.00,1,0.19,,0,8.966,8.966,8.966,0.000,1,2.200,,0,6.002,6.002,6.002,0.000,1,0.919,,0
"2017-10-12T00:10:00Z","2017-10-12T00:11:00Z",81.97,81.97,81.97,0.00,1,0.19,,0,8.946,8.946,8.946,0.000,1,2.200,,0,5.987,5.987,5.987,0.000,1,0.919,,0
"2017-10-12T00:11:00Z","2017-10-12T00:12:00Z",82.30,82.30,82.30,0.00,1,0.19,,0,8.968,8.968,8.968,0.000,1,2.200,,0,6.067,6.067,6.067,0.000,1,0.919,,0
"2017-10-12T00:12:00Z","2017-10-12T00:13:00Z",82.36,82.36,82.36,0.00,1,0.19,,0,8.960,8.960,8.960,0.000,1,2.200,,0,6.070,6.070,6.070,0.000,1,0.919,,0
"2017-10-12T00:13:00Z","2017-10-12T00:14:00Z",82.32,82.32,82.32,0.00,1,0.19,,1,8.985,8.985,8.985,0.000,1,2.200,,0,6.088,6.088,6.088,0.000,1,0.919,,0
"2017-10-12T00:14:00Z","2017-10-12T00:15:00Z",83.15,83.15,83.15,0.00,1,0.19,,1,8.984,8.984,8.984,0.000,1,2.200,,0,6.231,6.231,6.231,0.000,1,0.919,,0
"2017-10-12T00:15:00Z","2017-10-12T00:16:00Z",83.17,83.17,83.17,0.00,1,0.19,,1,8.912,8.912,8.912,0.000,1,2.200,,0,6.165,6.165,6.165,0.000,1,0.919,,0
"2017-10-12T00:16:00Z","2017-10-12T00:17:00Z",86.13,86.13,86.13,0.00,1,0.19,,1,8.855,8.855,8.855,0.000,1,2.200,,0,6.616,6.616,6.616,0.000,1,0.921,,0
"2017-10-12T00:17:00Z","2017-10-12T00:18:00Z",84.41,84.41,84.41,0.00,1,0.19,,1,8.814,8.814,8.814,0.000,1,2.200,,0,6.283,6.283,6.283,0.000,1,0.920,,0
"2017-10-12T00:18:00Z","2017-10-12T00:19:00Z",84.72,84.72,84.72,0.00,1,0.19,,1,8.803,8.803,8.803,0.000,1,2.200,,0,6.326,6.326,6.326,0.000,1,0.921,,0
"2017-10-12T00:19:00Z","2017-10-12T00:20:00Z",86.08,86.08,86.08,0.00,1,0.19,,1,8.791,8.791,8.791,0.000,1,2.200,,0,6.546,6.546,6.546,0.000,1,0.921,,0
"2017-10-12T00:20:00Z","2017-10-12T00:21:00Z",86.52,86.52,86.52,0.00,1,0.19,,0,8.766,8.766,8.766,0.000,1,2.200,,0,6.595,6.595,6.595,0.000,1,0.921,,0
"2017-10-12T00:21:00Z","2017-10-12T00:22:00Z",86.58,86.58,86.58,0.00,1,0.19,,1,8.754,8.754,8.754,0.000,1,2.200,,0,6.593,6.593,6.593,0.000,1,0.921,,0
"2017-10-12T00:22:00Z","2017-10-12T00:23:00Z",85.93,85.93,85.93,0.00,1,0.19,,1,8.696,8.696,8.696,0.000,1,2.200,,0,6.426,6.426,6.426,0.000,1,0.921,,0
"2017-10-12T00:23:00Z","2017-10-12T00:24:00Z",86.21,86.21,86.21,0.00,1,0.19,,1,8.662,8.662,8.662,0.000,1,2.200,,0,6.440,6.440,6.440,0.000,1,0.922,,0
"2017-10-12T00:24:00Z","2017-10-12T00:25:00Z",88.40,88.40,88.40,0.00,1,0.19,,1,8.668,8.668,8.668,0.000,1,2.200,,0,6.810,6.810,6.810,0.000,1,0.922,,0
"2017-10-12T00:25:00Z","2017-10-12T00:26:00Z",87.55,87.55,87.55,0.00,1,0.19,,1,8.657,8.657,8.657,0.000,1,2.200,,0,6.659,6.659,6.659,0.000,1,0.922,,0
"2017-10-12T00:26:00Z","2017-10-12T00:27:00Z",87.75,87.75,87.75,0.00,1,0.19,,1,8.657,8.657,8.657,0.000,1,2.200,,0,6.692,6.692,6.692,0.000,1,0.922,,0
"2017-10-12T00:27:00Z","2017-10-12T00:28:00Z",86.18,86.18,86.18,0.00,1,0.19,,1,8.613,8.613,8.613,0.000,1,2.200,,0,6.387,6.387,6.387,0.000,1,0.922,,0
"2017-10-12T00:28:00Z","2017-10-12T00:29:00Z",88.65,88.65,88.65,0.00,1,0.19,,1,8.618,8.618,8.618,0.000,1,2.200,,0,6.804,6.804,6.804,0.000,1,0.923,,0
"2017-10-12T00:29:00Z","2017-10-12T00:30:00Z",87.31,87.31,87.31,0.00,1,0.19,,1,8.554,8.554,8.554,0.000,1,2.200,,0,6.518,6.518,6.518,0.000,1,0.923,,0
"2017-10-12T00:30:00Z","2017-10-12T00:31:00Z",85.94,85.94,85.94,0.00,1,0.19,,1,8.476,8.476,8.476,0.000,1,2.200,,0,6.212,6.212,6.212,0.000,1,0.923,,0
"2017-10-12T00:31:00Z","2017-10-12T00:32:00Z",87.50,87.50,87.50,0.00,1,0.19,,1,8.423,8.423,8.423,0.000,1,2.200,,0,6.421,6.421,6.421,0.000,1,0.923,,0
