startDateTime,endDateTime,tempRHMean,tempRHMinimum,tempRHMaximum,tempRHVariance,tempRHNumPts,tempRHExpUncert,tempRHStdErMean,tempRHFinalQF
"2018-09-01T00:00:00Z","2018-09-01T00:30:00Z",22.463,22.257,22.655,0.014,30,2.200,0.022,0
"2018-09-01T00:30:00Z","2018-09-01T01:00:00Z",22.217,21.996,22.498,0.020,30,2.201,0.026,0
"2018-09-01T01:00:00Z","2018-09-01T01:30:00Z",21.920,21.754,22.101,0.010,30,2.200,0.018,0
"2018-09-01T01:30:00Z","2018-09-01T02:00:00Z",21.584,21.399,21.845,0.018,30,2.201,0.025,0
"2018-09-01T02:00:00Z","2018-09-01T02:30:00Z",21.556,21.372,21.655,0.005,30,2.200,0.013,0
"2018-09-01T02:30:00Z","2018-09-01T03:00:00Z",21.522,21.278,21.686,0.012,30,2.200,0.020,0
"2018-09-01T03:00:00Z","2018-09-01T03:30:00Z",21.369,21.255,21.552,0.009,30,2.200,0.017,0
"2018-09-01T03:30:00Z","2018-09-01T04:00:00Z",21.233,21.165,21.281,0.001,30,2.200,0.005,0
"2018-09-01T04:00:00Z","2018-09-01T04:30:00Z",21.224,21.143,21.274,0.001,30,2.200,0.006,0
"2018-09-01T04:30:00Z","2018-09-01T05:00:00Z",21.316,21.226,21.410,0.003,30,2.200,0.010,0
"2018-09-01T05:00:00Z","2018-09-01T05:30:00Z",21.425,21.365,21.494,0.001,30,2.200,0.006,0
"2018-09-01T05:30:00Z","2018-09-01T06:00:00Z",21.420,21.380,21.462,0.000,30,2.200,0.004,0
"2018-09-01T06:00:00Z","2018-09-01T06:30:00Z",21.237,21.028,21.373,0.014,30,2.200,0.022,0
"2018-09-01T06:30:00Z","2018-09-01T07:00:00Z",20.780,20.342,21.073,0.063,30,2.202,0.046,0
"2018-09-01T07:00:00Z","2018-09-01T07:30:00Z",20.380,20.310,20.433,0.001,30,2.200,0.006,0
"2018-09-01T07:30:00Z","2018-09-01T08:00:00Z",20.302,20.150,20.411,0.003,30,2.200,0.011,0
"2018-09-01T08:00:00Z","2018-09-01T08:30:00Z",20.035,19.809,20.140,0.006,30,2.200,0.014,0
"2018-09-01T08:30:00Z","2018-09-01T09:00:00Z",19.680,19.597,19.782,0.002,30,2.200,0.009,0
"2018-09-01T09:00:00Z","2018-09-01T09:30:00Z",19.735,19.583,19.930,0.013,30,2.200,0.021,0
"2018-09-01T09:30:00Z","2018-09-01T10:00:00Z",20.023,19.916,20.084,0.003,30,2.200,0.009,0
"2018-09-01T10:00:00Z","2018-09-01T10:30:00Z",20.052,20.000,20.134,0.001,30,2.200,0.007,0
"2018-09-01T10:30:00Z","2018-09-01T11:00:00Z",19.882,19.672,20.013,0.007,30,2.200,0.015,0
"2018-09-01T11:00:00Z","2018-09-01T11:30:00Z",19.635,19.577,19.707,0.001,30,2.200,0.006,0
"2018-09-01T11:30:00Z","2018-09-01T12:00:00Z",19.679,19.650,19.709,0.000,30,2.200,0.003,0
"2018-09-01T12:00:00Z","2018-09-01T12:30:00Z",19.777,19.696,19.863,0.003,30,2.200,0.009,0
"2018-09-01T12:30:00Z","2018-09-01T13:00:00Z",19.877,19.833,19.900,0.000,30,2.200,0.003,0
"2018-09-01T13:00:00Z","2018-09-01T13:30:00Z",20.013,19.899,20.092,0.003,30,2.200,0.011,0
"2018-09-01T13:30:00Z","2018-09-01T14:00:00Z",20.015,19.756,20.149,0.020,30,2.201,0.026,0
"2018-09-01T14:00:00Z","2018-09-01T14:30:00Z",19.734,19.697,19.788,0.000,30,2.200,0.004,0
"2018-09-01T14:30:00Z","2018-09-01T15:00:00Z",19.848,19.747,19.909,0.003,30,2.200,0.009,0
"2018-09-01T15:00:00Z","2018-09-01T15:30:00Z",19.671,19.585,19.762,0.004,30,2.200,0.011,0
"2018-09-01T15:30:00Z","2018-09-01T16:00:00Z",20.135,19.693,20.538,0.092,30,2.203,0.055,0
"2018-09-01T16:00:00Z","2018-09-01T16:30:00Z",20.884,20.517,21.125,0.033,30,2.201,0.033,0
"2018-09-01T16:30:00Z","2018-09-01T17:00:00Z",21.301,21.059,21.619,0.035,30,2.201,0.034,0
"2018-09-01T17:00:00Z","2018-09-01T17:30:00Z",22.046,21.651,22.351,0.066,30,2.202,0.047,0
"2018-09-01T17:30:00Z","2018-09-01T18:00:00Z",22.549,22.334,22.716,0.013,30,2.200,0.021,0
"2018-09-01T18:00:00Z","2018-09-01T18:30:00Z",23.059,22.754,23.434,0.050,30,2.202,0.041,0
"2018-09-01T18:30:00Z","2018-09-01T19:00:00Z",23.280,23.112,23.412,0.008,30,2.200,0.017,0
"2018-09-01T19:00:00Z","2018-09-01T19:30:00Z",23.351,23.200,23.535,0.009,30,2.200,0.017,0
"2018-09-01T19:30:00Z","2018-09-01T20:00:00Z",23.399,23.125,23.702,0.029,30,2.201,0.031,0
"2018-09-01T20:00:00Z","2018-09-01T20:30:00Z",24.015,23.351,24.583,0.147,30,2.204,0.070,0
"2018-09-01T20:30:00Z","2018-09-01T21:00:00Z",24.913,24.244,25.480,0.123,30,2.204,0.064,0
"2018-09-01T21:00:00Z","2018-09-01T21:30:00Z",25.500,25.183,25.897,0.043,30,2.201,0.038,0
"2018-09-01T21:30:00Z","2018-09-01T22:00:00Z",25.568,25.351,25.785,0.018,30,2.201,0.025,0
"2018-09-01T22:00:00Z","2018-09-01T22:30:00Z",25.206,24.811,25.682,0.098,30,2.203,0.057,0
"2018-09-01T22:30:00Z","2018-09-01T23:00:00Z",24.857,24.655,25.017,0.007,30,2.200,0.016,0
"2018-09-01T23:00:00Z","2018-09-01T23:30:00Z",24.412,24.030,24.826,0.061,30,2.202,0.045,0
"2018-09-01T23:30:00Z","2018-09-02T00:00:00Z",23.058,22.279,23.864,0.292,30,2.209,0.099,0
