startDateTime,endDateTime,buoyWindSpeedMean,buoyWindSpeedMinimum,buoyWindSpeedMaximum,buoyWindSpeedVariance,buoyWindSpeedNumPts,buoyWindSpeedExpUncert,buoyWindSpeedStdErMean,buoyWindSpeedFinalQF,buoyWindDirMean,buoyWindDirVariance,buoyWindDirNumPts,buoyWindDirExpUncert,buoyWindDirStdErMean,buoyWindDirFinalQF
"2019-07-01T00:00:00Z","2019-07-01T00:02:00Z",0.41,0.00,0.96,0.11,30.00,0.18,0.06,,66.55,13.81,29.00,6.81,0.69,
"2019-07-01T00:02:00Z","2019-07-01T00:04:00Z",0.35,0.00,1.22,0.11,30.00,0.18,0.06,,60.56,26.50,29.00,6.94,0.96,
"2019-07-01T00:04:00Z","2019-07-01T00:06:00Z",0.68,0.00,1.83,0.36,30.00,0.26,0.11,,79.34,30.89,30.00,6.98,1.01,
"2019-07-01T00:06:00Z","2019-07-01T00:08:00Z",0.90,0.00,1.71,0.19,30.00,0.21,0.08,,71.54,24.44,29.00,6.92,0.92,
"2019-07-01T00:08:00Z","2019-07-01T00:10:00Z",0.19,0.00,1.08,0.09,30.00,0.18,0.05,,75.75,20.98,28.00,6.89,0.87,
"2019-07-01T00:10:00Z","2019-07-01T00:12:00Z",0.57,0.00,1.58,0.30,29.00,0.25,0.10,,67.86,29.16,29.00,6.97,1.00,
"2019-07-01T00:12:00Z","2019-07-01T00:14:00Z",0.24,0.00,0.83,0.10,29.00,0.18,0.06,,97.67,37.16,30.00,7.04,1.11,
"2019-07-01T00:14:00Z","2019-07-01T00:16:00Z",0.23,0.00,1.04,0.12,30.00,0.19,0.06,,81.28,18.66,28.00,6.87,0.82,
"2019-07-01T00:16:00Z","2019-07-01T00:18:00Z",0.01,0.00,0.08,0.00,30.00,0.14,0.00,,91.78,9.85,30.00,6.77,0.57,
"2019-07-01T00:18:00Z","2019-07-01T00:20:00Z",0.07,0.00,0.69,0.04,30.00,0.16,0.04,,89.82,10.14,30.00,6.77,0.58,
"2019-07-01T00:20:00Z","2019-07-01T00:22:00Z",0.43,0.00,1.08,0.13,30.00,0.19,0.07,,97.10,18.82,30.00,6.86,0.79,
"2019-07-01T00:22:00Z","2019-07-01T00:24:00Z",0.59,0.00,0.96,0.07,30.00,0.17,0.05,,79.69,30.83,26.00,7.02,1.09,
"2019-07-01T00:24:00Z","2019-07-01T00:26:00Z",0.53,0.00,1.17,0.10,30.00,0.18,0.06,,131.95,36.64,30.00,7.03,1.11,
"2019-07-01T00:26:00Z","2019-07-01T00:28:00Z",0.13,0.00,0.92,0.07,30.00,0.17,0.05,,96.26,11.73,30.00,6.79,0.63,
"2019-07-01T00:28:00Z","2019-07-01T00:30:00Z",0.32,0.00,0.58,0.04,30.00,0.16,0.04,,47.65,12.01,30.00,6.79,0.63,
"2019-07-01T00:30:00Z","2019-07-01T00:32:00Z",0.00,0.00,0.00,0.00,30.00,0.14,0.00,,92.35,9.93,30.00,6.77,0.58,
"2019-07-01T00:32:00Z","2019-07-01T00:34:00Z",0.08,0.00,0.75,0.05,30.00,0.16,0.04,,97.65,26.09,30.00,6.93,0.93,
"2019-07-01T00:34:00Z","2019-07-01T00:36:00Z",0.31,0.00,0.75,0.06,30.00,0.17,0.05,,32.17,16.20,30.00,6.83,0.73,
"2019-07-01T00:36:00Z","2019-07-01T00:38:00Z",0.44,0.08,0.62,0.02,30.00,0.15,0.02,,356.71,0.53,30.00,6.68,0.13,
"2019-07-01T00:38:00Z","2019-07-01T00:40:00Z",0.65,0.46,0.92,0.02,30.00,0.15,0.03,,354.12,0.94,30.00,6.68,0.18,
"2019-07-01T00:40:00Z","2019-07-01T00:42:00Z",0.80,0.67,0.92,0.01,30.00,0.14,0.01,,333.90,1.66,30.00,6.69,0.24,
"2019-07-01T00:42:00Z","2019-07-01T00:44:00Z",0.65,0.42,0.79,0.01,30.00,0.15,0.02,,347.66,0.80,30.00,6.68,0.16,
"2019-07-01T00:44:00Z","2019-07-01T00:46:00Z",0.43,0.00,0.62,0.03,30.00,0.15,0.03,,347.05,8.67,30.00,6.76,0.54,
"2019-07-01T00:46:00Z","2019-07-01T00:48:00Z",0.28,0.00,0.65,0.06,30.00,0.17,0.05,,47.58,29.51,30.00,6.96,0.99,
"2019-07-01T00:48:00Z","2019-07-01T00:50:00Z",0.10,0.00,0.50,0.03,30.00,0.15,0.03,,61.10,37.34,30.00,7.04,1.12,
"2019-07-01T00:50:00Z","2019-07-01T00:52:00Z",0.10,0.00,0.46,0.03,30.00,0.15,0.03,,105.87,21.37,30.00,6.88,0.84,
"2019-07-01T00:52:00Z","2019-07-01T00:54:00Z",0.05,0.00,0.33,0.01,30.00,0.14,0.02,,108.27,20.41,30.00,6.87,0.82,
"2019-07-01T00:54:00Z","2019-07-01T00:56:00Z",0.31,0.08,0.54,0.02,30.00,0.15,0.03,,347.54,1.74,30.00,6.69,0.24,
"2019-07-01T00:56:00Z","2019-07-01T00:58:00Z",0.10,0.00,0.58,0.03,30.00,0.15,0.03,,67.05,35.75,30.00,7.02,1.09,
"2019-07-01T00:58:00Z","2019-07-01T01:00:00Z",0.10,0.00,0.50,0.03,29.00,0.15,0.03,,107.90,22.58,30.00,6.90,0.87,
"2019-07-01T01:00:00Z","2019-07-01T01:02:00Z",0.00,0.00,0.00,0.00,30.00,0.14,0.00,,92.80,10.02,30.00,6.77,0.58,
"2019-07-01T01:02:00Z","2019-07-01T01:04:00Z",0.01,0.00,0.17,0.00,30.00,0.14,0.01,,88.71,11.46,30.00,6.79,0.62,
"2019-07-01T01:04:00Z","2019-07-01T01:06:00Z",0.00,0.00,0.00,0.00,30.00,0.14,0.00,,93.26,10.12,30.00,6.77,0.58,
"2019-07-01T01:06:00Z","2019-07-01T01:08:00Z",0.49,0.00,0.69,0.03,30.00,0.15,0.03,,304.06,18.63,30.00,6.86,0.79,
"2019-07-01T01:08:00Z","2019-07-01T01:10:00Z",0.79,0.54,0.92,0.01,28.00,0.14,0.02,,330.26,5.34,30.00,6.73,0.42,
"2019-07-01T01:10:00Z","2019-07-01T01:12:00Z",0.81,0.37,1.04,0.02,30.00,0.15,0.03,,344.96,0.71,30.00,6.68,0.15,
"2019-07-01T01:12:00Z","2019-07-01T01:14:00Z",0.58,0.42,0.85,0.02,30.00,0.15,0.02,,356.24,1.07,30.00,6.68,0.19,
"2019-07-01T01:14:00Z","2019-07-01T01:16:00Z",0.38,0.00,0.58,0.03,30.00,0.15,0.03,,359.82,12.63,30.00,6.80,0.65,
"2019-07-01T01:16:00Z","2019-07-01T01:18:00Z",0.00,0.00,0.00,0.00,30.00,0.14,0.00,,93.69,10.22,30.00,6.77,0.58,
"2019-07-01T01:18:00Z","2019-07-01T01:20:00Z",0.08,0.00,0.42,0.02,30.00,0.15,0.03,,110.68,31.99,30.00,6.99,1.03,
"2019-07-01T01:20:00Z","2019-07-01T01:22:00Z",0.59,0.42,0.71,0.01,30.00,0.14,0.01,,343.18,0.45,30.00,6.68,0.12,
"2019-07-01T01:22:00Z","2019-07-01T01:24:00Z",0.60,0.44,0.79,0.01,30.00,0.15,0.02,,328.42,3.27,30.00,6.71,0.33,
"2019-07-01T01:24:00Z","2019-07-01T01:26:00Z",0.85,0.54,1.12,0.02,30.00,0.15,0.03,,316.09,3.62,30.00,6.71,0.35,
"2019-07-01T01:26:00Z","2019-07-01T01:28:00Z",0.62,0.00,0.87,0.04,30.00,0.16,0.04,,331.54,14.20,30.00,6.81,0.69,
"2019-07-01T01:28:00Z","2019-07-01T01:30:00Z",0.46,0.00,1.10,0.14,30.00,0.20,0.07,,37.15,20.59,30.00,6.88,0.83,
"2019-07-01T01:30:00Z","2019-07-01T01:32:00Z",0.63,0.46,0.79,0.01,30.00,0.15,0.02,,342.45,0.59,30.00,6.68,0.14,
"2019-07-01T01:32:00Z","2019-07-01T01:34:00Z",1.12,0.81,1.62,0.08,30.00,0.17,0.05,,323.85,3.40,30.00,6.71,0.34,
"2019-07-01T01:34:00Z","2019-07-01T01:36:00Z",1.48,1.12,1.83,0.02,30.00,0.15,0.03,,306.67,3.50,30.00,6.71,0.34,
"2019-07-01T01:36:00Z","2019-07-01T01:38:00Z",1.03,0.67,1.42,0.05,30.00,0.16,0.04,,312.15,3.97,30.00,6.71,0.36,
"2019-07-01T01:38:00Z","2019-07-01T01:40:00Z",0.88,0.58,1.25,0.04,30.00,0.16,0.04,,339.30,1.47,30.00,6.69,0.22,
"2019-07-01T01:40:00Z","2019-07-01T01:42:00Z",1.22,0.96,1.54,0.02,30.00,0.15,0.03,,321.32,2.46,30.00,6.70,0.29,
"2019-07-01T01:42:00Z","2019-07-01T01:44:00Z",1.37,1.21,1.50,0.01,30.00,0.14,0.01,,311.39,3.26,30.00,6.71,0.33,
"2019-07-01T01:44:00Z","2019-07-01T01:46:00Z",1.26,1.00,1.54,0.02,30.00,0.15,0.03,,313.27,3.31,30.00,6.71,0.33,
"2019-07-01T01:46:00Z","2019-07-01T01:48:00Z",1.05,0.79,1.34,0.03,30.00,0.15,0.03,,324.37,3.70,30.00,6.71,0.35,
"2019-07-01T01:48:00Z","2019-07-01T01:50:00Z",1.32,1.17,1.50,0.01,30.00,0.14,0.02,,309.08,3.19,30.00,6.71,0.33,
"2019-07-01T01:50:00Z","2019-07-01T01:52:00Z",1.36,1.08,1.67,0.02,30.00,0.15,0.03,,320.22,2.03,30.00,6.69,0.26,
"2019-07-01T01:52:00Z","2019-07-01T01:54:00Z",1.49,1.29,1.75,0.01,30.00,0.15,0.02,,317.96,2.71,30.00,6.70,0.30,
"2019-07-01T01:54:00Z","2019-07-01T01:56:00Z",1.53,1.04,1.79,0.03,30.00,0.15,0.03,,312.58,3.64,30.00,6.71,0.35,
"2019-07-01T01:56:00Z","2019-07-01T01:58:00Z",1.64,1.33,1.83,0.02,30.00,0.15,0.03,,311.61,3.04,30.00,6.70,0.32,
"2019-07-01T01:58:00Z","2019-07-01T02:00:00Z",1.54,1.21,1.87,0.03,30.00,0.16,0.03,,319.27,2.18,30.00,6.70,0.27,
"2019-07-01T02:00:00Z","2019-07-01T02:02:00Z",1.21,0.71,1.75,0.08,30.00,0.18,0.05,,314.08,3.55,30.00,6.71,0.34,
"2019-07-01T02:02:00Z","2019-07-01T02:04:00Z",1.19,0.58,1.54,0.06,30.00,0.17,0.04,,304.54,4.84,30.00,6.72,0.40,
"2019-07-01T02:04:00Z","2019-07-01T02:06:00Z",1.27,0.92,1.58,0.03,30.00,0.15,0.03,,306.87,4.43,30.00,6.72,0.38,
"2019-07-01T02:06:00Z","2019-07-01T02:08:00Z",1.16,0.92,1.46,0.02,30.00,0.15,0.03,,312.46,3.66,30.00,6.71,0.35,
"2019-07-01T02:08:00Z","2019-07-01T02:10:00Z",0.92,0.46,1.31,0.06,30.00,0.17,0.04,,307.26,6.20,30.00,6.74,0.45,
"2019-07-01T02:10:00Z","2019-07-01T02:12:00Z",1.21,0.87,1.46,0.03,30.00,0.15,0.03,,309.55,5.05,30.00,6.72,0.41,
"2019-07-01T02:12:00Z","2019-07-01T02:14:00Z",1.29,1.08,1.50,0.01,30.00,0.15,0.02,,313.96,2.80,30.00,6.70,0.31,
"2019-07-01T02:14:00Z","2019-07-01T02:16:00Z",1.41,1.08,1.75,0.02,30.00,0.15,0.03,,316.51,2.71,30.00,6.70,0.30,
"2019-07-01T02:16:00Z","2019-07-01T02:18:00Z",1.35,1.08,1.67,0.01,30.00,0.15,0.02,,317.32,2.92,30.00,6.70,0.31,
"2019-07-01T02:18:00Z","2019-07-01T02:20:00Z",1.28,0.79,1.83,0.05,30.00,0.16,0.04,,315.18,3.01,30.00,6.70,0.32,
