iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2007 1 0 0 -0.2809999999999818 -24.339 -999.0 -999.0 0 2.28 96.44749999999999 15.931000000000001 99.696 0.0 0.08 0 391.755 -999.0 -999.0 7.694067051033926e-06 4.0 -999.0 -999.0 136.64499999999998
2007 1 1 0 -0.03449999999996817 -84.675 107.9325 -999.0 0 3.3715 96.7345 16.197000000000003 99.5795 0.55 0.1345 0 393.72 -999.0 -999.0 0.0 4.0 -999.0 -999.0 158.485
2007 1 2 0 -0.04000000000003409 31.049999999999997 35.43199999999999 -999.0 0 1.715 96.6785 16.805999999999997 99.5035 0.45 0.1395 0 397.08 -999.0 -999.0 0.0 4.0 -999.0 -999.0 176.695
2007 1 3 0 -0.29650000000000454 -8.231 199.65 -999.0 0 2.103 96.08099999999999 17.4145 99.402 0.7 0.222 0 399.70500000000004 -999.0 -999.0 0.0 4.0 -999.0 -999.0 158.73
2007 1 4 0 -0.3240000000000296 -999.0 -999.0 -999.0 0 2.04775 95.7065 17.7055 99.362 0.85 0.1845 0 401.18 -999.0 -999.0 0.0 4.0 -999.0 -999.0 211.635
2007 1 5 0 -1.7049999999999819 -999.0 -999.0 -999.0 0 1.9925000000000002 94.84100000000001 18.0245 99.517 0.05 0.4285 0 400.6 -999.0 -999.0 0.0 4.0 -999.0 -999.0 -999.0
2007 1 6 0 -2.5535000000000228 -999.0 -999.0 -999.0 0 1.9372500000000001 93.416 18.2845 99.5955 0.05 0.681 0 400.155 -999.0 -999.0 0.0 4.0 -999.0 -999.0 -999.0
2007 1 7 0 -1.8595000000000161 -999.0 -999.0 -999.0 0 1.8820000000000001 91.1075 18.511499999999998 99.595 0.0 1.0185 0 400.15 -999.0 -999.0 0.0 4.0 -999.0 -999.0 194.62
2007 1 8 0 0.9749999999999654 -999.0 -999.0 -999.0 0 1.82675 90.736 18.506 99.305 0.1 3.2939999999999996 0 400.305 -999.0 -999.0 0.0 4.0 -999.0 -999.0 190.535
2007 1 9 0 29.558499999999995 -999.0 -999.0 -999.0 0 1.7715 93.24799999999999 18.1545 99.291 0.0 33.459500000000006 0 402.77 -999.0 -999.0 0.0 4.0 -999.0 -999.0 193.95999999999998
2007 1 10 0 57.64400000000002 -999.0 -999.0 -999.0 0 1.71625 90.696 18.615000000000002 99.268 0.0 68.09250000000002 0 401.82500000000005 -999.0 -999.0 0.0 4.0 -999.0 -999.0 198.47
2007 1 11 0 44.80499999999999 -37.355 -999.0 -999.0 0 1.661 86.15350000000001 18.955 99.242 0.05 53.89 0 399.745 -999.0 -999.0 0.0 4.0 -999.0 -999.0 234.285
2007 1 12 0 55.30900000000002 -21.3105 244.74 -999.0 0 1.5155 90.63750000000002 16.462 99.205 1.3 63.938500000000005 0 390.93 -999.0 -999.0 0.0 4.0 -999.0 -999.0 247.02499999999998
2007 1 13 0 47.96100000000002 -37.239 -999.0 -999.0 0 2.22675 95.196 14.9485 99.117 1.75 52.7385 0 388.095 -999.0 -999.0 0.0 4.0 -999.0 -999.0 351.36
2007 1 14 0 79.07349999999998 7.19 165.96 -999.0 0 2.938 94.291 14.648 99.019 0.15000000000000002 90.27699999999999 0 384.185 -999.0 -999.0 0.0 4.0 -999.0 -999.0 29.5
2007 1 15 0 32.66800000000009 -999.0 -999.0 -999.0 0 2.2845 92.2715 13.743500000000001 98.982 0.2 41.417 0 376.44000000000005 -999.0 -999.0 0.0 4.0 -999.0 -999.0 265.5
2007 1 16 0 24.793000000000056 -231.23 211.93 -999.0 0 1.631 90.23949999999999 12.736 98.9925 0.0 31.180500000000002 0 371.96500000000003 -999.0 -999.0 0.0 4.0 -999.0 -999.0 182.894
2007 1 17 0 -15.691499999999987 -999.0 -999.0 -999.0 0 1.809875 89.0075 12.0025 99.0025 0.0 13.160499999999999 0 342.805 -999.0 -999.0 0.0 4.0 -999.0 -999.0 226.03
2007 1 18 0 -51.55349999999997 -999.0 -999.0 -999.0 0 1.98875 91.56299999999999 11.107 99.10900000000001 0.0 -2.047 0 313.35 -999.0 -999.0 0.0 4.0 -999.0 -999.0 234.18
2007 1 19 0 -49.751499999999965 -999.0 -999.0 -999.0 0 2.167625 90.68 10.7375 99.21449999999999 0.0 -1.923 0 311.485 -999.0 -999.0 0.0 4.0 -999.0 -999.0 246.82999999999998
2007 1 20 0 -48.85000000000004 -20.70499999999999 21.656999999999996 -999.0 0 2.3465 88.1625 10.5945 99.343 0.0 -2.1395 0 311.325 -999.0 -999.0 0.0 4.0 -999.0 -999.0 171.42499999999998
2007 1 21 0 -89.2725 -43.067 41.666 -999.0 0 1.5195 65.995 11.335 99.456 0.0 -1.5665 0 266.4 -999.0 -999.0 0.0 4.0 -999.0 -999.0 158.295
2007 1 22 0 -110.13449999999999 -50.064499999999995 29.608 -999.0 0 1.754 60.9435 10.373 99.56 0.0 -2.809 0 241.53 -999.0 -999.0 0.0 4.0 -999.0 -999.0 308.765
2007 1 23 0 -112.14149999999998 -73.1605 22.1295 -999.0 0 1.783 58.584 9.304 99.6945 0.0 -2.882 0 234.965 -999.0 -999.0 0.0 4.000361086113977 -999.0 -999.0 317.3
2007 2 0 0 -113.867 -74.649 38.157500000000006 -999.0 0 2.6125 57.6065 8.253 99.76650000000001 0.0 -2.686 0 230.485 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 316.725
2007 2 1 0 -113.77400000000004 -57.176 21.145 -999.0 0 1.9969999999999999 60.1205 6.971500000000001 99.864 0.0 -3.0919999999999996 0 225.875 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 315.19500000000005
2007 2 2 0 -113.06500000000001 -54.8965 16.6745 -999.0 0 2.0010000000000003 58.7265 6.394 99.969 0.0 -2.654 0 223.515 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 316.44500000000005
2007 2 3 0 -112.1575 -52.784 12.811 -999.0 0 1.9569999999999999 62.534499999999994 5.532 100.015 0.0 -2.6855 0 221.125 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 319.53999999999996
2007 2 4 0 -112.56400000000004 -49.144499999999994 12.907 -999.0 0 1.771 65.182 4.901 100.11 0.0 -2.7545 0 218.265 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 326.95500000000004
2007 2 5 0 -112.24499999999998 -43.3605 8.2365 -999.0 0 1.3205 69.31 3.993 100.185 0.0 -3.0789999999999997 0 213.14499999999998 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 327.985
2007 2 6 0 -109.93049999999994 -18.5385 1.3345 -999.0 0 0.846 74.211 3.0214999999999996 100.295 0.0 -3.1790000000000003 0 211.09500000000003 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 319.175
2007 2 7 0 -107.31750000000001 -15.0605 2.053 -999.0 0 0.796 77.40350000000001 2.303 100.4 0.0 -1.8105 0 209.56 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 333.04499999999996
2007 2 8 0 -53.735499999999995 -9.418999999999999 0.915 -999.0 0 0.7240000000000001 74.81700000000001 2.785 100.47999999999999 0.0 72.3895 0 208.305 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 331.005
2007 2 9 0 79.25000000000003 19.378 22.1415 -999.0 0 0.8154999999999999 65.22550000000001 5.202999999999999 100.62 0.0 238.395 0 211.57 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 308.53499999999997
2007 2 10 0 214.0495 98.066 51.204499999999996 -999.0 0 1.6975 58.450500000000005 6.8035 100.72999999999999 0.0 394.515 0 218.17 -999.0 -999.0 0.0 4.004333033367728 -999.0 -999.0 339.495
2007 2 11 0 304.94399999999996 122.855 71.34100000000001 -999.0 0 1.6245 53.370000000000005 8.376999999999999 100.725 0.0 499.38 0 225.035 -999.0 -999.0 0.004599118351466795 4.004333033367728 -999.0 -999.0 335.06
2007 2 12 0 340.3119999999999 146.60000000000002 104.54 -999.0 0 0.808 47.6845 10.120000000000001 100.75 0.0 539.05 0 231.41 -999.0 -999.0 0.07764789572549329 4.004333033367728 -999.0 -999.0 140.305
2007 2 13 0 319.199 137.74 83.71549999999999 -999.0 0 0.726 44.590500000000006 10.904499999999999 100.7 0.0 518.635 0 234.74 -999.0 -999.0 0.17128384450510006 4.004333033367728 -999.0 -999.0 277.905
2007 2 14 0 253.87550000000005 82.1935 95.019 -999.0 0 0.702 41.698 11.865 100.68 0.0 443.665 0 236.79500000000002 -999.0 -999.0 0.25560543995530577 4.004333033367728 -999.0 -999.0 313.47
2007 2 15 0 139.4475 37.288 69.95 -999.0 0 0.6965 41.5475 12.4365 100.72 0.0 317.53 0 236.10500000000002 -999.0 -999.0 0.31896237298569 4.004333033367728 -999.0 -999.0 292.52
2007 2 16 0 -2.970499999999987 -3.9189999999999996 27.4675 -999.0 0 0.69 44.95250000000001 11.739999999999998 100.775 0.0 146.608 0 233.535 -999.0 -999.0 0.3497053275585884 4.004333033367728 -999.0 -999.0 280.605
2007 2 17 0 -96.33749999999998 -9.982 7.475 -999.0 0 0.6619999999999999 50.0555 10.5025 100.82499999999999 0.0 19.511 0 229.54000000000002 -999.0 -999.0 0.355002846746153 4.004333033367728 -999.0 -999.0 312.67999999999995
2007 2 18 0 -104.98799999999997 1.943 1.711 -999.0 0 0.3715 57.403000000000006 8.387 100.825 0.0 -3.7190000000000003 0 226.66 -999.0 -999.0 0.3561089968973358 4.004333033367728 -999.0 -999.0 309.355
2007 2 19 0 -100.81000000000003 -0.8265 0.7659999999999999 -999.0 0 0.358 67.575 6.0335 100.88 0.0 -3.3605 0 225.13 -999.0 -999.0 0.35684381532223597 4.004333033367728 -999.0 -999.0 326.28499999999997
2007 2 20 0 -99.34149999999998 -6.027 1.63 -999.0 0 0.7155 76.815 4.479 100.92500000000001 0.0 -2.465 0 222.29500000000002 -999.0 -999.0 0.3573496928494677 4.004333033367728 -999.0 -999.0 345.265
2007 2 21 0 -98.9485 1.2045 0.466 -999.0 0 0.6719999999999999 82.219 3.375 100.92500000000001 0.0 -2.893 0 220.635 -999.0 -999.0 0.3577127126282065 4.004333033367728 -999.0 -999.0 315.925
2007 2 22 0 -98.43 -2.339 0.396 -999.0 0 0.6160000000000001 86.87100000000001 2.3230000000000004 100.975 0.0 -2.558 0 218.48 -999.0 -999.0 0.35802059307242945 4.004333033367728 -999.0 -999.0 328.5
2007 2 23 0 -96.55850000000002 8.1465 0.329 -999.0 0 0.324 85.3765 2.046 101.0 0.0 -2.13 0 218.45999999999998 -999.0 -999.0 0.3583172955563043 4.004776298414847 -999.0 -999.0 260.995
2007 3 0 0 -94.95850000000002 -1.2080000000000002 0.12 -999.0 0 0.7125 86.68549999999999 1.5135 101.0 0.0 -1.5935 0 218.70999999999998 -999.0 -999.0 0.3585927441677275 4.009652213933153 -999.0 -999.0 328.73
2007 3 1 0 -91.87499999999999 -0.30499999999999994 -999.0 -999.0 0 0.688 87.041 1.1655000000000002 101.0 0.0 -1.897 0 220.305 -999.0 -999.0 0.3588703239085144 4.009652213933153 -999.0 -999.0 317.95
2007 3 2 0 -93.21550000000002 -1.9735 -999.0 -999.0 0 0.7044999999999999 85.98549999999999 1.383 101.015 0.0 -1.8914999999999997 0 217.83999999999997 -999.0 -999.0 0.359143460839384 4.009652213933153 -999.0 -999.0 325.90999999999997
2007 3 3 0 -92.49350000000003 1.3185 0.107 -999.0 0 0.543 87.253 1.1075 101.06 0.0 -1.779 0 217.39499999999998 -999.0 -999.0 0.35938882986467274 4.009652213933153 -999.0 -999.0 327.08500000000004
2007 3 4 0 -92.7315 13.3125 1.647 -999.0 0 0.5035 88.6225 0.853 101.04 0.0 -1.8965 0 216.385 -999.0 -999.0 0.35959932210978945 4.009652213933153 -999.0 -999.0 336.17999999999995
2007 3 5 0 -93.7505 -1.7375 -999.0 -999.0 0 0.688 90.8415 0.36 101.065 0.0 -2.3979999999999997 0 215.0 -999.0 -999.0 0.3597974726641482 4.009652213933153 -999.0 -999.0 331.575
2007 3 6 0 -92.06400000000002 -2.03 -999.0 -999.0 0 0.7105 89.866 0.43999999999999995 101.09 0.0 -1.9634999999999998 0 215.785 -999.0 -999.0 0.36010799985414604 4.009652213933153 -999.0 -999.0 322.02
2007 3 7 0 -91.19200000000004 -1.551 0.674 -999.0 0 0.5695 90.30449999999999 0.23199999999999998 101.11 0.0 -1.8860000000000001 0 215.20999999999998 -999.0 -999.0 0.3641465905945225 4.009652213933153 -999.0 -999.0 327.155
2007 3 8 0 -35.81750000000005 3.056 -999.0 -999.0 0 0.5095000000000001 89.785 0.5900000000000001 101.155 0.0 74.2855 0 216.96499999999997 -999.0 -999.0 0.38992150121575975 4.009652213933153 -999.0 -999.0 337.015
2007 3 9 0 90.792 13.014000000000001 35.461 -999.0 0 0.4375 70.287 5.504 101.16 0.0 237.86 0 220.075 -999.0 -999.0 0.44962848106729086 4.009652213933153 -999.0 -999.0 273.03499999999997
2007 3 10 0 216.18599999999998 38.5305 66.233 -999.0 0 0.8935 57.3085 8.679 101.18 0.0 390.21000000000004 0 226.63 -999.0 -999.0 0.5320489666699922 4.009652213933153 -999.0 -999.0 202.935
2007 3 11 0 304.214 129.075 103.805 -999.0 0 1.1155 49.195 10.6935 101.145 0.0 494.65 0 235.04500000000002 -999.0 -999.0 0.6270563029343492 4.009652213933153 -999.0 -999.0 199.20499999999998
2007 3 12 0 344.2154999999999 129.76 91.887 -999.0 0 0.9975 45.605999999999995 12.1455 101.03 0.0 535.81 0 246.345 -999.0 -999.0 0.7275584935711592 4.009652213933153 -999.0 -999.0 207.33
2007 3 13 0 323.9705 114.44 93.6125 -999.0 0 1.062 48.263999999999996 13.292 100.88 0.0 519.01 0 252.5 -999.0 -999.0 0.8269966286614713 4.009652213933153 -999.0 -999.0 231.49
2007 3 14 0 261.75950000000006 76.81 107.1515 -999.0 0 1.263 49.537000000000006 14.6385 100.775 0.0 443.85 0 258.125 -999.0 -999.0 0.9187232103476811 4.009652213933153 -999.0 -999.0 211.595
2007 3 15 0 150.73350000000005 32.831 115.03999999999999 -999.0 0 1.3860000000000001 49.164500000000004 15.27 100.755 0.0 316.96000000000004 0 260.595 -999.0 -999.0 0.9886890893076625 4.009652213933153 -999.0 -999.0 196.48000000000002
2007 3 16 0 10.461999999999989 -46.348 74.952 -999.0 0 1.1305 53.087 14.707 100.755 0.0 146.405 0 260.83 -999.0 -999.0 1.022034186371421 4.009652213933153 -999.0 -999.0 198.02499999999998
2007 3 17 0 -76.1735 -35.3995 18.537 -999.0 0 0.8465 60.44600000000001 13.2705 100.755 0.0 15.4255 0 266.885 -999.0 -999.0 1.0271760769201468 4.009652213933153 -999.0 -999.0 184.555
