iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2010 1 0 0 -3.4495000000000124 -40.652 70.919 -999.0 0 9.889 73.35300000000001 -13.927 68.5795 0.635 0.0 0 252.75099999999998 -999.0 -999.0 0.0 4.0 -999.0 -999.0 256.048
2010 1 1 0 -1.826500000000055 -999.0 -999.0 -999.0 0 9.788499999999999 73.87950000000001 -13.7165 68.64699999999999 0.762 0.001 0 255.96949999999998 -999.0 -999.0 0.0 4.0 -999.0 -999.0 252.1535
2010 1 2 0 -2.682999999999979 -999.0 -999.0 -999.0 0 9.138 73.96199999999999 -12.995000000000001 68.727 0.381 0.08399999999999999 0 258.1775 -999.0 -999.0 0.0 4.0 -999.0 -999.0 251.82999999999998
2010 1 3 0 -2.164500000000043 -999.0 -999.0 -999.0 0 8.809 75.8305 -11.926 68.76650000000001 0.0 0.2545 0 263.5965 -999.0 -999.0 0.0 4.0 -999.0 -999.0 266.7595
2010 1 4 0 -3.9024999999999648 -999.0 -999.0 -999.0 0 9.517 75.941 -10.954 68.756 0.0 0.065 0 264.85 -999.0 -999.0 0.0 4.0 -999.0 -999.0 278.0335
2010 1 5 0 -2.861499999999966 -23.0845 17.762999999999998 -999.0 0 9.283999999999999 77.791 -10.6445 68.80250000000001 0.0 0.016 0 266.826 -999.0 -999.0 0.0 4.0 -999.0 -999.0 280.71799999999996
2010 1 6 0 -5.313000000000025 -29.804 15.934 -999.0 0 8.844000000000001 78.074 -10.2345 68.822 0.0 0.053 0 266.611 -999.0 -999.0 0.0 4.0 -999.0 -999.0 279.212
2010 1 7 0 -9.874499999999971 -999.0 -999.0 -999.0 0 7.9445 76.892 -9.778500000000001 68.882 0.127 0.4865 0 263.03650000000005 -999.0 -999.0 0.0 4.0 -999.0 -999.0 274.071
2010 1 8 0 -9.09049999999997 -76.657 36.881 -999.0 0 7.970000000000001 77.36349999999999 -8.841 68.8935 0.0 24.761499999999998 0 247.4275 -999.0 -999.0 0.0 4.0 -999.0 -999.0 279.2455
2010 1 9 0 103.68200000000002 -2.3149999999999995 79.547 -999.0 0 8.921 77.3775 -7.9425 68.913 0.0 170.937 0 242.714 -999.0 -999.0 0.0 4.0 -999.0 -999.0 277.1675
2010 1 10 0 253.56349999999995 82.46499999999999 145.93099999999998 -999.0 0 10.573 76.8335 -7.047000000000001 68.907 0.0 339.3845 0 255.0345 -999.0 -999.0 0.0 4.0 -999.0 -999.0 265.616
2010 1 11 0 260.69350000000003 94.932 150.2045 -999.0 0 9.6045 76.3725 -6.721000000000001 68.89599999999999 0.0 349.0105 0 254.55650000000003 -999.0 -999.0 0.0 4.0 -999.0 -999.0 277.29650000000004
2010 1 12 0 288.11350000000004 130.188 129.91750000000002 -999.0 0 8.563499999999998 75.99599999999998 -6.1579999999999995 68.8675 0.0 377.01750000000004 0 259.6145 -999.0 -999.0 0.0 4.0 -999.0 -999.0 279.08000000000004
2010 1 13 0 275.3905000000001 130.752 136.603 -999.0 0 9.2735 78.35750000000002 -5.761 68.813 0.0 355.682 0 269.46900000000005 -999.0 -999.0 0.0 4.0 -999.0 -999.0 282.966
2010 1 14 0 192.28299999999996 89.41350000000001 114.0575 -999.0 0 9.822499999999998 77.73599999999999 -5.624500000000001 68.76249999999999 0.0 282.3605 0 245.19799999999998 -999.0 -999.0 0.0 4.0 -999.0 -999.0 278.11300000000006
2010 1 15 0 90.24500000000002 70.3705 64.513 -999.0 0 8.565999999999999 80.1645 -6.574000000000002 68.8125 0.127 114.00650000000002 0 280.1485 -999.0 -999.0 0.0 4.0 -999.0 -999.0 274.271
2010 1 16 0 5.421499999999966 -999.0 -999.0 -999.0 0 9.660499999999999 80.42349999999999 -7.1964999999999995 68.78550000000001 0.127 21.6455 0 270.1995 -999.0 -999.0 0.0 4.0 -999.0 -999.0 272.0825
2010 1 17 0 -5.13700000000005 -999.0 -999.0 -999.0 0 9.783000000000001 81.0155 -7.303 68.778 0.254 1.212 0 277.327 -999.0 -999.0 0.0 4.0 -999.0 -999.0 275.9355
2010 1 18 0 -18.12700000000002 -999.0 -999.0 -999.0 0 9.692499999999999 80.21000000000001 -7.219999999999999 68.7715 0.127 0.0 0 265.7715 -999.0 -999.0 0.0 4.0 -999.0 -999.0 276.4105
