product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.5,6.2,249.2002,5.7,0.8683,0.3581,0.5984,289,287,99.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.6,2.9,253.5998,2.3,0.8836,0.0754,0.2745,289,287,99.31,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.5,3.1,251.2998,2.6,0.8756,0.1325,0.364,289,287,99.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.5,2.2,266.3999,1.7,0.9282,0.105,0.324,289,287,99.31,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,2,236.9001,1.5,0.8254,0.0837,0.2893,289,287,99.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,2.5,241.8,2,0.8425,0.1414,0.376,289,287,99.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.5,3.1,254.8001,2.6,0.8878,0.1161,0.3407,289,287,99.31,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.2,0.6,119.0003,0.4,0.4205,0.0115,0.107,289,283,97.92,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.3,3.5,301.2001,3.2,1.0495,0.2005,0.4477,289,287,99.31,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.4,2.4,286.9001,2,0.9997,0.149,0.386,289,287,99.31,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.5,4.2,287.2,3.7,1.0007,0.195,0.4416,289,287,99.31,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,2.9,207.9001,2.6,0.7244,0.1267,0.3559,289,287,99.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.4,6.7,225.5999,6.3,0.7861,0.3685,0.6071,289,287,99.31,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.3,2.9,218.8001,2.6,0.765,0.1451,0.381,289,286,98.96,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,4.6,215.2,4.3,0.7498,0.227,0.4765,289,287,99.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,4.4,217.1999,4.1,0.7568,0.26,0.5099,289,287,99.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.3,1.7,155.5001,1.4,0.5418,0.0521,0.2283,289,287,99.31,2.01515E+12,0.4
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,2.4,168.0002,2.1,0.5854,0.075,0.2738,289,287,99.31,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.2,1,117.9004,0.8,0.4108,0.0235,0.1532,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,1.8,96.2,1.7,0.3352,0.0489,0.2211,289,287,99.31,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1,103.6003,0.9,0.361,0.0159,0.1261,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,0.9,31.4001,0.8,0.1371,0.0137,0.117,289,229,79.24,2.01515E+12,0.1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,0.6,86,0.5,0.2997,0.0078,0.0881,289,287,99.31,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.4,79.1998,1.3,0.276,0.0229,0.1512,289,287,99.31,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.7,52.8,0.6,0.184,0.0052,0.072,289,287,99.31,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,0.6,52.7,0.5,0.1849,0.0054,0.0736,289,285,98.62,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.6,65.4,0.5,0.2279,0.01,0.0998,289,287,99.31,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,0.7,20.2,0.6,0.1247,0.0061,0.0778,289,162,56.06,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1,69.3,0.9,0.2415,0.0128,0.1132,289,287,99.31,2.01515E+12,0.2
