product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.3,2.8,347.8998,2.5,1.2838,0.277,0.5263,289,271,93.77,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.6,5.8,470.6999,5.2,1.7369,0.5007,0.7076,289,271,93.77,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.6,3.4,396.4999,2.8,1.4631,0.33,0.5745,289,271,93.77,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.1,2.1,110.7,2,0.5535,0.1611,0.4014,289,200,69.2,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.1,5.4,386.2999,5.3,1.4361,0.4526,0.6728,289,269,93.08,2.01515E+12,1
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,4.4,384.3001,4.1,1.4233,0.4615,0.6793,289,270,93.43,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.2,3.2,374.8,3,1.3881,0.3534,0.5945,289,270,93.43,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,2.4,271.6,2.3,1.0651,0.1513,0.389,289,255,88.24,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.6,3.1,382.0001,2.5,1.4096,0.2797,0.5289,289,271,93.77,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,2.1,157.6,2,0.6622,0.2045,0.4523,289,238,82.35,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.1,4,268.4,3.9,0.9941,0.2103,0.4585,289,270,93.43,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,4.8,423.4001,4.5,1.5624,0.4599,0.6782,289,271,93.77,2.01515E+12,1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.3,5.4,379.3,5.1,1.3996,0.4107,0.6408,289,271,93.77,2.01515E+12,1
