product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,1.1,5.7,744.2,4.6,2.6204,0.4644,0.6814,289,284,98.27,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.3,4,531.1002,3.7,2.0746,0.4796,0.6925,289,256,88.58,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.1,4.6,159.8,4.5,1.1414,0.916,0.9571,289,140,48.44,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.9,6,834.7,5.1,3.0915,0.6418,0.8011,289,270,93.43,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.2,5.7,716.9001,5.5,2.7787,0.8696,0.9325,289,258,89.27,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002205,24/07/2002,1.2,5.2,820.5999,4,2.8894,0.3516,0.593,289,284,98.27,2.01515E+12,2.9
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,5.1,377.6002,4.7,1.9979,0.816,0.9033,289,189,65.4,2.01515E+12,F
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.3,6.1,694.4999,5.8,2.6407,1.0563,1.0277,289,263,91,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.2,3.7,251.6998,3.5,1.0803,0.4303,0.656,289,233,80.62,2.01515E+12,1
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.7,4.5,715.6996,3.8,2.5201,0.4232,0.6506,289,284,98.27,2.01515E+12,2.6
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.8,3.5,578.6,2.7,2.0518,0.2963,0.5443,289,282,97.58,2.01515E+12,1.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.7,5.1,726.8001,4.4,2.5592,0.512,0.7155,289,284,98.27,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.9,6,725.4999,5.1,2.5636,0.6567,0.8104,289,283,97.92,2.01515E+12,2
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.9,5.6,713.7997,4.7,2.5134,0.4838,0.6956,289,284,98.27,2.01515E+12,2.3
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.8,3.9,583.1,3.1,2.0532,0.2591,0.509,289,284,98.27,2.01515E+12,2.1
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.5,3.2,548.5002,2.7,1.9313,0.2274,0.4768,289,284,98.27,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.6,4.4,517.0002,3.8,1.9078,0.3379,0.5813,289,271,93.77,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,3.5,477.0998,2.9,1.6799,0.2584,0.5084,289,284,98.27,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.7,3.1,542.3,2.4,1.9095,0.242,0.4919,289,284,98.27,2.01515E+12,1.7
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,3.8,250.7,3.7,0.9717,0.3746,0.612,289,258,89.27,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.2,2.6,307.2,2.4,1.1011,0.1688,0.4108,289,279,96.54,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1.8,86.1,1.7,0.4629,0.1089,0.33,289,186,64.36,2.01515E+12,F
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,1.3,228.4001,1,0.8042,0.0396,0.1991,289,284,98.27,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.1,1.3,138.9,1.2,0.6521,0.101,0.3178,289,213,73.7,2.01515E+12,0.3
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,1.2,201.6,0.9,0.7551,0.0339,0.1842,289,267,92.39,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,0.6,29.4,0.5,0.294,0.0204,0.1427,289,100,34.6,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
