product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.9,6.5,604.9,5.6,3.0095,1.1557,1.075,289,201,69.55,2.01515E+12,3.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.8,6.2,528.4001,5.4,2.5902,0.8289,0.9105,289,204,70.59,2.01515E+12,3
MCD15A3H,Lai_500m,A2002193,12/07/2002,1.2,6.1,618.1002,4.9,3.0751,0.9142,0.9561,289,201,69.55,2.01515E+12,3.2
MCD15A3H,Lai_500m,A2002197,16/07/2002,1.1,6.8,638.7001,5.7,3.1776,1.0432,1.0214,289,201,69.55,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.8,6.6,593.6,5.8,2.9532,1.5157,1.2311,289,201,69.55,2.01515E+12,3.1
MCD15A3H,Lai_500m,A2002205,24/07/2002,1,6.8,490.7999,5.8,2.5299,0.8605,0.9277,289,194,67.13,2.01515E+12,2.2
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.4,6.2,582.3001,5.8,3.0328,1.4466,1.2027,289,192,66.44,2.01515E+12,3.4
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.6,4.6,0.5,0.2706,0.0174,0.1318,289,17,5.88,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.5,6.5,426.4999,6,2.2214,1.0149,1.0074,289,192,66.44,2.01515E+12,2.4
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,4.7,237.6001,4.6,1.3976,0.6673,0.8169,289,170,58.82,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.2,5.6,454,5.4,2.2814,0.9364,0.9677,289,199,68.86,2.01515E+12,2
MCD15A3H,Lai_500m,A2002233,21/08/2002,1.2,6.1,619.9001,4.9,3.0387,1.102,1.0498,289,204,70.59,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,5.7,468.2002,5,2.2951,0.8139,0.9022,289,204,70.59,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.2,5.3,451.9001,5.1,2.2261,0.6389,0.7993,289,203,70.24,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,4.6,17.2,4.5,0.5059,0.6241,0.79,289,34,11.76,2.01515E+12,F
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.2,2.2,105.6,2,0.825,0.2312,0.4809,289,128,44.29,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.4,5.3,441.3999,4.9,2.1637,0.9365,0.9677,289,204,70.59,2.01515E+12,2.7
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.7,6.8,394.9,6.1,1.9358,0.7695,0.8772,289,204,70.59,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.2,4.5,343.9999,4.3,1.703,0.4487,0.6699,289,202,69.9,2.01515E+12,2.5
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.1,3.4,252.5,3.3,1.2562,0.362,0.6016,289,201,69.55,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,2.2,138.9,2.1,0.7349,0.124,0.3521,289,189,65.4,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1.3,35.8,1.2,0.306,0.063,0.2509,289,117,40.48,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.1,1.4,116.1,1.3,0.8063,0.065,0.255,289,144,49.83,2.01515E+12,1
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.4,2.2,198.8,1.8,0.9745,0.0741,0.2721,289,204,70.59,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.1,1.2,155.8,1.1,0.7637,0.0532,0.2306,289,204,70.59,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,1.2,74,1.1,0.5034,0.0553,0.2351,289,147,50.87,2.01515E+12,1
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,1.4,102.8,1.3,0.6808,0.0765,0.2766,289,151,52.25,2.01515E+12,0.6
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,0.6,23,0.5,0.25,0.021,0.1448,289,92,31.83,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,2.5,105.9,2.4,0.6304,0.1143,0.338,289,168,58.13,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.3,90.8,1.2,0.5783,0.0632,0.2514,289,157,54.33,2.01515E+12,0.5
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
