product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.8,5,641.5,4.2,2.2197,0.5792,0.761,289,289,100,2.01515E+12,1.3
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,4.1,566.9,3.4,1.9616,0.3449,0.5873,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002193,12/07/2002,0.7,5.2,597.0002,4.5,2.0657,0.4856,0.6968,289,289,100,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002197,16/07/2002,0.8,4.7,673.5,3.9,2.3304,0.6187,0.7866,289,289,100,2.01515E+12,1.8
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.5,5.2,596.6999,4.7,2.1937,0.8555,0.9249,289,272,94.12,2.01515E+12,1.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.3,6.5,563.7997,6.2,2.0959,0.7643,0.8743,289,269,93.08,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002209,28/07/2002,0.6,5.3,620.0004,4.7,2.2143,0.6055,0.7781,289,280,96.89,2.01515E+12,1.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,0.1,0.1,0.2,0,0.1,0,0,289,2,0.69,2.01515E+12,F
MCD15A3H,Lai_500m,A2002221,09/08/2002,0.7,5.4,565.4,4.7,1.9839,0.4352,0.6597,289,285,98.62,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002225,13/08/2002,0.1,2.2,81.8,2.1,0.7865,0.1446,0.3803,289,104,35.99,2.01515E+12,F
MCD15A3H,Lai_500m,A2002229,17/08/2002,0.4,3.8,527.7,3.4,1.8323,0.4006,0.6329,289,288,99.65,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.6,5.3,648.0002,4.7,2.2422,0.5921,0.7695,289,289,100,2.01515E+12,1.1
MCD15A3H,Lai_500m,A2002237,25/08/2002,0.7,4.4,592.2,3.7,2.0491,0.4455,0.6674,289,289,100,2.01515E+12,1.6
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.6,4.8,514.4999,4.2,1.7803,0.4372,0.6612,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.1,6.4,247.9001,6.3,1.1976,0.6565,0.8102,289,207,71.63,2.01515E+12,0.7
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.3,1.5,141.6,1.2,0.7262,0.0964,0.3105,289,195,67.47,2.01515E+12,F
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.3,3,400.7002,2.7,1.3865,0.2031,0.4507,289,289,100,2.01515E+12,1.2
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.6,4.3,456.7002,3.7,1.5803,0.3366,0.5802,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.3,2.4,334.6999,2.1,1.1703,0.2213,0.4704,289,286,98.96,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002265,22/09/2002,0.3,2.3,223.9,2,0.9028,0.191,0.437,289,248,85.81,2.01515E+12,F
MCD15A3H,Lai_500m,A2002269,26/09/2002,0.1,2.4,192.2,2.3,0.8736,0.1705,0.4129,289,220,76.12,2.01515E+12,F
MCD15A3H,Lai_500m,A2002273,30/09/2002,0.1,1.1,57.5,1,0.4021,0.0436,0.2087,289,143,49.48,2.01515E+12,0.2
MCD15A3H,Lai_500m,A2002277,04/10/2002,0.3,2.3,308.5999,2,1.0678,0.1177,0.3431,289,289,100,2.01515E+12,0.8
MCD15A3H,Lai_500m,A2002281,08/10/2002,0.3,2.4,327.0998,2.1,1.1318,0.1334,0.3652,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002285,12/10/2002,0.3,1.7,277.3998,1.4,0.9599,0.0721,0.2685,289,289,100,2.01515E+12,0.9
MCD15A3H,Lai_500m,A2002289,16/10/2002,0.1,1.9,80.7,1.8,0.6957,0.1104,0.3323,289,116,40.14,2.01515E+12,F
MCD15A3H,Lai_500m,A2002293,20/10/2002,0.1,2.7,150.1999,2.6,0.7436,0.1357,0.3684,289,202,69.9,2.01515E+12,F
MCD15A3H,Lai_500m,A2002297,24/10/2002,0.1,1.2,46.1,1.1,0.3466,0.058,0.2408,289,133,46.02,2.01515E+12,F
MCD15A3H,Lai_500m,A2002301,28/10/2002,0.1,3.4,112.3,3.3,0.9056,0.3186,0.5644,289,124,42.91,2.01515E+12,F
MCD15A3H,Lai_500m,A2002305,01/11/2002,0.1,1.7,59.3,1.6,0.4942,0.0737,0.2715,289,120,41.52,2.01515E+12,F
MCD15A3H,Lai_500m,A2002309,05/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002313,09/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002317,13/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002321,17/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002325,21/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002329,25/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002333,29/11/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002337,03/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002341,07/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002345,11/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002349,15/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002353,19/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002357,23/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002361,27/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2002365,31/12/2002,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003001,01/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003005,05/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003009,09/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003013,13/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003017,17/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003021,21/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003025,25/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003029,29/01/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003033,02/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003037,06/02/2003,0.1,3.1,78.9,3,0.663,0.303,0.5505,289,119,41.18,2.01515E+12,F
MCD15A3H,Lai_500m,A2003041,10/02/2003,0.1,2.2,48.8,2.1,0.8873,0.2651,0.5149,289,55,19.03,2.01516E+12,F
MCD15A3H,Lai_500m,A2003045,14/02/2003,0,0,0,0,0,0,0,289,0,0,2.01515E+12,F
MCD15A3H,Lai_500m,A2003049,18/02/2003,0.1,3.8,46.7,3.7,0.9729,0.7457,0.8636,289,48,16.61,2.01516E+12,F
MCD15A3H,Lai_500m,A2003053,22/02/2003,0.1,2,53.5,1.9,0.6772,0.1263,0.3554,289,79,27.34,2.01516E+12,F
MCD15A3H,Lai_500m,A2003057,26/02/2003,0.1,1.7,42.7,1.6,0.6373,0.1253,0.354,289,67,23.18,2.01516E+12,F
MCD15A3H,Lai_500m,A2003061,02/03/2003,0.1,2.6,25.9,2.5,0.74,0.2767,0.526,289,35,12.11,2.01516E+12,F
MCD15A3H,Lai_500m,A2003065,06/03/2003,0.1,1.7,21.3,1.6,0.6265,0.1408,0.3752,289,34,11.76,2.01516E+12,F
MCD15A3H,Lai_500m,A2003069,10/03/2003,0.1,1.9,43.4,1.8,0.6889,0.2311,0.4808,289,63,21.8,2.01516E+12,F
MCD15A3H,Lai_500m,A2003073,14/03/2003,0.1,0.2,0.7,0.1,0.175,0.0019,0.0433,289,4,1.38,2.01516E+12,F
MCD15A3H,Lai_500m,A2003077,18/03/2003,0.1,0.6,4.4,0.5,0.3143,0.0269,0.1641,289,14,4.84,2.01516E+12,F
MCD15A3H,Lai_500m,A2003081,22/03/2003,0.1,0.6,23.3,0.5,0.2709,0.0235,0.1532,289,86,29.76,2.01516E+12,F
MCD15A3H,Lai_500m,A2003085,26/03/2003,0.1,1.2,63.4,1.1,0.4877,0.0635,0.2521,289,130,44.98,2.01516E+12,F
MCD15A3H,Lai_500m,A2003089,30/03/2003,0.1,0.9,35.4,0.8,0.4069,0.0383,0.1958,289,87,30.1,2.01516E+12,F
MCD15A3H,Lai_500m,A2003093,03/04/2003,0,0,0,0,0,0,0,289,0,0,2.01516E+12,F
MCD15A3H,Lai_500m,A2003097,07/04/2003,0.2,1.3,168.3999,1.1,0.7451,0.0489,0.2212,289,226,78.2,2.01516E+12,0.3
MCD15A3H,Lai_500m,A2003101,11/04/2003,0.3,2.8,201.8001,2.5,0.7502,0.0591,0.2431,289,269,93.08,2.01516E+12,0.6
MCD15A3H,Lai_500m,A2003105,15/04/2003,0.3,1.4,274.6998,1.1,0.9571,0.0435,0.2086,289,287,99.31,2.01516E+12,0.7
MCD15A3H,Lai_500m,A2003109,19/04/2003,0.3,1.5,312.1001,1.2,1.0799,0.0459,0.2142,289,289,100,2.01516E+12,1
MCD15A3H,Lai_500m,A2003113,23/04/2003,0.2,1.9,283.2001,1.7,1.0078,0.0997,0.3157,289,281,97.23,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003117,27/04/2003,0.4,1.6,323.7999,1.2,1.1204,0.0519,0.2279,289,289,100,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003121,01/05/2003,0.4,1.4,295.3998,1,1.0221,0.0412,0.2031,289,289,100,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003125,05/05/2003,0.3,1.6,311.2999,1.3,1.0772,0.0493,0.222,289,289,100,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003129,09/05/2003,0.4,1.7,331.0999,1.3,1.1457,0.0549,0.2342,289,289,100,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003133,13/05/2003,0.4,2.6,381.4,2.2,1.3197,0.1446,0.3802,289,289,100,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003137,17/05/2003,0.4,2.4,325.6,2,1.1266,0.0636,0.2522,289,289,100,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003141,21/05/2003,0.6,2.4,349.0003,1.8,1.2076,0.0786,0.2804,289,289,100,2.01516E+12,0.9
MCD15A3H,Lai_500m,A2003145,25/05/2003,0.7,2.3,427.6,1.6,1.4796,0.0968,0.3112,289,289,100,2.01516E+12,1
MCD15A3H,Lai_500m,A2003149,29/05/2003,0.4,4.7,457.3002,4.3,1.5934,0.2688,0.5185,289,287,99.31,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003153,02/06/2003,0.3,2.7,437.6001,2.4,1.5247,0.195,0.4416,289,287,99.31,2.01516E+12,0.8
MCD15A3H,Lai_500m,A2003157,06/06/2003,0.2,3,225.9,2.8,0.9952,0.2394,0.4893,289,227,78.55,2.01516E+12,F
MCD15A3H,Lai_500m,A2003161,10/06/2003,0.1,5.3,376.7001,5.2,1.519,0.504,0.7099,289,248,85.81,2.01516E+12,F
MCD15A3H,Lai_500m,A2003165,14/06/2003,0.7,5.2,588.2001,4.5,2.0353,0.51,0.7141,289,289,100,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003169,18/06/2003,0.7,2.6,471.9998,1.9,1.6332,0.14,0.3742,289,289,100,2.01516E+12,1
MCD15A3H,Lai_500m,A2003173,22/06/2003,0.2,5.7,170,5.5,1.0625,0.7696,0.8773,289,160,55.36,2.01516E+12,F
MCD15A3H,Lai_500m,A2003177,26/06/2003,0.3,3.9,541.8,3.6,1.8747,0.3577,0.5981,289,289,100,2.01516E+12,1.1
MCD15A3H,Lai_500m,A2003181,30/06/2003,0.2,3.1,246.3999,2.9,1.2444,0.178,0.4219,289,198,68.51,2.01516E+12,1.4
MCD15A3H,Lai_500m,A2003185,04/07/2003,0.3,4.3,296.5999,4,1.5529,0.8182,0.9045,289,191,66.09,2.01516E+12,1.3
MCD15A3H,Lai_500m,A2003189,08/07/2003,0.2,3.8,310.7,3.6,1.3,0.3748,0.6122,289,239,82.7,2.01516E+12,1.2
MCD15A3H,Lai_500m,A2003193,12/07/2003,0.8,5.9,628.7999,5.1,2.1758,0.5699,0.7549,289,289,100,2.01508E+12,1.4
MCD15A3H,Lai_500m,A2003197,16/07/2003,0.7,4.8,631.2001,4.1,2.1841,0.4463,0.668,289,289,100,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003201,20/07/2003,0.3,4.1,394.3,3.8,1.7143,0.4906,0.7004,289,230,79.58,2.01508E+12,F
MCD15A3H,Lai_500m,A2003205,24/07/2003,0.6,4.2,627.0001,3.6,2.1696,0.4009,0.6332,289,289,100,2.01508E+12,1.5
MCD15A3H,Lai_500m,A2003209,28/07/2003,0.2,4.5,371.0001,4.3,1.5143,0.7241,0.8509,289,245,84.78,2.01508E+12,0.5
MCD15A3H,Lai_500m,A2003213,01/08/2003,0.7,3.5,591.6003,2.8,2.0471,0.4035,0.6352,289,289,100,2.01508E+12,1.3
MCD15A3H,Lai_500m,A2003217,05/08/2003,0.4,4.1,409.0999,3.7,1.4663,0.3335,0.5775,289,279,96.54,2.01508E+12,1.1
MCD15A3H,Lai_500m,A2003221,09/08/2003,0.5,6.7,515.6999,6.2,1.7844,0.5208,0.7217,289,289,100,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003225,13/08/2003,0.7,3.4,551.9997,2.7,1.91,0.3146,0.5609,289,289,100,2.01508E+12,1.3
MCD15A3H,Lai_500m,A2003229,17/08/2003,0.7,3.6,607.2998,2.9,2.1014,0.3793,0.6159,289,289,100,2.01508E+12,1.3
MCD15A3H,Lai_500m,A2003233,21/08/2003,0.6,3.1,454.5,2.5,1.5727,0.23,0.4796,289,289,100,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003237,25/08/2003,0.6,3.1,512.9,2.5,1.7747,0.2815,0.5306,289,289,100,2.01508E+12,1.1
MCD15A3H,Lai_500m,A2003241,29/08/2003,0.5,3.3,492.7998,2.8,1.7052,0.2729,0.5224,289,289,100,2.01508E+12,1
MCD15A3H,Lai_500m,A2003245,02/09/2003,0.5,5.4,531.7001,4.9,1.8398,0.4564,0.6756,289,289,100,2.01508E+12,1.3
MCD15A3H,Lai_500m,A2003249,06/09/2003,0.6,3.2,478.2002,2.6,1.6547,0.183,0.4277,289,289,100,2.01508E+12,1.2
MCD15A3H,Lai_500m,A2003253,10/09/2003,0.3,1.5,280.5,1.2,0.9912,0.0559,0.2365,289,283,97.92,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003257,14/09/2003,0.3,2.6,366,2.3,1.2753,0.1274,0.3569,289,287,99.31,2.01508E+12,1
MCD15A3H,Lai_500m,A2003261,18/09/2003,0.3,1.9,266.8998,1.6,0.9235,0.0652,0.2553,289,289,100,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003265,22/09/2003,0.3,1.8,317.2001,1.5,1.0976,0.0586,0.242,289,289,100,2.01508E+12,1
MCD15A3H,Lai_500m,A2003269,26/09/2003,0.3,2.2,303.4999,1.9,1.0502,0.1013,0.3182,289,289,100,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003273,30/09/2003,0.3,2.1,289.7,1.8,1.0024,0.0675,0.2598,289,289,100,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003277,04/10/2003,0.3,1.7,276.8999,1.4,0.9581,0.0541,0.2327,289,289,100,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003281,08/10/2003,0.3,2.4,265.9998,2.1,0.9204,0.0785,0.2802,289,289,100,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003285,12/10/2003,0.2,1.4,241.2999,1.2,0.8349,0.064,0.253,289,289,100,2.01508E+12,0.9
MCD15A3H,Lai_500m,A2003289,16/10/2003,0.3,2,268.5,1.7,0.9291,0.064,0.253,289,289,100,2.01508E+12,0.8
MCD15A3H,Lai_500m,A2003293,20/10/2003,0.1,1.4,161.9001,1.3,0.5622,0.0612,0.2473,289,288,99.65,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003297,24/10/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003301,28/10/2003,0.1,3,138.2,2.9,0.6398,0.166,0.4074,289,216,74.74,2.01508E+12,0.7
MCD15A3H,Lai_500m,A2003305,01/11/2003,0.1,1.9,232.4,1.8,0.8938,0.14,0.3741,289,260,89.97,2.0151E+12,0.6
MCD15A3H,Lai_500m,A2003309,05/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003313,09/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003317,13/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003321,17/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003325,21/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003329,25/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003333,29/11/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003337,03/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003341,07/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003345,11/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003349,15/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003357,23/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003361,27/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2003365,31/12/2003,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2004001,01/01/2004,0,0,0,0,0,0,0,289,0,0,2.01508E+12,F
MCD15A3H,Lai_500m,A2004005,05/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004009,09/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004013,13/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
MCD15A3H,Lai_500m,A2004017,17/01/2004,0,0,0,0,0,0,0,289,0,0,2.01509E+12,F
