product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A3H,Lai_500m,A2002185,04/07/2002,0.7,6.6,638.3002,5.9,2.2087,1.8924,1.3757,289,289,100,2.01515E+12,6.6
MCD15A3H,Lai_500m,A2002189,08/07/2002,0.7,4.6,537.9999,3.9,1.8616,0.9337,0.9663,289,289,100,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002193,12/07/2002,1,6.8,638.5003,5.8,2.2093,1.4528,1.2053,289,289,100,2.01515E+12,6.1
MCD15A3H,Lai_500m,A2002197,16/07/2002,1,6.3,702.2,5.3,2.4298,1.3709,1.1708,289,289,100,2.01515E+12,6.3
MCD15A3H,Lai_500m,A2002201,20/07/2002,0.6,6.8,600.3,6.2,2.1287,1.2253,1.1069,289,282,97.58,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002205,24/07/2002,0.5,6.4,465.3,5.9,1.8762,1.1102,1.0537,289,248,85.81,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002209,28/07/2002,1,6.1,724.0005,5.1,2.5139,0.9777,0.9888,289,288,99.65,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002217,05/08/2002,1,6.4,754.1001,5.4,2.6275,1.222,1.1054,289,287,99.31,2.01515E+12,5.1
MCD15A3H,Lai_500m,A2002221,09/08/2002,1,6.4,721.3,5.4,2.5132,1.1355,1.0656,289,287,99.31,2.01515E+12,4.5
MCD15A3H,Lai_500m,A2002225,13/08/2002,1.1,6.8,674.3997,5.7,2.3915,1.2802,1.1315,289,282,97.58,2.01515E+12,4.7
MCD15A3H,Lai_500m,A2002229,17/08/2002,1,6.8,725.3998,5.8,2.51,1.2814,1.132,289,289,100,2.01515E+12,4.6
MCD15A3H,Lai_500m,A2002233,21/08/2002,0.3,6.7,503.4003,6.4,2.1983,1.9898,1.4106,289,229,79.24,2.01515E+12,5.2
MCD15A3H,Lai_500m,A2002237,25/08/2002,1,6.1,716.5996,5.1,2.4796,0.9947,0.9973,289,289,100,2.01515E+12,4.4
MCD15A3H,Lai_500m,A2002241,29/08/2002,0.7,6.7,745.8998,6,2.5899,1.5487,1.2445,289,288,99.65,2.01515E+12,5.8
MCD15A3H,Lai_500m,A2002245,02/09/2002,0.9,6.8,727.4,5.9,2.517,1.6545,1.2863,289,289,100,2.01515E+12,5.5
MCD15A3H,Lai_500m,A2002249,06/09/2002,0.8,6.7,602.3002,5.9,2.0841,1.2211,1.105,289,289,100,2.01515E+12,5
MCD15A3H,Lai_500m,A2002253,10/09/2002,0.8,6,552.1003,5.2,1.9104,1.2809,1.1318,289,289,100,2.01515E+12,5.4
MCD15A3H,Lai_500m,A2002257,14/09/2002,0.5,6.4,384.0002,5.9,1.4382,0.4422,0.665,289,267,92.39,2.01515E+12,F
MCD15A3H,Lai_500m,A2002261,18/09/2002,0.5,5.6,497.9001,5.1,1.7228,1.1821,1.0872,289,289,100,2.01515E+12,5.1
